#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
18	input_spectra/2-6D03.mzML	0	0	130.968078613281	1	6231.66	0.0
18	input_spectra/2-6D03.mzML	1	0	130.968078613281	1	6243.120000000001	0.0
1	input_spectra/2-6D03.mzML	2	0	110.010097503662	1	6366.719999999999	0.0
1	input_spectra/2-6D03.mzML	3	0	110.010097503662	1	6378.18	0.0
1	input_spectra/2-6D03.mzML	4	0	110.010097503662	1	6417.54	0.0
1	input_spectra/2-6D03.mzML	5	0	110.010097503662	1	6429.0	0.0
34	input_spectra/2-6D03.mzML	6	0	151.037005615234	1	6440.46	0.0
34	input_spectra/2-6D03.mzML	7	0	151.037005615234	1	6451.9800000000005	0.0
12	input_spectra/2-6D03.mzML	8	0	125.987757364909	1	6463.4400000000005	0.0
12	input_spectra/2-6D03.mzML	9	0	125.987757364909	1	6474.900000000001	0.0
1	input_spectra/2-6D03.mzML	10	0	110.010097503662	1	6514.26	0.0
1	input_spectra/2-6D03.mzML	11	0	110.010097503662	1	6525.72	0.0
12	input_spectra/2-6D03.mzML	12	0	125.987757364909	1	6537.24	0.0
12	input_spectra/2-6D03.mzML	13	0	125.987757364909	1	6548.7	0.0
34	input_spectra/2-6D03.mzML	14	0	151.037005615234	1	6560.16	0.0
34	input_spectra/2-6D03.mzML	15	0	151.037005615234	1	6571.68	0.0
84	input_spectra/2-6D03.mzML	16	0	223.991695404053	1	6583.139999999999	0.0
84	input_spectra/2-6D03.mzML	17	0	223.991695404053	1	6594.66	0.0
73	input_spectra/2-6D03.mzML	18	0	198.942409515381	1	6606.12	0.0
73	input_spectra/2-6D03.mzML	19	0	198.942409515381	1	6617.58	0.0
12	input_spectra/2-6D03.mzML	20	0	125.987757364909	1	6656.94	0.0
12	input_spectra/2-6D03.mzML	21	0	125.987757364909	1	6668.46	0.0
84	input_spectra/2-6D03.mzML	22	0	223.991695404053	1	6679.92	0.0
84	input_spectra/2-6D03.mzML	23	0	223.991695404053	1	6691.38	0.0
34	input_spectra/2-6D03.mzML	24	0	151.037005615234	1	6703.08	0.0
34	input_spectra/2-6D03.mzML	25	0	151.037005615234	1	6714.54	0.0
73	input_spectra/2-6D03.mzML	26	0	198.942409515381	1	6726.0599999999995	0.0
73	input_spectra/2-6D03.mzML	27	0	198.942409515381	1	6737.52	0.0
60	input_spectra/2-6D03.mzML	28	0	182.964859008789	1	6749.04	0.0
61	input_spectra/2-6D03.mzML	29	0	182.964859008789	1	6760.5	0.0
73	input_spectra/2-6D03.mzML	30	0	198.942409515381	1	6799.860000000001	0.0
73	input_spectra/2-6D03.mzML	31	0	198.942409515381	1	6811.320000000001	0.0
84	input_spectra/2-6D03.mzML	32	0	223.991695404053	1	6822.84	0.0
84	input_spectra/2-6D03.mzML	33	0	223.991695404053	1	6834.3	0.0
60	input_spectra/2-6D03.mzML	34	0	182.964859008789	1	6845.76	0.0
61	input_spectra/2-6D03.mzML	35	0	182.964859008789	1	6857.28	0.0
93	input_spectra/2-6D03.mzML	36	0	239.969441731771	1	6868.74	0.0
93	input_spectra/2-6D03.mzML	37	0	239.969441731771	1	6880.26	0.0
30	input_spectra/2-6D03.mzML	38	0	146.166956583659	1	6891.719999999999	0.0
30	input_spectra/2-6D03.mzML	39	0	146.166956583659	1	6903.18	0.0
60	input_spectra/2-6D03.mzML	40	0	182.964859008789	1	6942.54	0.0
61	input_spectra/2-6D03.mzML	41	0	182.964859008789	1	6954.0599999999995	0.0
93	input_spectra/2-6D03.mzML	42	0	239.969441731771	1	6965.5199999999995	0.0
93	input_spectra/2-6D03.mzML	43	0	239.969441731771	1	6977.04	0.0
30	input_spectra/2-6D03.mzML	44	0	146.166956583659	1	6988.5	0.0
