cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:2-6D03.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	24	110.009957631429	1	110.00995763142896	0.0	117.07291666666669	12	12	bkgrnd-marine-broth.mzML,2-6D03.mzML	7																																														
2	42	117.07297225225555	1	117.0729722522556	0.0	194.6768174603175	6	36	bkgrnd-marine-broth.mzML,2-6D03.mzML	17																																														
3	36	118.08744388156452	1	118.0874438815646	0.0	166.52788888888887	18	18	bkgrnd-marine-broth.mzML,2-6D03.mzML	-1																																														
4	17	120.082100363339	1	120.082100363339	0.0	298.2382352941176	12	5	bkgrnd-marine-broth.mzML,2-6D03.mzML	7																																														
5	17	120.082100363339	1	120.082100363339	0.0	298.4295882352942	12	5	bkgrnd-marine-broth.mzML,2-6D03.mzML	7																																														
6	3	120.08581288655633	1	120.08581288655633	0.0	280.70733333333334	3	0	bkgrnd-marine-broth.mzML	7																																														
7	3	120.08581288655633	1	120.08581288655633	0.0	280.8983333333333	3	0	bkgrnd-marine-broth.mzML	7																																														
8	6	121.065930684408	1	121.065930684408	0.0	202.85533333333333	6	0	bkgrnd-marine-broth.mzML	7																																														
9	3	122.09779103597002	1	122.09779103597002	0.0	319.306	0	3	2-6D03.mzML	7																																														
10	3	122.09779103597002	1	122.09779103597002	0.0	319.49733333333336	0	3	2-6D03.mzML	7																																														
11	2	123.045349121094	1	123.045349121094	0.0	211.211	2	0	bkgrnd-marine-broth.mzML	7																																														
12	22	125.9876237349076	1	125.9876237349076	0.0	118.6134090909091	10	12	bkgrnd-marine-broth.mzML,2-6D03.mzML	7																																														
13	3	130.05116780599	1	130.05116780599	0.0	167.61200000000002	3	0	bkgrnd-marine-broth.mzML	7																																														
14	2	130.05116780599	1	130.05116780599	0.0	168.4175	2	0	bkgrnd-marine-broth.mzML	7																																														
15	2	130.05116780599	1	130.05116780599	0.0	192.178	2	0	bkgrnd-marine-broth.mzML	7																																														
16	12	130.09862772623697	1	130.09862772623697	0.0	151.16833333333335	6	6	bkgrnd-marine-broth.mzML,2-6D03.mzML	7																																														
17	6	130.122512817383	1	130.122512817383	0.0	511.01566666666673	0	6	2-6D03.mzML	-1																																														
18	2	130.968078613281	1	130.968078613281	0.0	103.9565	0	2	2-6D03.mzML	7																																														
19	3	131.05034383138	1	131.05034383138	0.0	279.47700000000003	3	0	bkgrnd-marine-broth.mzML	7																																														
20	3	131.05034383138	1	131.05034383138	0.0	279.668	3	0	bkgrnd-marine-broth.mzML	7																																														
21	8	131.930934906006	1	131.930934906006	0.0	272.480375	8	0	bkgrnd-marine-broth.mzML	7																																														
22	37	132.10332754902964	1	132.10332754902973	0.0	238.4332972972973	31	6	bkgrnd-marine-broth.mzML,2-6D03.mzML	7																																														
23	3	132.103280318411	1	132.103280318411	0.0	174.78066666666663	3	0	bkgrnd-marine-broth.mzML	-1																																														
24	4	132.103280318411	1	132.103280318411	0.0	205.40225	4	0	bkgrnd-marine-broth.mzML	7																																														
25	3	132.10784403483066	1	132.10784403483066	0.0	197.04366666666667	3	0	bkgrnd-marine-broth.mzML	7																																														
26	11	136.07714797511247	1	136.07714797511247	0.0	207.79154545454548	5	6	bkgrnd-marine-broth.mzML,2-6D03.mzML	7																																														
