SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00013639998	50	specs_ms.mgf	WINE-DB-QTOF.mgf	0.991268	334779.0	286.458	47.4982	6	0.00788879	166.094	1	temp/specs_ms.mgf50	1	Phenylalanine_(L-)_30EV	ESI	qTof	Commercial	Axel_Marchal	TE_MLS	M+H	166.086	165.19	1	63-91-2	N/A	C([C@@H](C(O)=O)N)C1=CC=CC=C1	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N/A	1	Positive	WINE-DB-QTOF	166.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H11NO2	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013639998
CCMSLIB00000427096	57	specs_ms.mgf	HMDB.mgf	0.980863	19339.3	203.27	5.78232	6	0.00105286	182.083	1	temp/specs_ms.mgf57	1	HMDB:HMDB00158-246 L-Tyrosine	Positive	Quattro_QQQ:25eV	Isolated	HMDB	HMDB	M+H	182.082	181.074	1	60-18-4	N/A	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	3	Positive	HMDB	182.082	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000427096
CCMSLIB00006683818	59	specs_ms.mgf	MONA.mgf	0.971849	18589.4	205.514	12.6541	7	0.00230408	182.083	1	temp/specs_ms.mgf59	1	TYROSINE	ESI	qTof	isolated	MoNA	MoNA:MoNA032780	M+H	182.081	0.0	1	N/A	N/A	C1=C(C=CC(=C1)O)C[C@@H](C(=O)O)N	"""InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1"""	N/A	3	positive	MONA	182.081	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006683818
CCMSLIB00003135135	67	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.964673	18684.4	434.473	13.0625	6	0.00245667	188.072	1	temp/specs_ms.mgf67	1	Spectral Match to DL-Indole-3-lactic acid from NIST14	ESI	Q-TOF	Isolated	Data from Dorrestein	Data deposited by quinnr	M+H-H2O	188.07	0.0	1	832973	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	188.07	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135135
CCMSLIB00013065435	77	specs_ms.mgf	MSNLIB-POSITIVE.mgf	0.962044	21047.8	436.473	11.2341	6	0.00230408	205.099	1	temp/specs_ms.mgf77	1	L-tryptophan	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M+H]+	205.097	204.09	1	N/A	N/A	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	QIVBCDIJIAJPQS-VIFPVBQESA-N	1	Positive	MSNLIB-POSITIVE	205.097	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H12N2O2	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013065435
CCMSLIB00005883807	27	specs_ms.mgf	GNPS-LIBRARY.mgf	0.958158	7912.9	195.747	7.90519	6	0.00108337	137.047	1	temp/specs_ms.mgf27	1	HYPOXANTHINE - 70.0 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	137.046	0.0	1	68-94-0	N/A	OC1=NC=NC2=C1NC=N2	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	N/A	1	Positive	GNPS-LIBRARY	137.046	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H4N4O	FDGQSTZJBFJUBT-UHFFFAOYSA-N	FDGQSTZJBFJUBT	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	Purine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005883807
CCMSLIB00000425122	28	specs_ms.mgf	HMDB.mgf	0.957459	12317.2	195.938	7.90519	7	0.00108337	137.047	1	temp/specs_ms.mgf28	1	HMDB:HMDB00157-243 Hypoxanthine	Positive	Quattro_QQQ:25eV	Isolated	HMDB	HMDB	M+H	137.046	136.039	1	68-94-0	N/A	OC1=NC=NC2=C1NC=N2	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	N/A	3	Positive	HMDB	137.046	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H4N4O	FDGQSTZJBFJUBT-UHFFFAOYSA-N	FDGQSTZJBFJUBT	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	Purine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000425122
CCMSLIB00012350791	120	specs_ms.mgf	MSNLIB-POSITIVE.mgf	0.949881	68438.3	649.177	0.601727	6	0.000183105	304.3	1	temp/specs_ms.mgf120	1	Benzododecinium	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M]+	304.3	304.3	1	N/A	N/A	CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1	InChI=1S/C21H38N/c1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21/h13-15,17-18H,4-12,16,19-20H2,1-3H3/q+1	CYDRXTMLKJDRQH-UHFFFAOYSA-N	1	Positive	MSNLIB-POSITIVE	304.3	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	CYDRXTMLKJDRQH-UHFFFAOYSA-N	CYDRXTMLKJDRQH	Benzenoids	Benzene and substituted derivatives	Phenylmethylamines	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012350791
CCMSLIB00000216566	103	specs_ms.mgf	MASSBANK.mgf	0.940065	18611.3	197.554	397.867	8	0.106628	268.107	1	temp/specs_ms.mgf103	1	Massbank:KO002042 Adenosine	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	268.0	0.0	1	58-61-7	N/A	OC[C@@H](O1)[C@@H](O)[C@@H](O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2	1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	N/A	3	Positive	MASSBANK	268.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H13N5O4	OIRDTQYFTABQOQ-KQYNXXCUSA-N	OIRDTQYFTABQOQ	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000216566
CCMSLIB00003136679	109	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.936613	26172.4	220.255	6.01543	6	0.00170898	284.102	1	temp/specs_ms.mgf109	1	Spectral Match to Guanosine from NIST14	ESI	QqQ	Isolated	Data from Dorrestein	Data deposited by quinnr	M+H	284.1	0.0	1	118003	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	284.1	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136679
CCMSLIB00000007039	86	specs_ms.mgf	GNPS-LIBRARY.mgf	0.92235	44242.6	454.259	1.5451	11	0.000350952	227.139	1	temp/specs_ms.mgf86	1	cyclo(L-Leu-L-4-hydroxy-Pro)	DI-ESI	qTof	Isolated	Keyzers	R Keyzers	M+H	227.139	244.121	1	115006-86-5	N/A	N/A	N/A	N/A	3	Positive	GNPS-LIBRARY	227.139	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000007039
CCMSLIB00003138038	66	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.917966	18414.8	434.281	2.83963	6	0.000534058	188.072	1	temp/specs_ms.mgf66	1	Spectral Match to L-Tryptophan from NIST14	ESI	HCD	Isolated	Data from Pieter Dorrestein	Data deposited by dfloros	M+H-NH3	188.073	0.0	1	73223	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	188.073	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138038
CCMSLIB00013939923	97	specs_ms.mgf	WFSR-LIBRARY.mgf	0.914828	14121.9	639.149	0.708944	6	0.000183105	258.279	1	temp/specs_ms.mgf97	1	Myristamine oxide_CE45	ESI	Orbitrap	Commercial	Federico Padilla-Gonzalez	"""Sjors Rasker, Wout Bergkamp"""	M+H	258.279	257.272	1	3332-27-2	N/A	CCCCCCCCCCCCCC[N+](C)(C)[O-]	"""InChI=1S/C16H35NO/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17(2,3)18/h4-16H2,1-3H3"""	N/A	1	Positive	WFSR-LIBRARY	258.279	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	ONHFWHCMZAJCFB-UHFFFAOYSA-N	ONHFWHCMZAJCFB	Organic nitrogen compounds	Organonitrogen compounds	Aminoxides	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013939923
CCMSLIB00003140220	76	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.9104	24260.7	436.282	11.2341	6	0.00230408	205.099	1	temp/specs_ms.mgf76	1	Spectral Match to L-Tryptophan from NIST14	ESI	qTof	Isolated	Data from Suryasarathi Dasgupta	Data deposited by fevargas	M+H	205.097	204.09	1	73223	N/A	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	205.097	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C11H12N2O2	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003140220
CCMSLIB00003139865	132	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.89716	15247.4	715.641	1.19378	6	0.000396729	332.331	1	temp/specs_ms.mgf132	1	Spectral Match to Benzyltetradecyldimethylammonium from NIST14	ESI	QqQ	Isolated	Data from Pieter Dorrestein;Ruben Abagayan	Data deposited by lfnothias	Cat	332.331	0.0	1	16287711	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	332.331	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139865
