#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	input_spectra/3-B2R04.mzML	0	0	110.008450826009	1	6352.56	0.0
1	input_spectra/3-B2R04.mzML	1	0	110.008450826009	1	6364.0199999999995	0.0
1	input_spectra/3-B2R04.mzML	2	0	110.008450826009	1	6403.38	0.0
1	input_spectra/3-B2R04.mzML	3	0	110.008450826009	1	6414.84	0.0
15	input_spectra/3-B2R04.mzML	4	0	125.985911051432	1	6426.36	0.0
15	input_spectra/3-B2R04.mzML	5	0	125.985911051432	1	6437.82	0.0
41	input_spectra/3-B2R04.mzML	6	0	151.034729003906	1	6449.28	0.0
41	input_spectra/3-B2R04.mzML	7	0	151.034729003906	1	6460.8	0.0
1	input_spectra/3-B2R04.mzML	8	0	110.008450826009	1	6500.16	0.0
1	input_spectra/3-B2R04.mzML	9	0	110.008450826009	1	6511.62	0.0
15	input_spectra/3-B2R04.mzML	10	0	125.985911051432	1	6523.139999999999	0.0
15	input_spectra/3-B2R04.mzML	11	0	125.985911051432	1	6534.599999999999	0.0
41	input_spectra/3-B2R04.mzML	12	0	151.034729003906	1	6546.0599999999995	0.0
41	input_spectra/3-B2R04.mzML	13	0	151.034729003906	1	6557.52	0.0
86	input_spectra/3-B2R04.mzML	14	0	223.98828125	1	6569.04	0.0
86	input_spectra/3-B2R04.mzML	15	0	223.98828125	1	6580.5	0.0
74	input_spectra/3-B2R04.mzML	16	0	198.939395904541	1	6592.02	0.0
74	input_spectra/3-B2R04.mzML	17	0	198.939395904541	1	6603.4800000000005	0.0
15	input_spectra/3-B2R04.mzML	18	0	125.985911051432	1	6642.900000000001	0.0
15	input_spectra/3-B2R04.mzML	19	0	125.985911051432	1	6654.360000000001	0.0
41	input_spectra/3-B2R04.mzML	20	0	151.034729003906	1	6665.82	0.0
41	input_spectra/3-B2R04.mzML	21	0	151.034729003906	1	6677.28	0.0
86	input_spectra/3-B2R04.mzML	22	0	223.98828125	1	6688.8	0.0
86	input_spectra/3-B2R04.mzML	23	0	223.98828125	1	6700.26	0.0
74	input_spectra/3-B2R04.mzML	24	0	198.939395904541	1	6711.78	0.0
74	input_spectra/3-B2R04.mzML	25	0	198.939395904541	1	6723.24	0.0
64	input_spectra/3-B2R04.mzML	26	0	182.961929321289	1	6734.700000000001	0.0
65	input_spectra/3-B2R04.mzML	27	0	182.961929321289	1	6746.22	0.0
74	input_spectra/3-B2R04.mzML	28	0	198.939395904541	1	6785.58	0.0
74	input_spectra/3-B2R04.mzML	29	0	198.939395904541	1	6797.099999999999	0.0
86	input_spectra/3-B2R04.mzML	30	0	223.98828125	1	6808.5599999999995	0.0
