cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:4-B2R08.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	6	110.0091501871745	1	110.0091501871745	0.0	106.51716666666668	3	3	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
2	18	110.0091501871745	1	110.0091501871745	0.0	120.38927777777778	9	9	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
3	6	113.033991495768	1	113.033991495768	0.0	189.9838333333333	6	0	4-B2R08.mzML	-1																																														
4	12	113.963114420573	1	113.963114420573	0.0	303.372	12	0	4-B2R08.mzML	2																																														
5	48	117.07290172576876	1	117.07290172576874	0.0	247.5206076388889	42	6	4-B2R08.mzML,bkgrnd-marine-broth.mzML	-1																																														
6	36	118.08650302886952	1	118.0865030288696	0.0	165.9564722222222	18	18	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
7	3	118.085753758748	1	118.085753758748	0.0	207.667	3	0	4-B2R08.mzML	2																																														
8	3	118.085753758748	1	118.085753758748	0.0	207.85800000000003	3	0	4-B2R08.mzML	2																																														
9	22	120.08128877119584	1	120.08128877119584	0.0	301.044409090909	10	12	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
10	2	120.086292266846	1	120.086292266846	0.0	281.7695	0	2	bkgrnd-marine-broth.mzML	2																																														
11	3	120.08403778076166	1	120.08403778076166	0.0	281.2453333333333	2	1	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
12	22	120.08128877119584	1	120.08128877119584	0.0	301.23559090909094	10	12	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
13	2	120.086292266846	1	120.086292266846	0.0	281.9605	0	2	bkgrnd-marine-broth.mzML	2																																														
14	3	120.08403778076166	1	120.08403778076166	0.0	281.43666666666667	2	1	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
15	12	121.06520716349296	1	121.065207163493	0.0	202.6123333333333	6	6	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
16	2	122.963478088379	1	122.963478088379	0.0	327.6605	2	0	4-B2R08.mzML	-1																																														
17	2	123.045349121094	1	123.045349121094	0.0	211.211	0	2	bkgrnd-marine-broth.mzML	2																																														
18	22	125.98656116832376	1	125.98656116832376	0.0	118.65663636363637	12	10	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
19	3	127.049560546875	1	127.049560546875	0.0	229.499	3	0	4-B2R08.mzML	23	CCMSLIB00006125396	19.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-NEG.mgf	0.816457	12439.1	228.524	7801.93	6.0	0.983559	127.05	1.0	temp/specs_ms.mgf19	1.0	5-Methylcytosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	126.066	0.0	1.0			Cc1cnc([nH]c1=N)O	InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)		1.0	Positive	BIRMINGHAM-UHPLC-MS-NEG	126.066	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H7N3O	LRSASMSXMSNRBT-UHFFFAOYSA-N	LRSASMSXMSNRBT	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Nicotinic acid alkaloids	Pyridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006125396
20	2	127.049560546875	1	127.049560546875	0.0	229.1395	2	0	4-B2R08.mzML	23																																														
21	4	129.065216064453	1	129.065216064453	0.0	158.4915	4	0	4-B2R08.mzML	2																																														
22	6	129.13823445638	1	129.13823445638	0.0	122.49933333333334	6	0	4-B2R08.mzML	23																																														
23	12	130.04980595906576	1	130.04980595906576	0.0	188.67258333333336	9	3	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
24	3	130.049352010091	1	130.049352010091	0.0	165.85333333333332	3	0	4-B2R08.mzML	2																																														
25	6	130.04935201009104	1	130.04935201009104	0.0	199.33383333333333	6	0	4-B2R08.mzML	2	CCMSLIB00006680996	25.0	specs_ms.mgf	MONA.mgf	0.887328	15912.4	186.18	7885.43	6.0	1.03365	130.049	1.0	temp/specs_ms.mgf25	1.0	ORNITHINE	ESI	qTof	isolated	MoNA	MoNA:MoNA034114	M-H	131.083	0.0	1.0			C(C[C@@H](C(=O)O)N)CN	"""InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1"""		3.0	negative	MONA	131.083	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H12N2O2	AHLPHDHHMVZTML-BYPYZUCNSA-N	AHLPHDHHMVZTML	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006680996
26	3	130.05116780599	1	130.05116780599	0.0	167.61200000000002	0	3	bkgrnd-marine-broth.mzML	2																																														
27	2	130.05116780599	1	130.05116780599	0.0	168.4175	0	2	bkgrnd-marine-broth.mzML	2																																														
28	6	130.098500569661	1	130.098500569661	0.0	150.9445	0	6	bkgrnd-marine-broth.mzML	2																																														
29	6	130.965723673503	1	130.965723673503	0.0	324.22866666666664	6	0	4-B2R08.mzML	2																																														
30	6	131.04939524332653	1	131.04939524332653	0.0	279.944	3	3	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
31	6	131.04939524332653	1	131.04939524332653	0.0	280.1351666666667	3	3	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
32	38	131.92952366879098	1	131.92952366879103	0.0	285.65776315789475	30	8	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
33	6	132.06501388549802	1	132.06501388549802	0.0	142.61633333333336	6	0	4-B2R08.mzML	2																																														
34	3	132.10784403483066	1	132.10784403483066	0.0	197.04366666666667	0	3	bkgrnd-marine-broth.mzML	2																																														
35	5	132.101379394531	1	132.101379394531	0.0	183.027	5	0	4-B2R08.mzML	2																																														
36	13	132.10355645924943	1	132.10355645924943	0.0	203.1022307692308	3	10	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
37	38	132.1025799780341	1	132.1025799780342	0.0	241.92628947368425	14	24	4-B2R08.mzML,bkgrnd-marine-broth.mzML	2																																														
