#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	input_spectra/5-B2R09.mzML	0	0	110.008469899495	1	6331.2	0.0
1	input_spectra/5-B2R09.mzML	1	0	110.008469899495	1	6342.72	0.0
1	input_spectra/5-B2R09.mzML	2	0	110.008469899495	1	6382.08	0.0
1	input_spectra/5-B2R09.mzML	3	0	110.008469899495	1	6393.54	0.0
11	input_spectra/5-B2R09.mzML	4	0	125.985860188802	1	6405.06	0.0
11	input_spectra/5-B2R09.mzML	5	0	125.985860188802	1	6416.5199999999995	0.0
43	input_spectra/5-B2R09.mzML	6	0	151.034818013509	1	6427.98	0.0
43	input_spectra/5-B2R09.mzML	7	0	151.034818013509	1	6439.44	0.0
1	input_spectra/5-B2R09.mzML	8	0	110.008469899495	1	6478.86	0.0
1	input_spectra/5-B2R09.mzML	9	0	110.008469899495	1	6490.32	0.0
11	input_spectra/5-B2R09.mzML	10	0	125.985860188802	1	6501.78	0.0
11	input_spectra/5-B2R09.mzML	11	0	125.985860188802	1	6513.3	0.0
43	input_spectra/5-B2R09.mzML	12	0	151.034818013509	1	6524.759999999999	0.0
43	input_spectra/5-B2R09.mzML	13	0	151.034818013509	1	6536.22	0.0
90	input_spectra/5-B2R09.mzML	14	0	223.988220214844	1	6547.740000000001	0.0
90	input_spectra/5-B2R09.mzML	15	0	223.988220214844	1	6559.2	0.0
76	input_spectra/5-B2R09.mzML	16	0	198.939437866211	1	6570.66	0.0
76	input_spectra/5-B2R09.mzML	17	0	198.939437866211	1	6582.18	0.0
11	input_spectra/5-B2R09.mzML	18	0	125.985860188802	1	6621.54	0.0
11	input_spectra/5-B2R09.mzML	19	0	125.985860188802	1	6633.0	0.0
76	input_spectra/5-B2R09.mzML	20	0	198.939437866211	1	6644.52	0.0
76	input_spectra/5-B2R09.mzML	21	0	198.939437866211	1	6655.9800000000005	0.0
43	input_spectra/5-B2R09.mzML	22	0	151.034818013509	1	6667.44	0.0
43	input_spectra/5-B2R09.mzML	23	0	151.034818013509	1	6678.96	0.0
90	input_spectra/5-B2R09.mzML	24	0	223.988220214844	1	6690.42	0.0
90	input_spectra/5-B2R09.mzML	25	0	223.988220214844	1	6701.94	0.0
63	input_spectra/5-B2R09.mzML	26	0	182.962041219076	1	6713.4	0.0
64	input_spectra/5-B2R09.mzML	27	0	182.962041219076	1	6724.860000000001	0.0
76	input_spectra/5-B2R09.mzML	28	0	198.939437866211	1	6764.28	0.0
76	input_spectra/5-B2R09.mzML	29	0	198.939437866211	1	6775.8	0.0
90	input_spectra/5-B2R09.mzML	30	0	223.988220214844	1	6787.259999999999	0.0
90	input_spectra/5-B2R09.mzML	31	0	223.988220214844	1	6798.78	0.0
63	input_spectra/5-B2R09.mzML	32	0	182.962041219076	1	6810.240000000001	0.0
64	input_spectra/5-B2R09.mzML	33	0	182.962041219076	1	6821.7	0.0
103	input_spectra/5-B2R09.mzML	34	0	239.96576944987	1	6833.22	0.0
