cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:5-B2R09.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	24	110.00914382934548	1	110.00914382934546	0.0	116.740625	12	12	5-B2R09.mzML,bkgrnd-marine-broth.mzML	18																																														
2	48	117.07287438710512	1	117.0728743871051	0.0	249.7316111111112	42	6	5-B2R09.mzML,bkgrnd-marine-broth.mzML	-1																																														
3	3	118.087252298991	1	118.087252298991	0.0	148.307	0	3	bkgrnd-marine-broth.mzML	-1																																														
4	15	118.087252298991	1	118.08725229899098	0.0	172.20680000000002	0	15	bkgrnd-marine-broth.mzML	-1																																														
5	24	120.08132425944048	1	120.08132425944052	0.0	303.8492083333333	12	12	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
6	24	120.08132425944048	1	120.08132425944052	0.0	304.0405	12	12	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
7	5	120.085308837891	1	120.085308837891	0.0	280.78579999999994	2	3	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
8	5	120.085308837891	1	120.085308837891	0.0	280.9768	2	3	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
9	12	121.06516901652049	1	121.06516901652049	0.0	202.30975	6	6	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
10	7	123.0443333217077	1	123.0443333217077	0.0	210.5084285714286	4	3	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
11	22	125.98658891157652	1	125.9865889115765	0.0	118.21631818181817	12	10	5-B2R09.mzML,bkgrnd-marine-broth.mzML	18																																														
12	2	127.049916585286	1	127.049916585286	0.0	321.4065	2	0	5-B2R09.mzML	26																																														
13	2	127.049916585286	1	127.049916585286	0.0	322.255	2	0	5-B2R09.mzML	26	CCMSLIB00006125396	13.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-NEG.mgf	0.743468	8642.9	321.831	7804.78	6.0	0.983917	127.05	1.0	temp/specs_ms.mgf13	1.0	5-Methylcytosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	126.066	0.0	1.0			Cc1cnc([nH]c1=N)O	InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)		1.0	Positive	BIRMINGHAM-UHPLC-MS-NEG	126.066	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H7N3O	LRSASMSXMSNRBT-UHFFFAOYSA-N	LRSASMSXMSNRBT	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Nicotinic acid alkaloids	Pyridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006125396
14	4	129.065322875977	1	129.065322875977	0.0	158.658	4	0	5-B2R09.mzML	8																																														
15	8	130.05009269714373	1	130.05009269714373	0.0	175.02300000000002	5	3	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
16	3	130.049447631836	1	130.049447631836	0.0	170.28866666666667	3	0	5-B2R09.mzML	8																																														
17	3	130.0500210232207	1	130.0500210232207	0.0	193.128	2	1	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
18	2	130.05116780599	1	130.05116780599	0.0	168.4175	0	2	bkgrnd-marine-broth.mzML	8																																														
19	2	130.05116780599	1	130.05116780599	0.0	192.178	0	2	bkgrnd-marine-broth.mzML	8																																														
20	6	130.08569844563797	1	130.08569844563797	0.0	150.94483333333335	6	0	5-B2R09.mzML	8																																														
21	6	130.098500569661	1	130.098500569661	0.0	150.9445	0	6	bkgrnd-marine-broth.mzML	8																																														
22	6	131.04952748616552	1	131.04952748616552	0.0	279.7871666666667	3	3	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
23	6	131.04952748616552	1	131.04952748616552	0.0	279.9783333333333	3	3	5-B2R09.mzML,bkgrnd-marine-broth.mzML	8																																														
24	20	131.92995300292978	1	131.92995300292975	0.0	270.2814	12	8	5-B2R09.mzML,bkgrnd-marine-broth.mzML	18																																														
25	37	132.10314433503473	1	132.10314433503478	0.0	239.6117027027028	3	34	5-B2R09.mzML,bkgrnd-marine-broth.mzML	18																																														
