#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
24	input_spectra/6-C2M19.mzML	0	0	130.965667724609	1	5959.26	0.0
24	input_spectra/6-C2M19.mzML	1	0	130.965667724609	1	5970.72	0.0
3	input_spectra/6-C2M19.mzML	2	0	110.00837580363	1	6322.740000000001	0.0
4	input_spectra/6-C2M19.mzML	3	0	110.00837580363	1	6334.2	0.0
3	input_spectra/6-C2M19.mzML	4	0	110.00837580363	1	6373.5599999999995	0.0
3	input_spectra/6-C2M19.mzML	5	0	110.00837580363	1	6385.02	0.0
47	input_spectra/6-C2M19.mzML	6	0	151.034650166829	1	6396.4800000000005	0.0
47	input_spectra/6-C2M19.mzML	7	0	151.034650166829	1	6407.9400000000005	0.0
14	input_spectra/6-C2M19.mzML	8	0	125.985710144043	1	6419.46	0.0
14	input_spectra/6-C2M19.mzML	9	0	125.985710144043	1	6430.92	0.0
3	input_spectra/6-C2M19.mzML	10	0	110.00837580363	1	6470.28	0.0
3	input_spectra/6-C2M19.mzML	11	0	110.00837580363	1	6481.74	0.0
14	input_spectra/6-C2M19.mzML	12	0	125.985710144043	1	6493.2	0.0
14	input_spectra/6-C2M19.mzML	13	0	125.985710144043	1	6504.72	0.0
47	input_spectra/6-C2M19.mzML	14	0	151.034650166829	1	6516.179999999999	0.0
47	input_spectra/6-C2M19.mzML	15	0	151.034650166829	1	6527.639999999999	0.0
90	input_spectra/6-C2M19.mzML	16	0	223.98823928833	1	6539.16	0.0
90	input_spectra/6-C2M19.mzML	17	0	223.98823928833	1	6550.620000000001	0.0
68	input_spectra/6-C2M19.mzML	18	0	182.961864471436	1	6562.14	0.0
69	input_spectra/6-C2M19.mzML	19	0	182.961864471436	1	6573.6	0.0
14	input_spectra/6-C2M19.mzML	20	0	125.985710144043	1	6612.96	0.0
14	input_spectra/6-C2M19.mzML	21	0	125.985710144043	1	6624.4800000000005	0.0
47	input_spectra/6-C2M19.mzML	22	0	151.034650166829	1	6635.9400000000005	0.0
47	input_spectra/6-C2M19.mzML	23	0	151.034650166829	1	6647.400000000001	0.0
90	input_spectra/6-C2M19.mzML	24	0	223.98823928833	1	6658.92	0.0
90	input_spectra/6-C2M19.mzML	25	0	223.98823928833	1	6670.38	0.0
79	input_spectra/6-C2M19.mzML	26	0	198.939453125	1	6681.84	0.0
79	input_spectra/6-C2M19.mzML	27	0	198.939453125	1	6693.36	0.0
68	input_spectra/6-C2M19.mzML	28	0	182.961864471436	1	6704.88	0.0
69	input_spectra/6-C2M19.mzML	29	0	182.961864471436	1	6716.339999999999	0.0
90	input_spectra/6-C2M19.mzML	30	0	223.98823928833	1	6755.7	0.0
90	input_spectra/6-C2M19.mzML	31	0	223.98823928833	1	6767.22	0.0
79	input_spectra/6-C2M19.mzML	32	0	198.939453125	1	6778.679999999999	0.0
79	input_spectra/6-C2M19.mzML	33	0	198.939453125	1	6790.139999999999	0.0
68	input_spectra/6-C2M19.mzML	34	0	182.961864471436	1	6801.66	0.0
69	input_spectra/6-C2M19.mzML	35	0	182.961864471436	1	6813.120000000001	0.0
42	input_spectra/6-C2M19.mzML	36	0	146.164624532064	1	6824.58	0.0
42	input_spectra/6-C2M19.mzML	37	0	146.164624532064	1	6836.1	0.0
103	input_spectra/6-C2M19.mzML	38	0	239.965744018555	1	6847.56	0.0
103	input_spectra/6-C2M19.mzML	39	0	239.965744018555	1	6859.0199999999995	0.0
79	input_spectra/6-C2M19.mzML	40	0	198.939453125	1	6898.4400000000005	0.0
79	input_spectra/6-C2M19.mzML	41	0	198.939453125	1	6909.900000000001	0.0
42	input_spectra/6-C2M19.mzML	42	0	146.164624532064	1	6921.42	0.0
42	input_spectra/6-C2M19.mzML	43	0	146.164624532064	1	6932.88	0.0
103	input_spectra/6-C2M19.mzML	44	0	239.965744018555	1	6944.34	0.0
103	input_spectra/6-C2M19.mzML	45	0	239.965744018555	1	6955.86	0.0
117	input_spectra/6-C2M19.mzML	46	0	265.014587402344	1	6967.32	0.0
117	input_spectra/6-C2M19.mzML	47	0	265.014587402344	1	6978.839999999999	0.0
86	input_spectra/6-C2M19.mzML	48	0	214.916880289714	1	6990.299999999999	0.0
86	input_spectra/6-C2M19.mzML	49	0	214.916880289714	1	7001.82	0.0
42	input_spectra/6-C2M19.mzML	50	0	146.164624532064	1	7041.179999999999	0.0
42	input_spectra/6-C2M19.mzML	51	0	146.164624532064	1	7052.639999999999	0.0
103	input_spectra/6-C2M19.mzML	52	0	239.965744018555	1	7064.16	0.0
103	input_spectra/6-C2M19.mzML	53	0	239.965744018555	1	7075.620000000001	0.0
117	input_spectra/6-C2M19.mzML	54	0	265.014587402344	1	7087.14	0.0
117	input_spectra/6-C2M19.mzML	55	0	265.014587402344	1	7098.6	0.0
86	input_spectra/6-C2M19.mzML	56	0	214.916880289714	1	7110.12	0.0
86	input_spectra/6-C2M19.mzML	57	0	214.916880289714	1	7121.58	0.0
81	input_spectra/6-C2M19.mzML	58	0	203.222147623698	1	7133.04	0.0
81	input_spectra/6-C2M19.mzML	59	0	203.222147623698	1	7144.5599999999995	0.0
117	input_spectra/6-C2M19.mzML	60	0	265.014587402344	1	7183.92	0.0
117	input_spectra/6-C2M19.mzML	61	0	265.014587402344	1	7195.4400000000005	0.0
86	input_spectra/6-C2M19.mzML	62	0	214.916880289714	1	7206.9	0.0
86	input_spectra/6-C2M19.mzML	63	0	214.916880289714	1	7218.36	0.0
81	input_spectra/6-C2M19.mzML	64	0	203.222147623698	1	7229.88	0.0
81	input_spectra/6-C2M19.mzML	65	0	203.222147623698	1	7241.339999999999	0.0
18	input_spectra/6-C2M19.mzML	66	0	129.138005574544	1	7252.799999999999	0.0
19	input_spectra/6-C2M19.mzML	67	0	129.138005574544	1	7264.26	0.0
81	input_spectra/6-C2M19.mzML	68	0	203.222147623698	1	7303.679999999999	0.0
81	input_spectra/6-C2M19.mzML	69	0	203.222147623698	1	7315.139999999999	0.0
18	input_spectra/6-C2M19.mzML	70	0	129.138005574544	1	7326.66	0.0
19	input_spectra/6-C2M19.mzML	71	0	129.138005574544	1	7338.120000000001	0.0
18	input_spectra/6-C2M19.mzML	72	0	129.138005574544	1	7377.48	0.0
19	input_spectra/6-C2M19.mzML	73	0	129.138005574544	1	7388.9400000000005	0.0
3	input_spectra/6-C2M19.mzML	74	0	110.00837580363	1	7464.42	0.0
3	input_spectra/6-C2M19.mzML	75	0	110.00837580363	1	7475.88	0.0
3	input_spectra/6-C2M19.mzML	76	0	110.00837580363	1	7515.240000000001	0.0
3	input_spectra/6-C2M19.mzML	77	0	110.00837580363	1	7526.7	0.0
3	input_spectra/6-C2M19.mzML	78	0	110.00837580363	1	7566.12	0.0
3	input_spectra/6-C2M19.mzML	79	0	110.00837580363	1	7577.58	0.0
14	input_spectra/6-C2M19.mzML	80	0	125.985710144043	1	7617.24	0.0
14	input_spectra/6-C2M19.mzML	81	0	125.985710144043	1	7628.7	0.0
47	input_spectra/6-C2M19.mzML	82	0	151.034650166829	1	7640.16	0.0
47	input_spectra/6-C2M19.mzML	83	0	151.034650166829	1	7651.68	0.0
47	input_spectra/6-C2M19.mzML	84	0	151.034650166829	1	7690.98	0.0
47	input_spectra/6-C2M19.mzML	85	0	151.034650166829	1	7702.5	0.0
14	input_spectra/6-C2M19.mzML	86	0	125.985710144043	1	7713.96	0.0
14	input_spectra/6-C2M19.mzML	87	0	125.985710144043	1	7725.42	0.0
90	input_spectra/6-C2M19.mzML	88	0	223.98823928833	1	7764.780000000001	0.0
90	input_spectra/6-C2M19.mzML	89	0	223.98823928833	1	7776.240000000001	0.0
68	input_spectra/6-C2M19.mzML	90	0	182.961864471436	1	7787.699999999999	0.0
69	input_spectra/6-C2M19.mzML	91	0	182.961864471436	1	7799.219999999999	0.0
14	input_spectra/6-C2M19.mzML	92	0	125.985710144043	1	7810.68	0.0
14	input_spectra/6-C2M19.mzML	93	0	125.985710144043	1	7822.14	0.0
47	input_spectra/6-C2M19.mzML	94	0	151.034650166829	1	7833.6	0.0
47	input_spectra/6-C2M19.mzML	95	0	151.034650166829	1	7845.120000000001	0.0
42	input_spectra/6-C2M19.mzML	96	0	146.164624532064	1	8004.72	0.0
42	input_spectra/6-C2M19.mzML	97	0	146.164624532064	1	8016.240000000001	0.0
42	input_spectra/6-C2M19.mzML	98	0	146.164624532064	1	8055.539999999999	0.0
