cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:6-C2M19.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	3	103.053937276204	1	103.053937276204	0.0	280.76266666666663	0	3	6-C2M19.mzML	2	CCMSLIB00017431222	1.0	specs_ms.mgf	GNPS-ION-MOBILITY-LIBRARY.mgf	0.822599	143550.0	280.762	9363.44	6.0	0.97406	103.054	1.0	temp/specs_ms.mgf1	1.0	3-hydroxybenzaldehyde [CCS=112.9464111328125]	LC-ESI	ToF	Crude	Pieter Dorrestein	victoriadeleray	[M+H-H2O]+	104.028	122.037	1.0			O=CC1=CC=CC(O)=C1	InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H		1.0	Positive	GNPS-ION-MOBILITY-LIBRARY	104.028	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H6O2	IAVREABSGIHHMO-UHFFFAOYSA-N	IAVREABSGIHHMO	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00017431222
2	3	103.053937276204	1	103.053937276204	0.0	280.9536666666666	0	3	6-C2M19.mzML	2																																														
3	22	110.00909678141298	1	110.00909678141298	0.0	117.56709090909092	11	11	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
4	2	110.009096781413	1	110.009096781413	0.0	106.088	1	1	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
5	16	113.963236808777	1	113.96323680877704	0.0	293.7933125	0	16	6-C2M19.mzML	2																																														
6	48	117.0729433695475	1	117.07294336954752	0.0	250.23315625	6	42	bkgrnd-marine-broth.mzML,6-C2M19.mzML	-1																																														
7	36	118.08653882344554	1	118.08653882344558	0.0	165.79247222222222	18	18	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
8	24	120.08128770192498	1	120.08128770192502	0.0	303.55316666666664	12	12	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
9	24	120.08128770192498	1	120.08128770192502	0.0	303.7443333333333	12	12	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
10	6	120.0851936340332	1	120.0851936340332	0.0	281.4448333333333	3	3	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
11	6	120.0851936340332	1	120.0851936340332	0.0	281.6360000000001	3	3	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
12	12	121.06520207722996	1	121.06520207722998	0.0	203.00175	6	6	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
13	9	123.044208102756	1	123.04420810275596	0.0	210.54533333333336	3	6	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
14	22	125.9865070689807	1	125.98650706898069	0.0	118.27154545454546	10	12	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
15	2	127.04970296224	1	127.04970296224	0.0	229.4765	0	2	6-C2M19.mzML	2																																														
16	2	129.065368652344	1	129.065368652344	0.0	158.275	0	2	6-C2M19.mzML	2																																														
17	2	129.065368652344	1	129.065368652344	0.0	158.4665	0	2	6-C2M19.mzML	2																																														
18	3	129.138005574544	1	129.138005574544	0.0	121.983	0	3	6-C2M19.mzML	2																																														
19	3	129.138005574544	1	129.138005574544	0.0	122.174	0	3	6-C2M19.mzML	2																																														
20	3	130.05116780599	1	130.05116780599	0.0	167.61200000000002	3	0	bkgrnd-marine-broth.mzML	2																																														
21	2	130.05116780599	1	130.05116780599	0.0	168.4175	2	0	bkgrnd-marine-broth.mzML	2																																														
22	2	130.05116780599	1	130.05116780599	0.0	192.178	2	0	bkgrnd-marine-broth.mzML	2																																														
23	6	130.098500569661	1	130.098500569661	0.0	150.9445	6	0	bkgrnd-marine-broth.mzML	2																																														
24	3	130.965667724609	1	130.965667724609	0.0	175.79500000000002	0	3	6-C2M19.mzML	2																																														
25	6	131.04949188232402	1	131.04949188232402	0.0	278.0596666666667	3	3	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
26	6	131.04949188232402	1	131.04949188232402	0.0	278.2506666666667	3	3	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
27	34	131.92959863999317	1	131.9295986399932	0.0	266.5640294117647	8	26	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
28	7	132.10258552723354	1	132.10258552723354	0.0	201.28114285714284	4	3	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
29	2	132.101659138997	1	132.101659138997	0.0	195.043	0	2	6-C2M19.mzML	2																																														
30	30	132.10328031841104	1	132.10328031841107	0.0	248.4431333333333	30	0	bkgrnd-marine-broth.mzML	2																																														
31	3	132.103280318411	1	132.103280318411	0.0	174.78066666666663	3	0	bkgrnd-marine-broth.mzML	2																																														
32	3	132.10784403483066	1	132.10784403483066	0.0	197.04366666666667	3	0	bkgrnd-marine-broth.mzML	2																																														
33	11	136.0760992801556	1	136.0760992801556	0.0	207.0754545454546	5	6	bkgrnd-marine-broth.mzML,6-C2M19.mzML	2																																														
