SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00013639998	59	specs_ms.mgf	WINE-DB-QTOF.mgf	0.991867	194846.0	289.851	4.59364	6	0.000762939	166.087	1	temp/specs_ms.mgf59	1	Phenylalanine_(L-)_30EV	ESI	qTof	Commercial	Axel_Marchal	TE_MLS	M+H	166.086	165.19	1	63-91-2	N/A	C([C@@H](C(O)=O)N)C1=CC=CC=C1	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N/A	1	Positive	WINE-DB-QTOF	166.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H11NO2	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013639998
CCMSLIB00013639998	61	specs_ms.mgf	WINE-DB-QTOF.mgf	0.991268	334779.0	286.458	47.4982	6	0.00788879	166.094	1	temp/specs_ms.mgf61	1	Phenylalanine_(L-)_30EV	ESI	qTof	Commercial	Axel_Marchal	TE_MLS	M+H	166.086	165.19	1	63-91-2	N/A	C([C@@H](C(O)=O)N)C1=CC=CC=C1	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N/A	1	Positive	WINE-DB-QTOF	166.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H11NO2	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013639998
CCMSLIB00000221701	66	specs_ms.mgf	MASSBANK.mgf	0.983987	58274.7	203.181	7.03935	6	0.00128174	182.081	1	temp/specs_ms.mgf66	1	Massbank:PB000413 Tyrosine|2-amino-3-(4-hydroxyphenyl)propanoic acid	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	182.082	0.0	1	N/A	N/A	C1=CC(=CC=C1CC(C(=O)O)N)O	1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)	N/A	3	Positive	MASSBANK	182.082	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-UHFFFAOYSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000221701
CCMSLIB00013065435	83	specs_ms.mgf	MSNLIB-POSITIVE.mgf	0.962044	21047.8	436.473	11.2341	6	0.00230408	205.099	1	temp/specs_ms.mgf83	1	L-tryptophan	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M+H]+	205.097	204.09	1	N/A	N/A	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	QIVBCDIJIAJPQS-VIFPVBQESA-N	1	Positive	MSNLIB-POSITIVE	205.097	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H12N2O2	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013065435
CCMSLIB00003140231	74	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.953781	9883.6	437.957	20.3641	6	0.00382996	188.07	1	temp/specs_ms.mgf74	1	Spectral Match to Abrine from NIST14	ESI	QqQ	Isolated	Data from Pieter Dorrestein	Data deposited by vphelan	M+H-CH3NH2	188.074	0.0	1	526318	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	188.074	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003140231
CCMSLIB00005738160	67	specs_ms.mgf	MASSBANK.mgf	0.948393	112561.0	204.985	1.50844	6	0.000274658	182.081	1	temp/specs_ms.mgf67	1	Massbank:RP000303 L-Tyrosine|(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid	ESI	qTof	Isolated	Massbank	Massbank	M+H	182.081	0.0	1	60-18-4	N/A	c1cc(ccc1C[C@@H](C(=O)O)N)O	1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	3	Positive	MASSBANK	182.081	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005738160
CCMSLIB00004716316	198	specs_ms.mgf	MONA.mgf	0.948269	98205.6	550.839	0.65444	22	0.000305176	466.316	1	temp/specs_ms.mgf198	1	Glycocholic Acid	N/A	ESI-QFT	isolated	MoNA	MoNA:VF-NPL-QEHF025253	[M+H]+	466.316	0.0	1	N/A	N/A	C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1	N/A	3	positive	MONA	466.316	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C26H43NO6	RFDAIACWWDREDC-FRVQLJSFSA-N	RFDAIACWWDREDC	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Steroids	Cholane steroids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004716316
CCMSLIB00000216566	119	specs_ms.mgf	MASSBANK.mgf	0.940065	18611.3	197.554	397.867	8	0.106628	268.107	1	temp/specs_ms.mgf119	1	Massbank:KO002042 Adenosine	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	268.0	0.0	1	58-61-7	N/A	OC[C@@H](O1)[C@@H](O)[C@@H](O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2	1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	N/A	3	Positive	MASSBANK	268.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H13N5O4	OIRDTQYFTABQOQ-KQYNXXCUSA-N	OIRDTQYFTABQOQ	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000216566
CCMSLIB00003136679	124	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.936613	26172.4	220.255	6.01543	6	0.00170898	284.102	1	temp/specs_ms.mgf124	1	Spectral Match to Guanosine from NIST14	ESI	QqQ	Isolated	Data from Dorrestein	Data deposited by quinnr	M+H	284.1	0.0	1	118003	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	284.1	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136679
CCMSLIB00005761025	122	specs_ms.mgf	MASSBANK.mgf	0.926947	6769.8	541.167	0.111267	9	3.05176e-05	274.274	1	temp/specs_ms.mgf122	1	Massbank:LU030804 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	274.274	0.0	1	1541-67-9	N/A	CCCCCCCCCCCCN(CCO)CCO	1S/C16H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-17(13-15-18)14-16-19/h18-19H,2-16H2,1H3	N/A	3	Positive	MASSBANK	274.274	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C16H35NO2	NKFNBVMJTSYZDV-UHFFFAOYSA-N	NKFNBVMJTSYZDV	Organic nitrogen compounds	Organonitrogen compounds	Amines	Fatty acyls|Fatty amides	Fatty alcohols|N-acyl ethanolamines (endocannabinoids)	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005761025
