#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
24	input_spectra/7-C2R07_2.mzML	0	0	130.965789794922	1	5868.660000000001	0.0
24	input_spectra/7-C2R07_2.mzML	1	0	130.965789794922	1	5880.12	0.0
24	input_spectra/7-C2R07_2.mzML	2	0	130.965789794922	1	5979.599999999999	0.0
24	input_spectra/7-C2R07_2.mzML	3	0	130.965789794922	1	5991.12	0.0
3	input_spectra/7-C2R07_2.mzML	4	0	110.008516947428	1	6343.08	0.0
3	input_spectra/7-C2R07_2.mzML	5	0	110.008516947428	1	6354.54	0.0
3	input_spectra/7-C2R07_2.mzML	6	0	110.008516947428	1	6394.5	0.0
3	input_spectra/7-C2R07_2.mzML	7	0	110.008516947428	1	6406.0199999999995	0.0
16	input_spectra/7-C2R07_2.mzML	8	0	125.985897064209	1	6417.48	0.0
16	input_spectra/7-C2R07_2.mzML	9	0	125.985897064209	1	6428.9400000000005	0.0
46	input_spectra/7-C2R07_2.mzML	10	0	151.034879048665	1	6440.400000000001	0.0
46	input_spectra/7-C2R07_2.mzML	11	0	151.034879048665	1	6451.92	0.0
3	input_spectra/7-C2R07_2.mzML	12	0	110.008516947428	1	6491.28	0.0
3	input_spectra/7-C2R07_2.mzML	13	0	110.008516947428	1	6502.799999999999	0.0
16	input_spectra/7-C2R07_2.mzML	14	0	125.985897064209	1	6514.26	0.0
16	input_spectra/7-C2R07_2.mzML	15	0	125.985897064209	1	6525.72	0.0
46	input_spectra/7-C2R07_2.mzML	16	0	151.034879048665	1	6537.18	0.0
46	input_spectra/7-C2R07_2.mzML	17	0	151.034879048665	1	6548.7	0.0
89	input_spectra/7-C2R07_2.mzML	18	0	223.988586425781	1	6560.16	0.0
89	input_spectra/7-C2R07_2.mzML	19	0	223.988586425781	1	6571.68	0.0
78	input_spectra/7-C2R07_2.mzML	20	0	198.939624786377	1	6583.139999999999	0.0
78	input_spectra/7-C2R07_2.mzML	21	0	198.939624786377	1	6594.599999999999	0.0
16	input_spectra/7-C2R07_2.mzML	22	0	125.985897064209	1	6634.0199999999995	0.0
16	input_spectra/7-C2R07_2.mzML	23	0	125.985897064209	1	6645.48	0.0
89	input_spectra/7-C2R07_2.mzML	24	0	223.988586425781	1	6656.94	0.0
89	input_spectra/7-C2R07_2.mzML	25	0	223.988586425781	1	6668.46	0.0
46	input_spectra/7-C2R07_2.mzML	26	0	151.034879048665	1	6679.92	0.0
46	input_spectra/7-C2R07_2.mzML	27	0	151.034879048665	1	6691.38	0.0
78	input_spectra/7-C2R07_2.mzML	28	0	198.939624786377	1	6702.900000000001	0.0
78	input_spectra/7-C2R07_2.mzML	29	0	198.939624786377	1	6714.360000000001	0.0
67	input_spectra/7-C2R07_2.mzML	30	0	182.962148030599	1	6725.82	0.0
68	input_spectra/7-C2R07_2.mzML	31	0	182.962148030599	1	6737.34	0.0
78	input_spectra/7-C2R07_2.mzML	32	0	198.939624786377	1	6776.7	0.0
78	input_spectra/7-C2R07_2.mzML	33	0	198.939624786377	1	6788.16	0.0
89	input_spectra/7-C2R07_2.mzML	34	0	223.988586425781	1	6799.68	0.0
89	input_spectra/7-C2R07_2.mzML	35	0	223.988586425781	1	6811.14	0.0
67	input_spectra/7-C2R07_2.mzML	36	0	182.962148030599	1	6822.599999999999	0.0
68	input_spectra/7-C2R07_2.mzML	37	0	182.962148030599	1	6834.12	0.0
103	input_spectra/7-C2R07_2.mzML	38	0	239.966049194336	1	6845.58	0.0
103	input_spectra/7-C2R07_2.mzML	39	0	239.966049194336	1	6857.099999999999	0.0
42	input_spectra/7-C2R07_2.mzML	40	0	146.164835611979	1	6868.5599999999995	0.0
