cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:7-C2R07_2.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	2	103.053997039795	1	103.053997039795	0.0	283.84900000000005	2	0	7-C2R07_2.mzML	1																																														
2	2	103.053997039795	1	103.053997039795	0.0	284.04	2	0	7-C2R07_2.mzML	1																																														
3	24	110.00916735331198	1	110.00916735331197	0.0	116.88233333333332	12	12	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	2																																														
4	48	117.07297452290838	1	117.07297452290848	0.0	248.74525347222223	42	6	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	-1																																														
5	36	118.08655039469402	1	118.08655039469409	0.0	165.51461111111115	18	18	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	20																																														
6	2	118.085848490397	1	118.085848490397	0.0	211.215	2	0	7-C2R07_2.mzML	1																																														
7	5	120.0855834960938	1	120.0855834960938	0.0	281.25839999999994	2	3	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	1																																														
8	12	120.080488840739	1	120.080488840739	0.0	304.45575	12	0	7-C2R07_2.mzML	1																																														
9	13	120.08219205416192	1	120.08219205416192	0.0	303.17600000000004	1	12	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	1																																														
10	5	120.0855834960938	1	120.0855834960938	0.0	281.44960000000003	2	3	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	1																																														
11	9	120.08048884073898	1	120.08048884073898	0.0	294.7477777777778	9	0	7-C2R07_2.mzML	1																																														
12	13	120.08219205416192	1	120.08219205416192	0.0	303.36730769230775	1	12	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	1																																														
13	3	120.080488840739	1	120.080488840739	0.0	334.34433333333334	3	0	7-C2R07_2.mzML	-1																																														
14	12	121.06522369384798	1	121.065223693848	0.0	202.9730833333333	6	6	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	1																																														
15	2	123.045349121094	1	123.045349121094	0.0	211.211	0	2	bkgrnd-marine-broth.mzML	1																																														
16	22	125.98660902543487	1	125.98660902543487	0.0	118.37181818181816	12	10	7-C2R07_2.mzML,bkgrnd-marine-broth.mzML	2																																														
