#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
3	input_spectra/8-C3M06.mzML	0	0	110.00857035319	1	6339.12	0.0
3	input_spectra/8-C3M06.mzML	1	0	110.00857035319	1	6350.58	0.0
3	input_spectra/8-C3M06.mzML	2	0	110.00857035319	1	6389.94	0.0
3	input_spectra/8-C3M06.mzML	3	0	110.00857035319	1	6401.4	0.0
12	input_spectra/8-C3M06.mzML	4	0	125.985936482747	1	6412.92	0.0
12	input_spectra/8-C3M06.mzML	5	0	125.985936482747	1	6424.379999999999	0.0
39	input_spectra/8-C3M06.mzML	6	0	151.034823099772	1	6435.84	0.0
39	input_spectra/8-C3M06.mzML	7	0	151.034823099772	1	6447.360000000001	0.0
3	input_spectra/8-C3M06.mzML	8	0	110.00857035319	1	6486.719999999999	0.0
3	input_spectra/8-C3M06.mzML	9	0	110.00857035319	1	6498.18	0.0
12	input_spectra/8-C3M06.mzML	10	0	125.985936482747	1	6509.64	0.0
12	input_spectra/8-C3M06.mzML	11	0	125.985936482747	1	6521.160000000001	0.0
39	input_spectra/8-C3M06.mzML	12	0	151.034823099772	1	6532.62	0.0
39	input_spectra/8-C3M06.mzML	13	0	151.034823099772	1	6544.08	0.0
78	input_spectra/8-C3M06.mzML	14	0	223.988544464111	1	6555.6	0.0
78	input_spectra/8-C3M06.mzML	15	0	223.988544464111	1	6567.0599999999995	0.0
67	input_spectra/8-C3M06.mzML	16	0	198.93966293335	1	6578.5199999999995	0.0
67	input_spectra/8-C3M06.mzML	17	0	198.93966293335	1	6590.04	0.0
12	input_spectra/8-C3M06.mzML	18	0	125.985936482747	1	6629.4	0.0
12	input_spectra/8-C3M06.mzML	19	0	125.985936482747	1	6640.86	0.0
39	input_spectra/8-C3M06.mzML	20	0	151.034823099772	1	6652.32	0.0
39	input_spectra/8-C3M06.mzML	21	0	151.034823099772	1	6663.839999999999	0.0
78	input_spectra/8-C3M06.mzML	22	0	223.988544464111	1	6675.299999999999	0.0
78	input_spectra/8-C3M06.mzML	23	0	223.988544464111	1	6686.82	0.0
67	input_spectra/8-C3M06.mzML	24	0	198.93966293335	1	6698.280000000001	0.0
67	input_spectra/8-C3M06.mzML	25	0	198.93966293335	1	6709.74	0.0
57	input_spectra/8-C3M06.mzML	26	0	182.962168375651	1	6721.26	0.0
58	input_spectra/8-C3M06.mzML	27	0	182.962168375651	1	6732.72	0.0
78	input_spectra/8-C3M06.mzML	28	0	223.988544464111	1	6772.14	0.0
78	input_spectra/8-C3M06.mzML	29	0	223.988544464111	1	6783.6	0.0
67	input_spectra/8-C3M06.mzML	30	0	198.93966293335	1	6795.06	0.0
67	input_spectra/8-C3M06.mzML	31	0	198.93966293335	1	6806.58	0.0
