cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:8-C3M06.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	2	103.054044087728	1	103.054044087728	0.0	283.56750000000005	0	2	8-C3M06.mzML	1																																														
2	3	103.054044087728	1	103.054044087728	0.0	283.7583333333333	0	3	8-C3M06.mzML	1																																														
3	24	110.009194056193	1	110.00919405619295	0.0	116.79225	12	12	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
4	48	117.07303110758426	1	117.07303110758424	0.0	249.64348611111112	6	42	bkgrnd-marine-broth.mzML,8-C3M06.mzML	-1																																														
5	36	118.08659829033752	1	118.0865982903376	0.0	166.3239166666667	18	18	bkgrnd-marine-broth.mzML,8-C3M06.mzML	-1																																														
6	23	120.08144677203644	1	120.08144677203644	0.0	308.0209565217391	12	11	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
7	6	120.08535639445016	1	120.08535639445016	0.0	282.3058333333334	3	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
8	23	120.08144677203644	1	120.08144677203644	0.0	308.2121739130435	12	11	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
9	6	120.08535639445016	1	120.08535639445016	0.0	282.4968333333333	3	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
10	12	121.06523768107098	1	121.065237681071	0.0	202.5745833333333	6	6	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1	CCMSLIB00003134604	10.0	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.967046	58932.6	201.816	16095.4	6.0	1.98045	121.065	1.0	temp/specs_ms.mgf10	1.0	Spectral Match to Benzoic acid from NIST14	ESI	QQQ	Isolated	Data from Rob Knight	Data deposited by aaksenov	M+H	123.045	122.037	1.0	65850		C1=CC=C(C=C1)C(=O)O	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)		3.0	Positive	GNPS-NIST14-MATCHES	123.045	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C7H6O2	WPYMKLBDIGXBTP-UHFFFAOYSA-N	WPYMKLBDIGXBTP	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003134604
11	9	123.044201321072	1	123.044201321072	0.0	210.57077777777772	3	6	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
12	22	125.9866305264556	1	125.9866305264556	0.0	118.27240909090912	10	12	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
13	6	130.05031077067096	1	130.05031077067096	0.0	167.07283333333334	3	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	22																																														
14	4	130.04988225301148	1	130.04988225301148	0.0	166.687	1	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	22																																														
15	6	130.05031077067096	1	130.05031077067096	0.0	188.6373333333333	3	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
16	4	130.04988225301148	1	130.04988225301148	0.0	188.0285	1	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
17	2	130.05116780599	1	130.05116780599	0.0	168.4175	2	0	bkgrnd-marine-broth.mzML	22																																														
18	12	130.09778086344397	1	130.09778086344397	0.0	150.61866666666666	6	6	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
19	6	131.0495427449545	1	131.0495427449545	0.0	280.0135	3	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
20	6	131.0495427449545	1	131.0495427449545	0.0	280.2046666666667	3	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
21	8	131.930934906006	1	131.930934906006	0.0	272.480375	8	0	bkgrnd-marine-broth.mzML	1																																														
22	69	132.10254167934568	1	132.10254167934562	0.0	234.0717536231884	38	31	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
23	2	132.101636250814	1	132.101636250814	0.0	172.2965	0	2	8-C3M06.mzML	1																																														
24	6	132.10779698689785	1	132.10779698689785	0.0	197.4778333333333	3	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
25	2	132.107391357422	1	132.107391357422	0.0	194.826	1	1	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1	CCMSLIB00006113094	25.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.789978	68092.4	194.862	43.5464	6.0	0.00575256	132.108	1.0	temp/specs_ms.mgf25	1.0	L-(+)-Isoleucine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	132.102	0.0	1.0			CC[C@H](C)[C@@H](C(=O)O)N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1		1.0	Positive	BIRMINGHAM-UHPLC-MS-POS	132.102	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H13NO2	AGPKZVBTJJNPAG-WHFBIAKZSA-N	AGPKZVBTJJNPAG	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006113094
26	2	136.061401367188	1	136.061401367188	0.0	197.5315	0	2	8-C3M06.mzML	1																																														
27	11	136.0761159261072	1	136.0761159261072	0.0	209.27336363636363	5	6	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1																																														
28	5	137.0459920247394	1	137.0459920247394	0.0	210.9142	2	3	bkgrnd-marine-broth.mzML,8-C3M06.mzML	1	CCMSLIB00003137374	28.0	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.951167	8675.1	214.472	5.45569	6.0	0.000747681	137.045	1.0	temp/specs_ms.mgf28	1.0	Spectral Match to Hypoxanthine from NIST14	ESI	qTof	Isolated	Data from Joshua Wollam	Data deposited by fevargas	M+H	137.046	136.038	1.0	68940		C1=NC2=C(N1)C(=O)NC=N2	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)		3.0	Positive	GNPS-NIST14-MATCHES	137.046	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H4N4O	FDGQSTZJBFJUBT-UHFFFAOYSA-N	FDGQSTZJBFJUBT	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	Purine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003137374
