#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
24	input_spectra/9-D3M06.mzML	0	0	130.96614074707	1	5874.0	0.0
24	input_spectra/9-D3M06.mzML	1	0	130.96614074707	1	5885.46	0.0
24	input_spectra/9-D3M06.mzML	2	0	130.96614074707	1	5936.879999999999	0.0
24	input_spectra/9-D3M06.mzML	3	0	130.96614074707	1	5948.34	0.0
3	input_spectra/9-D3M06.mzML	4	0	110.008759816488	1	6336.42	0.0
3	input_spectra/9-D3M06.mzML	5	0	110.008759816488	1	6347.88	0.0
3	input_spectra/9-D3M06.mzML	6	0	110.008759816488	1	6387.24	0.0
3	input_spectra/9-D3M06.mzML	7	0	110.008759816488	1	6398.7	0.0
16	input_spectra/9-D3M06.mzML	8	0	125.98616027832	1	6410.22	0.0
16	input_spectra/9-D3M06.mzML	9	0	125.98616027832	1	6421.68	0.0
44	input_spectra/9-D3M06.mzML	10	0	151.035100301107	1	6433.139999999999	0.0
44	input_spectra/9-D3M06.mzML	11	0	151.035100301107	1	6444.599999999999	0.0
3	input_spectra/9-D3M06.mzML	12	0	110.008759816488	1	6484.0199999999995	0.0
3	input_spectra/9-D3M06.mzML	13	0	110.008759816488	1	6495.48	0.0
16	input_spectra/9-D3M06.mzML	14	0	125.98616027832	1	6506.94	0.0
16	input_spectra/9-D3M06.mzML	15	0	125.98616027832	1	6518.4	0.0
44	input_spectra/9-D3M06.mzML	16	0	151.035100301107	1	6529.92	0.0
44	input_spectra/9-D3M06.mzML	17	0	151.035100301107	1	6541.38	0.0
90	input_spectra/9-D3M06.mzML	18	0	223.988647460938	1	6552.84	0.0
90	input_spectra/9-D3M06.mzML	19	0	223.988647460938	1	6564.360000000001	0.0
79	input_spectra/9-D3M06.mzML	20	0	198.939777374268	1	6575.82	0.0
79	input_spectra/9-D3M06.mzML	21	0	198.939777374268	1	6587.28	0.0
16	input_spectra/9-D3M06.mzML	22	0	125.98616027832	1	6626.7	0.0
16	input_spectra/9-D3M06.mzML	23	0	125.98616027832	1	6638.16	0.0
90	input_spectra/9-D3M06.mzML	24	0	223.988647460938	1	6649.68	0.0
90	input_spectra/9-D3M06.mzML	25	0	223.988647460938	1	6661.14	0.0
44	input_spectra/9-D3M06.mzML	26	0	151.035100301107	1	6672.599999999999	0.0
44	input_spectra/9-D3M06.mzML	27	0	151.035100301107	1	6684.12	0.0
79	input_spectra/9-D3M06.mzML	28	0	198.939777374268	1	6695.58	0.0
79	input_spectra/9-D3M06.mzML	29	0	198.939777374268	1	6707.099999999999	0.0
69	input_spectra/9-D3M06.mzML	30	0	182.962285359701	1	6718.5599999999995	0.0
70	input_spectra/9-D3M06.mzML	31	0	182.962285359701	1	6730.02	0.0
90	input_spectra/9-D3M06.mzML	32	0	223.988647460938	1	6769.44	0.0
90	input_spectra/9-D3M06.mzML	33	0	223.988647460938	1	6780.9	0.0
79	input_spectra/9-D3M06.mzML	34	0	198.939777374268	1	6792.360000000001	0.0
79	input_spectra/9-D3M06.mzML	35	0	198.939777374268	1	6803.88	0.0
69	input_spectra/9-D3M06.mzML	36	0	182.962285359701	1	6815.400000000001	0.0
70	input_spectra/9-D3M06.mzML	37	0	182.962285359701	1	6826.92	0.0
104	input_spectra/9-D3M06.mzML	38	0	239.966130574544	1	6838.38	0.0
104	input_spectra/9-D3M06.mzML	39	0	239.966130574544	1	6849.84	0.0
39	input_spectra/9-D3M06.mzML	40	0	146.165018717448	1	6861.36	0.0
39	input_spectra/9-D3M06.mzML	41	0	146.165018717448	1	6872.82	0.0
