cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:9-D3M06.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	3	103.054054260254	1	103.054054260254	0.0	282.1409999999999	0	3	9-D3M06.mzML	2																																														
2	3	103.054054260254	1	103.054054260254	0.0	282.332	0	3	9-D3M06.mzML	2																																														
3	24	110.00928878784198	1	110.00928878784195	0.0	116.72033333333336	12	12	bkgrnd-marine-broth.mzML,9-D3M06.mzML	28																																														
4	48	117.07301521301235	1	117.0730152130124	0.0	248.26507291666664	6	42	bkgrnd-marine-broth.mzML,9-D3M06.mzML	-1																																														
5	36	118.08661047617602	1	118.08661047617608	0.0	165.74391666666668	18	18	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
6	3	118.085968653361	1	118.085968653361	0.0	210.107	0	3	9-D3M06.mzML	2																																														
7	2	118.085968653361	1	118.085968653361	0.0	210.914	0	2	9-D3M06.mzML	2																																														
8	20	120.0814628601078	1	120.0814628601078	0.0	304.76154999999994	12	8	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
9	2	120.086292266846	1	120.086292266846	0.0	281.7695	2	0	bkgrnd-marine-broth.mzML	2																																														
10	5	120.0839538574218	1	120.0839538574218	0.0	282.87160000000006	1	4	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
11	20	120.0814628601078	1	120.0814628601078	0.0	304.9528	12	8	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
12	2	120.086292266846	1	120.086292266846	0.0	281.9605	2	0	bkgrnd-marine-broth.mzML	2																																														
13	5	120.0839538574218	1	120.0839538574218	0.0	283.06260000000003	1	4	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
14	12	121.06529871622747	1	121.0652987162275	0.0	203.31191666666663	6	6	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
15	2	123.045349121094	1	123.045349121094	0.0	211.211	2	0	bkgrnd-marine-broth.mzML	2																																														
16	22	125.98675259676816	1	125.98675259676814	0.0	118.32059090909092	10	12	bkgrnd-marine-broth.mzML,9-D3M06.mzML	28																																														
17	3	127.04974365234402	1	127.04974365234402	0.0	322.7506666666667	0	3	9-D3M06.mzML	43	CCMSLIB00006125396	17.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-NEG.mgf	0.814934	7721.0	324.365	7803.39	6.0	0.983742	127.05	1.0	temp/specs_ms.mgf17	1.0	5-Methylcytosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	126.066	0.0	1.0			Cc1cnc([nH]c1=N)O	InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)		1.0	Positive	BIRMINGHAM-UHPLC-MS-NEG	126.066	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H7N3O	LRSASMSXMSNRBT-UHFFFAOYSA-N	LRSASMSXMSNRBT	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Nicotinic acid alkaloids	Pyridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006125396
18	2	127.049743652344	1	127.049743652344	0.0	322.135	0	2	9-D3M06.mzML	43																																														
19	6	129.065567016602	1	129.065567016602	0.0	158.71216666666666	0	6	9-D3M06.mzML	-1																																														
20	3	130.05116780599	1	130.05116780599	0.0	167.61200000000002	3	0	bkgrnd-marine-broth.mzML	2																																														
21	2	130.05116780599	1	130.05116780599	0.0	168.4175	2	0	bkgrnd-marine-broth.mzML	2																																														
22	2	130.05116780599	1	130.05116780599	0.0	192.178	2	0	bkgrnd-marine-broth.mzML	2																																														
23	12	130.09777832031247	1	130.09777832031247	0.0	150.6085833333333	6	6	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
24	4	130.96614074707	1	130.96614074707	0.0	98.51949999999998	0	4	9-D3M06.mzML	28																																														
25	6	131.0495681762695	1	131.0495681762695	0.0	280.1708333333333	3	3	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
26	6	131.0495681762695	1	131.0495681762695	0.0	280.3618333333334	3	3	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
27	8	131.930934906006	1	131.930934906006	0.0	272.480375	8	0	bkgrnd-marine-broth.mzML	28																																														
28	78	132.10260320903362	1	132.10260320903356	0.0	234.86408974358977	38	40	bkgrnd-marine-broth.mzML,9-D3M06.mzML	28																																														
29	5	132.1082855224608	1	132.1082855224608	0.0	197.2648	3	2	bkgrnd-marine-broth.mzML,9-D3M06.mzML	2																																														
30	5	136.077031453451	1	136.077031453451	0.0	208.93400000000003	5	0	bkgrnd-marine-broth.mzML	2																																														
31	5	137.04611409505202	1	137.04611409505202	0.0	209.886	2	3	bkgrnd-marine-broth.mzML,9-D3M06.mzML	18	CCMSLIB00010103297	31.0	specs_ms.mgf	BERKELEY-LAB.mgf	0.903388	9207.4	214.453	4.00826	6.0	0.000549316	137.045	1.0	temp/specs_ms.mgf31	1.0	hypoxanthine CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	137.046	0.0	1.0			Oc1ncnc2[nH]cnc12	"""InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"""		3.0	Positive	BERKELEY-LAB	137.046	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H4N4O	FDGQSTZJBFJUBT-UHFFFAOYSA-N	FDGQSTZJBFJUBT	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	pteridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010103297
32	5	137.04611409505202	1	137.04611409505202	0.0	210.077	2	3	bkgrnd-marine-broth.mzML,9-D3M06.mzML	18	CCMSLIB00004717214	32.0	specs_ms.mgf	MONA.mgf	0.854678	11806.4	213.056	7.90519	6.0	0.00108337	137.047	1.0	temp/specs_ms.mgf32	1.0	Hypoxanthine		ESI-QFT	isolated	MoNA	MoNA:VF-NPL-QEHF026151	[M+H]+	137.046	0.0	1.0			Oc1ncnc2[nH]cnc12	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)		3.0	positive	MONA	137.046	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H4N4O	FDGQSTZJBFJUBT-UHFFFAOYSA-N	FDGQSTZJBFJUBT	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	pteridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004717214
