#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
35	input_spectra/10-D3M17.mzML	0	0	130.965957641602	1	6057.84	0.0
35	input_spectra/10-D3M17.mzML	1	0	130.965957641602	1	6069.3	0.0
4	input_spectra/10-D3M17.mzML	2	0	110.008536020915	1	6313.0199999999995	0.0
5	input_spectra/10-D3M17.mzML	3	0	110.008536020915	1	6324.54	0.0
4	input_spectra/10-D3M17.mzML	4	0	110.008536020915	1	6363.9	0.0
4	input_spectra/10-D3M17.mzML	5	0	110.008536020915	1	6375.36	0.0
23	input_spectra/10-D3M17.mzML	6	0	125.985977172852	1	6386.82	0.0
23	input_spectra/10-D3M17.mzML	7	0	125.985977172852	1	6398.280000000001	0.0
57	input_spectra/10-D3M17.mzML	8	0	151.034866333008	1	6409.8	0.0
57	input_spectra/10-D3M17.mzML	9	0	151.034866333008	1	6421.26	0.0
4	input_spectra/10-D3M17.mzML	10	0	110.008536020915	1	6460.620000000001	0.0
4	input_spectra/10-D3M17.mzML	11	0	110.008536020915	1	6472.08	0.0
23	input_spectra/10-D3M17.mzML	12	0	125.985977172852	1	6483.6	0.0
23	input_spectra/10-D3M17.mzML	13	0	125.985977172852	1	6495.06	0.0
57	input_spectra/10-D3M17.mzML	14	0	151.034866333008	1	6506.5199999999995	0.0
57	input_spectra/10-D3M17.mzML	15	0	151.034866333008	1	6518.04	0.0
104	input_spectra/10-D3M17.mzML	16	0	223.988521575928	1	6529.5	0.0
104	input_spectra/10-D3M17.mzML	17	0	223.988521575928	1	6541.0199999999995	0.0
92	input_spectra/10-D3M17.mzML	18	0	198.939529418945	1	6552.48	0.0
92	input_spectra/10-D3M17.mzML	19	0	198.939529418945	1	6563.9400000000005	0.0
23	input_spectra/10-D3M17.mzML	20	0	125.985977172852	1	6603.36	0.0
23	input_spectra/10-D3M17.mzML	21	0	125.985977172852	1	6614.82	0.0
57	input_spectra/10-D3M17.mzML	22	0	151.034866333008	1	6626.28	0.0
57	input_spectra/10-D3M17.mzML	23	0	151.034866333008	1	6637.799999999999	0.0
104	input_spectra/10-D3M17.mzML	24	0	223.988521575928	1	6649.26	0.0
104	input_spectra/10-D3M17.mzML	25	0	223.988521575928	1	6660.72	0.0
92	input_spectra/10-D3M17.mzML	26	0	198.939529418945	1	6672.24	0.0
92	input_spectra/10-D3M17.mzML	27	0	198.939529418945	1	6683.7	0.0
53	input_spectra/10-D3M17.mzML	28	0	146.164788818359	1	6695.16	0.0
53	input_spectra/10-D3M17.mzML	29	0	146.164788818359	1	6706.68	0.0
92	input_spectra/10-D3M17.mzML	30	0	198.939529418945	1	6746.04	0.0
92	input_spectra/10-D3M17.mzML	31	0	198.939529418945	1	6757.5	0.0
104	input_spectra/10-D3M17.mzML	32	0	223.988521575928	1	6769.0199999999995	0.0
104	input_spectra/10-D3M17.mzML	33	0	223.988521575928	1	6780.48	0.0
53	input_spectra/10-D3M17.mzML	34	0	146.164788818359	1	6791.94	0.0
53	input_spectra/10-D3M17.mzML	35	0	146.164788818359	1	6803.46	0.0
81	input_spectra/10-D3M17.mzML	36	0	182.962173461914	1	6814.92	0.0
82	input_spectra/10-D3M17.mzML	37	0	182.962173461914	1	6826.38	0.0
120	input_spectra/10-D3M17.mzML	38	0	239.965911865234	1	6837.900000000001	0.0
120	input_spectra/10-D3M17.mzML	39	0	239.965911865234	1	6849.360000000001	0.0
81	input_spectra/10-D3M17.mzML	40	0	182.962173461914	1	6888.78	0.0
82	input_spectra/10-D3M17.mzML	41	0	182.962173461914	1	6900.240000000001	0.0
53	input_spectra/10-D3M17.mzML	42	0	146.164788818359	1	6911.7	0.0
53	input_spectra/10-D3M17.mzML	43	0	146.164788818359	1	6923.22	0.0
120	input_spectra/10-D3M17.mzML	44	0	239.965911865234	1	6934.68	0.0
120	input_spectra/10-D3M17.mzML	45	0	239.965911865234	1	6946.2	0.0
66	input_spectra/10-D3M17.mzML	46	0	160.180470784505	1	6957.66	0.0
66	input_spectra/10-D3M17.mzML	47	0	160.180470784505	1	6969.12	0.0
93	input_spectra/10-D3M17.mzML	48	0	203.222401936849	1	6980.639999999999	0.0
93	input_spectra/10-D3M17.mzML	49	0	203.222401936849	1	6992.099999999999	0.0
81	input_spectra/10-D3M17.mzML	50	0	182.962173461914	1	7031.5199999999995	0.0
82	input_spectra/10-D3M17.mzML	51	0	182.962173461914	1	7042.98	0.0
120	input_spectra/10-D3M17.mzML	52	0	239.965911865234	1	7054.44	0.0
120	input_spectra/10-D3M17.mzML	53	0	239.965911865234	1	7065.96	0.0
66	input_spectra/10-D3M17.mzML	54	0	160.180470784505	1	7077.42	0.0
66	input_spectra/10-D3M17.mzML	55	0	160.180470784505	1	7088.9400000000005	0.0
98	input_spectra/10-D3M17.mzML	56	0	214.917012532552	1	7100.400000000001	0.0
98	input_spectra/10-D3M17.mzML	57	0	214.917012532552	1	7111.860000000001	0.0
