cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:10-D3M17.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	3	103.053822835286	1	103.053822835286	0.0	283.3353333333333	0	3	10-D3M17.mzML	4																																														
2	3	103.053822835286	1	103.053822835286	0.0	283.5263333333333	0	3	10-D3M17.mzML	4																																														
3	6	105.06956481933598	1	105.06956481933598	0.0	316.66283333333337	0	6	10-D3M17.mzML	4																																														
4	22	110.00917689005549	1	110.00917689005549	0.0	117.6355909090909	11	11	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
5	2	110.0091768900555	1	110.0091768900555	0.0	106.0075	1	1	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
6	6	113.963152567546	1	113.963152567546	0.0	279.4051666666667	0	6	10-D3M17.mzML	4																																														
7	6	116.07022942437102	1	116.07022942437102	0.0	143.92883333333336	0	6	10-D3M17.mzML	4																																														
8	6	116.07022942437102	1	116.07022942437102	0.0	173.57533333333336	0	6	10-D3M17.mzML	4																																														
9	6	116.07022942437102	1	116.07022942437102	0.0	173.7663333333333	0	6	10-D3M17.mzML	4																																														
10	48	117.07304509480838	1	117.07304509480848	0.0	250.1759618055556	6	42	bkgrnd-marine-broth.mzML,10-D3M17.mzML	-1																																														
11	36	118.08653736114502	1	118.08653736114508	0.0	168.34241666666668	18	18	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
12	2	118.085822423299	1	118.085822423299	0.0	210.893	0	2	10-D3M17.mzML	4																																														
13	4	120.044278462728	1	120.044278462728	0.0	524.0065	0	4	10-D3M17.mzML	4																																														
14	2	120.044278462728	1	120.044278462728	0.0	524.4979999999999	0	2	10-D3M17.mzML	4																																														
15	24	120.081298045623	1	120.081298045623	0.0	305.0928333333333	12	12	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
16	6	120.0849838256837	1	120.0849838256837	0.0	281.6011666666667	3	3	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
17	25	120.08126678466796	1	120.08126678466796	0.0	305.6632	12	13	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
18	6	120.0849838256837	1	120.0849838256837	0.0	281.79233333333326	3	3	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
19	12	121.06521224975596	1	121.065212249756	0.0	202.87675	6	6	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
20	3	122.096059163411	1	122.096059163411	0.0	314.4440000000001	0	3	10-D3M17.mzML	4	CCMSLIB00006360034	20.0	specs_ms.mgf	BMDMS-NP.mgf	0.746668	47887.8	314.189	7671.81	6.0	0.943939	122.096	1.0	temp/specs_ms.mgf20	1.0	Benzoic acid	ESI	Orbitrap	Commercial standard	BMDMS-NP	BMDMS-NP	[M+H]+	123.04	122.037	1.0			O=C(O)C=1C=CC=CC1	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)		1.0	Positive	BMDMS-NP	123.04	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H6O2	WPYMKLBDIGXBTP-UHFFFAOYSA-N	WPYMKLBDIGXBTP	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006360034
21	3	122.096059163411	1	122.096059163411	0.0	314.635	0	3	10-D3M17.mzML	4																																														
22	7	123.04440307617172	1	123.04440307617172	0.0	210.016	3	4	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
23	22	125.98665272105836	1	125.98665272105832	0.0	118.13540909090908	10	12	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
24	2	127.049728393555	1	127.049728393555	0.0	231.0615	0	2	10-D3M17.mzML	4	CCMSLIB00006125396	24.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-NEG.mgf	0.851742	10851.5	230.447	7803.27	7.0	0.983727	127.05	1.0	temp/specs_ms.mgf24	1.0	5-Methylcytosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	126.066	0.0	1.0			Cc1cnc([nH]c1=N)O	InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)		1.0	Positive	BIRMINGHAM-UHPLC-MS-NEG	126.066	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H7N3O	LRSASMSXMSNRBT-UHFFFAOYSA-N	LRSASMSXMSNRBT	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Nicotinic acid alkaloids	Pyridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006125396
25	3	129.065424601237	1	129.065424601237	0.0	158.56699999999998	0	3	10-D3M17.mzML	4																																														
26	2	129.065424601237	1	129.065424601237	0.0	158.207	0	2	10-D3M17.mzML	4																																														
27	5	129.138371785482	1	129.138371785482	0.0	123.1522	0	5	10-D3M17.mzML	4																																														
28	6	130.050302187602	1	130.050302187602	0.0	167.01083333333332	3	3	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
29	4	130.049869378408	1	130.049869378408	0.0	166.59425000000002	1	3	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
30	8	130.050085783005	1	130.050085783005	0.0	195.624	3	5	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
31	4	130.049869378408	1	130.049869378408	0.0	187.4365	1	3	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
32	2	130.049436569214	1	130.049436569214	0.0	217.959	0	2	10-D3M17.mzML	4																																														
33	2	130.05116780599	1	130.05116780599	0.0	168.4175	2	0	bkgrnd-marine-broth.mzML	4																																														
34	6	130.098500569661	1	130.098500569661	0.0	150.9445	6	0	bkgrnd-marine-broth.mzML	4																																														
35	2	130.965957641602	1	130.965957641602	0.0	101.0595	0	2	10-D3M17.mzML	4																																														
36	6	131.04950714111305	1	131.04950714111305	0.0	278.09083333333336	3	3	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
37	6	131.04950714111305	1	131.04950714111305	0.0	278.28200000000004	3	3	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
38	8	131.930934906006	1	131.930934906006	0.0	272.480375	8	0	bkgrnd-marine-broth.mzML	4																																														
39	4	132.1069164276125	1	132.1069164276125	0.0	196.7955	3	1	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
40	25	132.10153503418	1	132.10153503418	0.0	213.97416	0	25	10-D3M17.mzML	4																																														
41	40	132.1033599853518	1	132.1033599853518	0.0	235.095725	38	2	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4																																														
42	2	132.10153503418	1	132.10153503418	0.0	213.121	0	2	10-D3M17.mzML	4																																														
43	2	132.106800079346	1	132.106800079346	0.0	194.3255	1	1	bkgrnd-marine-broth.mzML,10-D3M17.mzML	4	CCMSLIB00006113090	43.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.824754	102999.0	193.861	34.5368	6.0	0.00456238	132.107	1.0	temp/specs_ms.mgf43	1.0	L-(+)-Isoleucine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	132.102	0.0	1.0			CC[C@H](C)[C@@H](C(=O)O)N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1		1.0	Positive	BIRMINGHAM-UHPLC-MS-POS	132.102	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H13NO2	AGPKZVBTJJNPAG-WHFBIAKZSA-N	AGPKZVBTJJNPAG	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006113090
