SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00012879179	95	specs_ms.mgf	MSNLIB-POSITIVE.mgf	0.991736	50347.5	435.84	0.37199	6	7.62939e-05	205.097	1	temp/specs_ms.mgf95	1	D-Tryptophan	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M+H]+	205.097	204.09	1	N/A	N/A	N[C@H](Cc1c[nH]c2ccccc12)C(=O)O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m1/s1	QIVBCDIJIAJPQS-SECBINFHSA-N	1	Positive	MSNLIB-POSITIVE	205.097	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H12N2O2	QIVBCDIJIAJPQS-SECBINFHSA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012879179
CCMSLIB00000427096	79	specs_ms.mgf	HMDB.mgf	0.98428	38716.4	204.883	5.78232	6	0.00105286	182.083	1	temp/specs_ms.mgf79	1	HMDB:HMDB00158-246 L-Tyrosine	Positive	Quattro_QQQ:25eV	Isolated	HMDB	HMDB	M+H	182.082	181.074	1	60-18-4	N/A	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	3	Positive	HMDB	182.082	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000427096
CCMSLIB00000425339	94	specs_ms.mgf	HMDB.mgf	0.980799	55688.5	434.418	5.28223	7	0.00108337	205.097	1	temp/specs_ms.mgf94	1	HMDB:HMDB00929-1322 L-Tryptophan	Positive	Quattro_QQQ:25eV	Isolated	HMDB	HMDB	M+H	205.098	204.09	1	73-22-3	N/A	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	3	Positive	HMDB	205.098	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C11H12N2O2	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000425339
CCMSLIB00000425520	80	specs_ms.mgf	HMDB.mgf	0.972724	39588.3	203.377	7.37455	6	0.00134277	182.081	1	temp/specs_ms.mgf80	1	HMDB:HMDB00158-247 L-Tyrosine	Positive	Quattro_QQQ:40eV	Isolated	HMDB	HMDB	M+H	182.082	181.074	1	60-18-4	N/A	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	3	Positive	HMDB	182.082	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000425520
CCMSLIB00005883807	45	specs_ms.mgf	GNPS-LIBRARY.mgf	0.958158	7912.9	195.747	7.90519	6	0.00108337	137.047	1	temp/specs_ms.mgf45	1	HYPOXANTHINE - 70.0 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	137.046	0.0	1	68-94-0	N/A	OC1=NC=NC2=C1NC=N2	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	N/A	1	Positive	GNPS-LIBRARY	137.046	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H4N4O	FDGQSTZJBFJUBT-UHFFFAOYSA-N	FDGQSTZJBFJUBT	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	Purine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005883807
CCMSLIB00006114303	46	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.956136	31572.9	194.627	5.12167	6	0.000701904	137.045	1	temp/specs_ms.mgf46	1	6-OXOPURINE - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	Unknown	137.046	0.0	1		N/A	C1=NC2=NC=NC(=O)C2=N1	InChI=1S/C5H2N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	137.046	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H2N4O	UYLWKSJTHLRFBX-UHFFFAOYSA-N	UYLWKSJTHLRFBX	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids		Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006114303
CCMSLIB00003138038	86	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.948806	51009.7	436.031	12.9	7	0.00242615	188.071	1	temp/specs_ms.mgf86	1	Spectral Match to L-Tryptophan from NIST14	ESI	HCD	Isolated	Data from Pieter Dorrestein	Data deposited by dfloros	M+H-NH3	188.073	0.0	1	73223	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	188.073	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138038
CCMSLIB00006112726	77	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.942745	8258.0	141.884	344.734	7	0.0603485	175.118	1	temp/specs_ms.mgf77	1	Xylitol - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+Na	175.058	0.0	1		N/A	C([C@H]([C@@H]([C@H](CO)O)O)O)O	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	175.058	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H12O5	HEBKCHPVOIAQTA-SCDXWVJYSA-N	HEBKCHPVOIAQTA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006112726
CCMSLIB00000007114	128	specs_ms.mgf	GNPS-LIBRARY.mgf	0.938498	49897.5	457.864	3.85671	11	0.00100708	261.123	1	temp/specs_ms.mgf128	1	cyclo(Phe-4-Hyp)	DI-ESI	qTof	Isolated	Keyzers	R Keyzers	M+H	261.124	260.116	1	0	N/A	N/A	N/A	N/A	3	Positive	GNPS-LIBRARY	261.124	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000007114
CCMSLIB00006112725	75	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.932669	13102.0	151.97	11233.1	6	1.96645	173.092	1	temp/specs_ms.mgf75	1	Xylitol - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+Na	175.058	0.0	1		N/A	C([C@H]([C@@H]([C@H](CO)O)O)O)O	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	175.058	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H12O5	HEBKCHPVOIAQTA-SCDXWVJYSA-N	HEBKCHPVOIAQTA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006112725
