cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:11-G1M02.mzML	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
1	24	110.00918197631852	1	110.00918197631846	0.0	116.93491666666668	12	12	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
2	12	113.963219960531	1	113.963219960531	0.0	300.62583333333333	0	12	11-G1M02.mzML	2																																														
3	54	117.07303139015497	1	117.07303139015504	0.0	271.24290123456785	6	48	bkgrnd-marine-broth.mzML,11-G1M02.mzML	-1																																														
4	30	118.08678436279304	1	118.08678436279308	0.0	164.03086666666667	18	12	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
5	2	118.086082458496	1	118.086082458496	0.0	180.1125	0	2	11-G1M02.mzML	2																																														
6	42	120.08152879987443	1	120.08152879987442	0.0	295.5785238095238	24	18	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
7	3	120.08581288655633	1	120.08581288655633	0.0	280.70733333333334	3	0	bkgrnd-marine-broth.mzML	2																																														
8	3	120.08581288655633	1	120.08581288655633	0.0	280.8983333333333	3	0	bkgrnd-marine-broth.mzML	2																																														
9	12	121.06517791748048	1	121.06517791748048	0.0	198.65175	6	6	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
10	2	122.09629313151	1	122.09629313151	0.0	19.245083333333334	0	2	11-G1M02.mzML	-1																																														
11	46	122.96374644403905	1	122.96374644403905	0.0	290.82256521739134	0	46	11-G1M02.mzML	2																																														
12	2	123.045349121094	1	123.045349121094	0.0	211.211	2	0	bkgrnd-marine-broth.mzML	2																																														
13	18	125.98679945203978	1	125.98679945203972	0.0	115.95538888888888	10	8	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
14	6	129.065567016602	1	129.065567016602	0.0	163.83383333333333	0	6	11-G1M02.mzML	2																																														
15	6	130.04978179931666	1	130.04978179931666	0.0	184.89033333333333	1	5	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
16	3	130.05061340332065	1	130.05061340332065	0.0	189.57933333333327	2	1	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
17	3	130.05116780599	1	130.05116780599	0.0	167.61200000000002	3	0	bkgrnd-marine-broth.mzML	2																																														
18	2	130.05116780599	1	130.05116780599	0.0	168.4175	2	0	bkgrnd-marine-broth.mzML	2																																														
19	12	130.0978444417315	1	130.0978444417315	0.0	149.43158333333332	6	6	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
20	4	130.965805053711	1	130.965805053711	0.0	175.08975	0	4	11-G1M02.mzML	2																																														
21	6	131.04965718587252	1	131.04965718587252	0.0	276.531	3	3	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
22	6	131.04965718587252	1	131.04965718587252	0.0	276.72200000000004	3	3	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
23	32	131.92984294891352	1	131.92984294891346	0.0	231.0219375	8	24	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
24	14	132.10164642334	1	132.10164642334	0.0	210.23064285714284	0	14	11-G1M02.mzML	2																																														
25	40	132.10333404541035	1	132.10333404541035	0.0	234.4425	38	2	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
26	2	132.104354858398	1	132.104354858398	0.0	187.264	0	2	11-G1M02.mzML	2																																														
27	5	132.1077758789064	1	132.1077758789064	0.0	194.839	3	2	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
28	3	132.107460021973	1	132.107460021973	0.0	194.33300000000003	1	2	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
29	11	136.07606598825177	1	136.07606598825177	0.0	205.37036363636363	5	6	bkgrnd-marine-broth.mzML,11-G1M02.mzML	2																																														
