SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00013639998	57	specs_ms.mgf	WINE-DB-QTOF.mgf	0.993689	113452.0	270.807	0.459364	6	7.62939e-05	166.086	1	temp/specs_ms.mgf57	1	Phenylalanine_(L-)_30EV	ESI	qTof	Commercial	Axel_Marchal	TE_MLS	M+H	166.086	165.19	1	63-91-2	N/A	C([C@@H](C(O)=O)N)C1=CC=CC=C1	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N/A	1	Positive	WINE-DB-QTOF	166.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H11NO2	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013639998
CCMSLIB00013639998	60	specs_ms.mgf	WINE-DB-QTOF.mgf	0.991268	334779.0	286.458	47.4982	6	0.00788879	166.094	1	temp/specs_ms.mgf60	1	Phenylalanine_(L-)_30EV	ESI	qTof	Commercial	Axel_Marchal	TE_MLS	M+H	166.086	165.19	1	63-91-2	N/A	C([C@@H](C(O)=O)N)C1=CC=CC=C1	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N/A	1	Positive	WINE-DB-QTOF	166.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H11NO2	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013639998
CCMSLIB00003135135	71	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.964673	18684.4	434.473	13.0625	6	0.00245667	188.072	1	temp/specs_ms.mgf71	1	Spectral Match to DL-Indole-3-lactic acid from NIST14	ESI	Q-TOF	Isolated	Data from Dorrestein	Data deposited by quinnr	M+H-H2O	188.07	0.0	1	832973	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	188.07	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135135
CCMSLIB00006680856	30	specs_ms.mgf	MONA.mgf	0.964577	31690.3	188.07	3.78558	7	0.000518799	137.045	1	temp/specs_ms.mgf30	1	HYPOXANTHINE	ESI	qTof	isolated	MoNA	MoNA:MoNA033471	M+H	137.046	0.0	1	N/A	N/A	C1=NC2=C(N=CN=C2N1)O	"""InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"""	N/A	3	positive	MONA	137.046	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H4N4O	FDGQSTZJBFJUBT-UHFFFAOYSA-N	FDGQSTZJBFJUBT	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	pteridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006680856
CCMSLIB00006114297	31	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.964192	34935.9	188.262	3.78558	7	0.000518799	137.045	1	temp/specs_ms.mgf31	1	6-OXOPURINE - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	Unknown	137.046	0.0	1		N/A	C1=NC2=NC=NC(=O)C2=N1	InChI=1S/C5H2N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	137.046	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H2N4O	UYLWKSJTHLRFBX-UHFFFAOYSA-N	UYLWKSJTHLRFBX	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids		Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006114297
CCMSLIB00003137887	79	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.954856	14565.9	433.899	3.42225	6	0.000701904	205.099	1	temp/specs_ms.mgf79	1	Spectral Match to L-Tryptophan from NIST14	ESI	HCD	Isolated	Data from Pieter Dorrestein	Data deposited by dfloros	M+H	205.1	0.0	1	73223	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	205.1	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003137887
CCMSLIB00003138038	70	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.942263	18037.6	436.665	2.83963	7	0.000534058	188.072	1	temp/specs_ms.mgf70	1	Spectral Match to L-Tryptophan from NIST14	ESI	HCD	Isolated	Data from Pieter Dorrestein	Data deposited by dfloros	M+H-NH3	188.073	0.0	1	73223	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	188.073	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138038
CCMSLIB00000216566	107	specs_ms.mgf	MASSBANK.mgf	0.940065	18611.3	197.554	397.867	8	0.106628	268.107	1	temp/specs_ms.mgf107	1	Massbank:KO002042 Adenosine	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	268.0	0.0	1	58-61-7	N/A	OC[C@@H](O1)[C@@H](O)[C@@H](O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2	1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	N/A	3	Positive	MASSBANK	268.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H13N5O4	OIRDTQYFTABQOQ-KQYNXXCUSA-N	OIRDTQYFTABQOQ	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000216566
CCMSLIB00003136679	112	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.936613	26172.4	220.255	6.01543	6	0.00170898	284.102	1	temp/specs_ms.mgf112	1	Spectral Match to Guanosine from NIST14	ESI	QqQ	Isolated	Data from Dorrestein	Data deposited by quinnr	M+H	284.1	0.0	1	118003	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	284.1	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136679
CCMSLIB00000427096	64	specs_ms.mgf	HMDB.mgf	0.923031	27930.5	200.182	8.21257	6	0.00149536	182.081	1	temp/specs_ms.mgf64	1	HMDB:HMDB00158-246 L-Tyrosine	Positive	Quattro_QQQ:25eV	Isolated	HMDB	HMDB	M+H	182.082	181.074	1	60-18-4	N/A	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	3	Positive	HMDB	182.082	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000427096
CCMSLIB00013065435	80	specs_ms.mgf	MSNLIB-POSITIVE.mgf	0.916041	18692.8	434.09	11.2341	6	0.00230408	205.099	1	temp/specs_ms.mgf80	1	L-tryptophan	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M+H]+	205.097	204.09	1	N/A	N/A	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	QIVBCDIJIAJPQS-VIFPVBQESA-N	1	Positive	MSNLIB-POSITIVE	205.097	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H12N2O2	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013065435
CCMSLIB00000007114	103	specs_ms.mgf	GNPS-LIBRARY.mgf	0.906883	12544.7	459.204	3.38923	9	0.00088501	261.123	1	temp/specs_ms.mgf103	1	cyclo(Phe-4-Hyp)	DI-ESI	qTof	Isolated	Keyzers	R Keyzers	M+H	261.124	260.116	1	0	N/A	N/A	N/A	N/A	3	Positive	GNPS-LIBRARY	261.124	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000007114
CCMSLIB00012728820	101	specs_ms.mgf	ECRFS_DB.mgf	0.891537	10158.2	632.83	1.29973	8	0.000335693	258.279	1	temp/specs_ms.mgf101	1	Myristamine oxide	ESI	Orbitrap	Commercial	Federico Padilla	"""Sjors Rasker, Wout Bergkamp"""	M+H	258.279	257.272	1	3332-27-2	N/A	CCCCCCCCCCCCCC[N+](C)(C)[O-]	ONHFWHCMZAJCFB-UHFFFAOYSA-N	N/A	1	Positive	ECRFS_DB	258.279	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	ONHFWHCMZAJCFB-UHFFFAOYSA-N	ONHFWHCMZAJCFB	Organic nitrogen compounds	Organonitrogen compounds	Aminoxides	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012728820
CCMSLIB00006684524	113	specs_ms.mgf	MONA.mgf	0.882013	13742.2	218.369	9.56027	6	0.00271606	284.102	1	temp/specs_ms.mgf113	1	GUANOSINE	ESI	qTof	isolated	MoNA	MoNA:MoNA036418	M+H	284.099	0.0	1	N/A	N/A	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2NC(=N)N=C3O)O1)O)O)O	"""InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1"""	N/A	3	positive	MONA	284.099	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H13N5O5	NYHBQMYGNKIUIF-UUOKFMHZSA-N	NYHBQMYGNKIUIF	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006684524
