#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
67	input_spectra/1-1A01.mzML	0	0	130.967704772949	1	6238.5599999999995	0.0
67	input_spectra/1-1A01.mzML	1	0	130.967704772949	1	6250.02	0.0
67	input_spectra/1-1A01.mzML	2	0	130.967704772949	1	6301.4400000000005	0.0
67	input_spectra/1-1A01.mzML	3	0	130.967704772949	1	6312.900000000001	0.0
4	input_spectra/1-1A01.mzML	4	0	110.010064442952	1	6388.32	0.0
4	input_spectra/1-1A01.mzML	5	0	110.010064442952	1	6399.84	0.0
5	input_spectra/1-1A01.mzML	6	0	110.010064442952	1	6439.2	0.0
4	input_spectra/1-1A01.mzML	7	0	110.010064442952	1	6450.66	0.0
119	input_spectra/1-1A01.mzML	8	0	151.03714243571	1	6462.12	0.0
120	input_spectra/1-1A01.mzML	9	0	151.03714243571	1	6473.58	0.0
5	input_spectra/1-1A01.mzML	10	0	110.010064442952	1	6512.9400000000005	0.0
5	input_spectra/1-1A01.mzML	11	0	110.010064442952	1	6524.4	0.0
45	input_spectra/1-1A01.mzML	12	0	125.987838745117	1	6535.86	0.0
45	input_spectra/1-1A01.mzML	13	0	125.987838745117	1	6547.38	0.0
119	input_spectra/1-1A01.mzML	14	0	151.03714243571	1	6558.839999999999	0.0
120	input_spectra/1-1A01.mzML	15	0	151.03714243571	1	6570.299999999999	0.0
206	input_spectra/1-1A01.mzML	16	0	223.991817474365	1	6581.82	0.0
206	input_spectra/1-1A01.mzML	17	0	223.991817474365	1	6593.280000000001	0.0
191	input_spectra/1-1A01.mzML	18	0	198.942447662354	1	6604.8	0.0
191	input_spectra/1-1A01.mzML	19	0	198.942447662354	1	6616.26	0.0
206	input_spectra/1-1A01.mzML	20	0	223.991817474365	1	6655.620000000001	0.0
206	input_spectra/1-1A01.mzML	21	0	223.991817474365	1	6667.08	0.0
45	input_spectra/1-1A01.mzML	22	0	125.987838745117	1	6678.6	0.0
45	input_spectra/1-1A01.mzML	23	0	125.987838745117	1	6690.06	0.0
119	input_spectra/1-1A01.mzML	24	0	151.03714243571	1	6701.5199999999995	0.0
120	input_spectra/1-1A01.mzML	25	0	151.03714243571	1	6712.98	0.0
191	input_spectra/1-1A01.mzML	26	0	198.942447662354	1	6724.5	0.0
191	input_spectra/1-1A01.mzML	27	0	198.942447662354	1	6735.96	0.0
165	input_spectra/1-1A01.mzML	28	0	182.964797973633	1	6747.42	0.0
166	input_spectra/1-1A01.mzML	29	0	182.964797973633	1	6758.9400000000005	0.0
206	input_spectra/1-1A01.mzML	30	0	223.991817474365	1	6798.3	0.0
206	input_spectra/1-1A01.mzML	31	0	223.991817474365	1	6809.759999999999	0.0
191	input_spectra/1-1A01.mzML	32	0	198.942447662354	1	6821.28	0.0
191	input_spectra/1-1A01.mzML	33	0	198.942447662354	1	6832.740000000001	0.0
45	input_spectra/1-1A01.mzML	34	0	125.987838745117	1	6844.2	0.0
45	input_spectra/1-1A01.mzML	35	0	125.987838745117	1	6855.72	0.0
165	input_spectra/1-1A01.mzML	36	0	182.964797973633	1	6867.18	0.0
166	input_spectra/1-1A01.mzML	37	0	182.964797973633	1	6878.64	0.0
223	input_spectra/1-1A01.mzML	38	0	239.969614664714	1	6890.16	0.0
223	input_spectra/1-1A01.mzML	39	0	239.969614664714	1	6901.62	0.0
165	input_spectra/1-1A01.mzML	40	0	182.964797973633	1	6940.9800000000005	0.0
166	input_spectra/1-1A01.mzML	41	0	182.964797973633	1	6952.5	0.0
223	input_spectra/1-1A01.mzML	42	0	239.969614664714	1	6963.96	0.0
223	input_spectra/1-1A01.mzML	43	0	239.969614664714	1	6975.48	0.0
115	input_spectra/1-1A01.mzML	44	0	146.166920979818	1	6986.94	0.0
115	input_spectra/1-1A01.mzML	45	0	146.166920979818	1	6998.4	0.0
238	input_spectra/1-1A01.mzML	46	0	265.018829345703	1	7009.92	0.0
238	input_spectra/1-1A01.mzML	47	0	265.018829345703	1	7021.38	0.0
223	input_spectra/1-1A01.mzML	48	0	239.969614664714	1	7060.8	0.0
223	input_spectra/1-1A01.mzML	49	0	239.969614664714	1	7072.259999999999	0.0
115	input_spectra/1-1A01.mzML	50	0	146.166920979818	1	7083.72	0.0
115	input_spectra/1-1A01.mzML	51	0	146.166920979818	1	7095.240000000001	0.0
238	input_spectra/1-1A01.mzML	52	0	265.018829345703	1	7106.7	0.0
238	input_spectra/1-1A01.mzML	53	0	265.018829345703	1	7118.22	0.0
198	input_spectra/1-1A01.mzML	54	0	214.919987996419	1	7129.68	0.0
198	input_spectra/1-1A01.mzML	55	0	214.919987996419	1	7141.2	0.0
115	input_spectra/1-1A01.mzML	56	0	146.166920979818	1	7180.56	0.0
115	input_spectra/1-1A01.mzML	57	0	146.166920979818	1	7192.08	0.0
238	input_spectra/1-1A01.mzML	58	0	265.018829345703	1	7203.54	0.0
238	input_spectra/1-1A01.mzML	59	0	265.018829345703	1	7215.06	0.0
198	input_spectra/1-1A01.mzML	60	0	214.919987996419	1	7290.42	0.0
198	input_spectra/1-1A01.mzML	61	0	214.919987996419	1	7301.94	0.0
198	input_spectra/1-1A01.mzML	62	0	214.919987996419	1	7377.360000000001	0.0
198	input_spectra/1-1A01.mzML	63	0	214.919987996419	1	7388.820000000001	0.0
5	input_spectra/1-1A01.mzML	64	0	110.010064442952	1	7548.42	0.0
5	input_spectra/1-1A01.mzML	65	0	110.010064442952	1	7559.88	0.0
5	input_spectra/1-1A01.mzML	66	0	110.010064442952	1	7599.24	0.0
5	input_spectra/1-1A01.mzML	67	0	110.010064442952	1	7610.7	0.0
