cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean
1	14	103.05396670386891	1	103.05396670386891	0.0	282.62807142857145
2	15	103.05397186279284	1	103.05397186279285	0.0	282.8816666666667
3	6	105.06956481933598	1	105.06956481933598	0.0	316.66283333333337
4	36	110.00889068179657	1	110.00889068179653	0.0	106.21819444444444
5	108	110.00889068179653	1	110.00889068179649	0.0	119.97274074074075
6	6	113.033991495768	1	113.033991495768	0.0	189.9838333333333
7	46	113.9631894982382	1	113.96318949823818	0.0	296.19778260869566
8	6	116.07022942437102	1	116.07022942437102	0.0	143.92883333333336
9	6	116.07022942437102	1	116.07022942437102	0.0	173.57533333333336
10	6	116.07022942437102	1	116.07022942437102	0.0	173.7663333333333
11	131	117.0728418019039	1	117.07284180190402	0.0	208.2566017811705
12	30	117.07281668123105	1	117.07281668123103	0.0	207.51523333333333
13	56	117.07286763785909	1	117.07286763785922	0.0	222.39955059523808
14	24	117.07308912277222	1	117.0730891227722	0.0	298.52831249999997
15	61	117.07280633724383	1	117.0728063372439	0.0	203.60668852459014
16	49	117.07282274998148	1	117.07282274998153	0.0	125.69079931972789
17	35	117.07279948366465	1	117.07279948366468	0.0	223.42544285714288
18	45	117.07292509936778	1	117.07292509936777	0.0	373.76084444444444
19	70	118.08644343239908	1	118.08644343239914	0.0	162.47562857142856
20	86	118.08638586542077	1	118.08638586542081	0.0	164.8120581395349
21	20	118.08607940673821	1	118.08607940673826	0.0	166.61124999999998
22	12	118.08583638932953	1	118.08583638932951	0.0	209.72583333333336
23	9	118.08583814832878	1	118.08583814832878	0.0	208.44722222222222
24	3	118.08587985568568	1	118.08587985568568	0.0	212.73399999999998
25	3	118.08583323160799	1	118.08583323160799	0.0	153.29066666666668
26	2	118.086082458496	1	118.086082458496	0.0	180.1125
27	4	120.044278462728	1	120.044278462728	0.0	524.0065
28	2	120.044278462728	1	120.044278462728	0.0	524.4979999999999
29	55	120.08084286041388	1	120.08084286041391	0.0	316.0324545454545
30	12	120.08511670430507	1	120.08511670430507	0.0	281.75083333333333
31	64	120.08051685680695	1	120.08051685680704	0.0	293.29676562500003
32	22	120.08300022934426	1	120.08300022934426	0.0	284.7689545454546
33	12	120.08511670430507	1	120.08511670430507	0.0	281.55966666666666
34	47	120.08051897275452	1	120.08051897275456	0.0	285.1966170212766
35	21	120.08304407028928	1	120.08304407028928	0.0	283.09280952380954
36	35	120.08098973247456	1	120.08098973247459	0.0	315.1516571428572
37	3	120.080488840739	1	120.080488840739	0.0	334.34433333333334
38	60	121.06482518514001	1	121.06482518513992	0.0	201.9304
39	10	122.096512031555	1	122.09651203155502	0.0	319.0994
40	10	122.096512031555	1	122.09651203155502	0.0	319.2905
41	6	122.09605587853316	1	122.09605587853316	0.0	18.9845
42	2	122.0960782368975	1	122.0960782368975	0.0	18.82875
43	48	122.96373526255316	1	122.96373526255321	0.0	292.3574791666667
44	23	123.04385641346794	1	123.04385641346794	0.0	210.2775652173913
45	109	125.98626052903101	1	125.9862605290309	0.0	115.85888073394496
46	25	125.9865172526042	1	125.98651725260419	0.0	128.68824
47	5	127.04962768554701	1	127.04962768554701	0.0	230.12399999999997
48	5	127.0496643066408	1	127.0496643066408	0.0	249.06840000000003
49	5	127.0497090657556	1	127.0497090657556	0.0	229.92300000000003
50	8	127.049743652344	1	127.04974365234399	0.0	264.608
51	9	127.049835205078	1	127.049835205078	0.0	311.90155555555555
52	25	129.06544738769543	1	129.06544738769537	0.0	158.86752000000004
53	8	129.0652923583985	1	129.0652923583985	0.0	158.431125
54	4	129.065322875977	1	129.065322875977	0.0	158.658
55	6	129.065567016602	1	129.065567016602	0.0	163.83383333333333
56	18	129.13820393880198	1	129.13820393880198	0.0	122.46277777777777
57	26	130.050085581266	1	130.05008558126602	0.0	172.00515384615386
58	40	130.0494519710541	1	130.0494519710541	0.0	184.9732
59	22	130.0496414935951	1	130.04964149359512	0.0	194.71795454545455
60	5	130.0497896830244	1	130.0497896830244	0.0	187.1128
61	6	130.0513526068793	1	130.0513526068793	0.0	176.37433333333334
62	2	130.051445007324	1	130.051445007324	0.0	179.08149999999998
63	3	130.085698445638	1	130.085698445638	0.0	150.8493333333333
64	3	130.085698445638	1	130.085698445638	0.0	151.04033333333334
65	48	130.09766832987475	1	130.09766832987472	0.0	150.322625
66	6	130.122512817383	1	130.122512817383	0.0	511.01566666666673
67	36	130.9661602444119	1	130.9661602444118	0.0	193.7498611111111
68	29	131.0488665350552	1	131.04886653505525	0.0	279.04503448275864
69	29	131.0488665350552	1	131.04886653505525	0.0	279.2361724137931
70	71	131.92940545541867	1	131.92940545541865	0.0	262.5330563380282
71	45	131.92937135354055	1	131.92937135354052	0.0	253.23348888888887
72	19	131.92925092977703	1	131.92925092977703	0.0	286.31826315789476
