row ID,row m/z,row retention time,1-1A01.mzML Peak area,2-6D03.mzML Peak area,3-B2R04.mzML Peak area,4-B2R08.mzML Peak area,5-B2R09.mzML Peak area,6-C2M19.mzML Peak area,7-C2R07_2.mzML Peak area,8-C3M06.mzML Peak area,9-D3M06.mzML Peak area,10-D3M17.mzML Peak area,11-G1M02.mzML Peak area,bkgrnd-marine-broth.mzML Peak area
1,103.05396670386891,16957.684285714287,0,0,0,0,1,1,1,1,1,1,0,0
2,103.05397186279284,16972.9,0,0,0,0,1,1,1,1,1,1,0,0
3,105.06956481933598,18999.77,0,0,0,0,0,0,0,0,0,1,0,0
4,110.00889068179657,6373.091666666666,1,1,1,1,1,1,1,1,1,1,1,1
5,110.00889068179653,7198.364444444444,1,1,1,1,1,1,1,1,1,1,1,1
6,113.033991495768,11399.029999999999,0,0,0,1,0,0,0,0,0,0,0,0
7,113.9631894982382,17771.86695652174,0,0,0,1,0,1,0,0,0,1,1,0
8,116.07022942437102,8635.730000000001,0,0,0,0,0,0,0,0,0,1,0,0
9,116.07022942437102,10414.519999999999,0,0,0,0,0,0,0,0,0,1,0,0
10,116.07022942437102,10425.980000000001,0,0,0,0,0,0,0,0,0,1,0,0
11,117.0728418019039,12495.39610687023,1,1,1,1,1,1,1,1,1,1,1,1
12,117.07281668123105,12450.913999999999,0,1,1,1,1,1,1,1,1,1,1,0
13,117.07286763785909,13343.973035714285,1,1,1,1,1,1,1,1,1,1,1,1
14,117.07308912277222,17911.69875,1,0,1,1,1,1,0,1,1,1,1,1
15,117.07280633724383,12216.401311475409,0,1,1,1,1,1,1,1,1,1,1,0
16,117.07282274998148,7541.447959183673,0,1,1,1,1,1,1,1,1,1,1,0
17,117.07279948366465,13405.526571428572,0,1,1,1,1,1,1,1,1,1,1,0
18,117.07292509936778,22425.65066666667,1,0,1,1,1,1,1,1,1,1,1,1
19,118.08644343239908,9748.537714285714,1,1,0,1,0,1,1,1,1,1,1,1
20,118.08638586542077,9888.723488372094,1,1,0,1,0,1,1,1,1,1,1,1
21,118.08607940673821,9996.675,0,0,1,1,0,0,0,1,1,1,0,1
22,118.08583638932953,12583.550000000001,0,0,0,1,0,1,1,0,1,1,0,0
23,118.08583814832878,12506.833333333334,0,0,0,1,0,1,1,0,1,1,0,0
24,118.08587985568568,12764.039999999999,0,0,0,0,0,0,1,0,1,1,0,0
25,118.08583323160799,9197.44,0,0,1,0,0,0,0,0,0,0,0,0
26,118.086082458496,10806.75,0,0,0,0,0,0,0,0,0,0,1,0
27,120.044278462728,31440.39,0,0,0,0,0,0,0,0,0,1,0,0
28,120.044278462728,31469.879999999997,0,0,0,0,0,0,0,0,0,1,0,0
29,120.08084286041388,18961.947272727273,1,1,1,1,1,1,1,1,1,1,1,1
30,120.08511670430507,16905.05,0,0,0,0,1,1,1,1,0,0,0,1
31,120.08051685680695,17597.8059375,0,0,1,1,1,1,1,1,1,1,1,0
32,120.08300022934426,17086.137272727276,0,1,0,1,0,0,1,1,1,1,0,1
33,120.08511670430507,16893.579999999998,0,0,0,0,1,1,1,1,0,0,0,1
34,120.08051897275452,17111.797021276598,0,0,1,1,1,1,1,1,1,1,1,0
35,120.08304407028928,16985.568571428572,0,1,0,1,0,0,1,1,1,1,0,1
36,120.08098973247456,18909.09942857143,1,1,1,1,1,1,1,1,1,1,1,1
