filename	ATTRIBUTE_GROUP	ATTRIBUTE_ORGANISM	ATTRIBUTE_PERFILEGROUPING
1-1A01.mzML	G1	Vibrio_1A01	1-1A01.mzML
2-6D03.mzML	G1	Vibrio_6D03	2-6D03.mzML
3-B2R04.mzML	G1	Phaeobacter_B2R04	3-B2R04.mzML
4-B2R08.mzML	G1	Shewanella_B2R08	4-B2R08.mzML
5-B2R09.mzML	G1	Roseovarius_B2R09	5-B2R09.mzML
6-C2M19.mzML	G1	Colwellia_C2M19	6-C2M19.mzML
7-C2R07_2.mzML	G1	Paracoccus_C2R07	7-C2R07_2.mzML
8-C3M06.mzML	G1	Salipiger_C3M06	8-C3M06.mzML
9-D3M06.mzML	G1	Acinetobacter_D3M06	9-D3M06.mzML
10-D3M17.mzML	G1	Arenibacter_D3M17	10-D3M17.mzML
11-G1M02.mzML	G1	Motilimonas_G1M02	11-G1M02.mzML
bkgrnd-marine-broth.mzML	G2		bkgrnd-marine-broth.mzML
