USI1,USI2,SMILES1,SpectrumID,Compound_Name,CLUSTERID1,CLUSTERID2
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:466,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,466
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:467,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,467
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:512,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,512
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:534,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,534
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:545,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,545
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:546,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,546
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:570,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,570
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:571,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,571
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:589,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,589
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004715668,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:590,COc1cccc2cc3c(c(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c12)C(C)OC3=O,CCMSLIB00004715668,"5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one",511,590
