component_id	number_of_nodes	number_of_edges
7	77	166
8	29	103
12	27	81
3	20	68
10	17	66
18	17	22
1	17	65
82	16	62
27	16	59
22	14	32
20	9	19
60	7	8
31	7	10
90	6	8
34	5	8
100	5	6
78	5	15
24	4	4
117	4	8
98	4	9
41	4	6
37	4	4
92	3	5
120	3	6
114	3	4
80	3	4
119	3	3
11	3	3
16	3	6
67	2	2
174	2	3
48	2	2
26	2	2
94	2	3
107	2	2
5	2	2
135	2	3
30	2	2
38	2	3
89	1	1
164	1	1
59	1	1
169	1	1
97	1	1
222	1	1
130	1	1
86	1	1
156	1	1
62	1	1
4	1	1
65	1	1
63	1	1
166	1	1
45	1	1
51	1	1
72	1	1
144	1	1
138	1	1
106	1	1
162	1	1
88	1	1
171	1	1
47	1	1
108	1	1
53	1	1
46	1	1
110	1	1
217	1	1
172	1	1
104	1	1
102	1	1
142	1	1
180	1	1
225	1	1
21	1	1
58	1	1
178	1	1
50	1	1
184	1	1
152	1	1
84	1	1
143	1	1
213	1	1
