CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
285	379	1	0.8713	-132.086
304	379	1	0.8999	-105.085
312	379	1	0.9181	-88.058
329	379	1	0.883	-61.060
339	379	1	0.9321	-44.031
378	379	1	0.8991	-0.006
379	427	1	0.88	-44.019
379	472	1	0.9066	-88.045
379	515	1	0.8682	-132.071
379	572	1	0.8813	-220.124
285	304	1	0.9035	-27.001
304	312	1	0.9081	-17.027
304	329	1	0.8901	-44.026
304	339	1	0.8946	-61.054
304	354	1	0.8685	-88.052
304	472	1	0.8986	-193.130
304	592	1	0.8642	-369.235
312	472	1	0.8858	-176.104
329	472	1	0.8872	-149.105
339	472	1	0.9249	-132.076
378	472	1	0.9055	-88.051
472	515	1	0.9209	-44.026
472	572	1	0.9318	-132.078
472	592	1	0.9044	-176.104
472	604	1	0.9033	-220.130
621	633	1	0.833	-44.025
285	354	1	0.8895	-115.052
312	354	1	0.8892	-71.025
329	354	1	0.8668	-44.026
329	592	1	0.8685	-325.209
378	592	1	0.8895	-264.156
515	592	1	0.9	-132.079
549	592	1	0.8731	-88.052
572	592	1	0.922	-44.026
592	604	1	0.8926	-44.026
378	549	1	0.8936	-176.104
427	549	1	0.871	-132.079
515	549	1	0.9015	-44.027
549	572	1	0.8882	-44.026
549	621	1	0.863	-176.104
339	604	1	0.8939	-352.206
378	604	1	0.8929	-308.182
427	604	1	0.8583	-264.156
515	604	1	0.9026	-176.104
572	604	1	0.9182	-88.052
604	621	1	0.8746	-44.027
329	572	1	0.8758	-281.183
339	572	1	0.9224	-264.155
378	572	1	0.9181	-220.130
427	572	1	0.8805	-176.105
515	572	1	0.9223	-88.053
285	312	1	0.9149	-44.028
312	329	1	0.9073	-26.999
312	339	1	0.9181	-44.027
312	378	1	0.8794	-88.052
339	378	1	0.9548	-44.025
378	427	1	0.9126	-44.025
378	515	1	0.9385	-132.077
272	285	1	0.8345	-17.027
285	329	1	0.8873	-71.026
339	515	1	0.9186	-176.102
427	515	1	0.8987	-88.052
515	621	1	0.8875	-220.131
339	427	1	0.8954	-88.050
329	339	1	0.9067	-17.029
466	511	3	0.8524	-44.026
467	511	3	0.8928	-44.026
511	512	3	0.862	-0.000
511	534	3	0.8385	-28.031
511	545	3	0.889	-44.036
511	546	3	0.8753	-44.027
511	570	3	0.8563	-88.052
511	571	3	0.851	-88.052
511	589	3	0.8561	-132.077
511	590	3	0.8556	-132.078
602	603	3	0.7643	-0.002
422	466	3	0.8373	-44.025
422	546	3	0.8185	-132.078
422	571	3	0.7724	-176.103
450	489	3	0.7649	-28.031
489	534	3	0.7631	-56.063
496	560	3	0.7776	-88.052
498	560	3	0.7368	-84.093
534	560	3	0.7698	-44.026
545	560	3	0.8377	-28.021
450	534	3	0.795	-84.094
496	534	3	0.7888	-44.026
512	534	3	0.8066	-28.031
466	496	3	0.8209	-28.031
467	496	3	0.8469	-28.031
421	512	3	0.8066	-88.052
466	512	3	0.9034	-44.026
467	512	3	0.8826	-44.026
512	545	3	0.863	-44.036
512	546	3	0.9023	-44.026
512	570	3	0.8186	-88.052
512	571	3	0.857	-88.052
512	589	3	0.8474	-132.077
512	590	3	0.8669	-132.078
466	570	3	0.8078	-132.078
467	570	3	0.8418	-132.078
545	570	3	0.8532	-44.016
546	570	3	0.8496	-44.025
570	571	3	0.83	0.000
570	589	3	0.8742	-44.025
570	590	3	0.847	-44.026
570	603	3	0.8183	-88.052
466	571	3	0.8405	-132.078
467	571	3	0.8451	-132.078
545	571	3	0.8336	-44.016
546	571	3	0.9089	-44.025
571	589	3	0.8453	-44.025
571	590	3	0.8522	-44.026
466	467	3	0.8662	0.000
467	545	3	0.8802	-88.062
467	546	3	0.8971	-88.053
467	589	3	0.8603	-176.103
467	590	3	0.8544	-176.104
466	589	3	0.8113	-176.103
545	589	3	0.8822	-88.041
546	589	3	0.8559	-88.050
589	590	3	0.8683	-0.001
589	603	3	0.8355	-44.028
411	450	3	0.7989	-44.026
450	498	3	0.7908	-44.026
545	546	3	0.8381	0.009
545	590	3	0.8535	-88.042
545	603	3	0.8411	-132.069
466	546	3	0.9091	-88.053
546	590	3	0.8882	-88.051
411	498	3	0.7975	-88.052
466	590	3	0.8593	-176.104
590	603	3	0.7994	-44.026
691	693	4	0.916	-15.981
23	24	5	0.8995	-0.000
22	23	5	0.8871	0.000
1	3	7	0.858	-2.016
3	116	7	0.8706	-43.990
145	205	7	0.8441	-57.022
116	140	7	0.8538	-15.995
29	34	7	0.8576	-0.000
33	34	7	0.9513	0.006
34	35	7	0.961	-0.002
34	38	7	0.8735	-0.984
34	98	7	0.8498	-18.010
34	143	7	0.8718	-46.006
34	147	7	0.9229	-46.011
34	148	7	0.9348	-46.006
34	149	7	0.9346	-46.009
25	74	7	0.8604	-14.023
25	80	7	0.9229	-14.022
25	81	7	0.8742	-14.016
54	61	7	0.9002	-0.986
57	61	7	0.8477	-0.002
58	61	7	0.8662	-0.002
61	62	7	0.8444	-0.000
61	64	7	0.8461	-0.035
53	60	7	0.8434	-0.984
30	99	7	0.89	-18.006
31	99	7	0.9178	-18.010
32	99	7	0.907	-18.007
38	99	7	0.9254	-17.026
69	99	7	0.8627	-7.042
90	99	7	0.8778	-2.029
65	292	7	0.849	-190.061
213	292	7	0.8797	-91.042
257	292	7	0.8939	-34.021
74	80	7	0.8646	0.001
74	83	7	0.8595	0.002
5	119	7	0.9167	-41.024
119	120	7	0.9356	-0.000
8	63	7	0.8485	-14.015
54	63	7	0.8429	-1.020
63	64	7	0.9134	0.000
63	76	7	0.8441	-2.016
63	77	7	0.8476	-2.018
116	141	7	0.8665	-15.995
75	146	7	0.9088	-33.982
144	146	7	0.9814	0.001
145	146	7	0.9577	-0.004
146	147	7	0.8563	-0.002
146	149	7	0.8443	0.000
75	144	7	0.9034	-33.983
75	145	7	0.888	-33.978
38	111	7	0.8487	-24.995
60	80	7	0.8782	-2.058
80	81	7	0.9099	0.006
80	82	7	0.8476	0.004
8	65	7	0.8614	-14.029
33	35	7	0.9864	0.004
33	38	7	0.8576	-0.978
33	143	7	0.8522	-46.000
33	147	7	0.9569	-46.005
33	148	7	0.962	-46.000
33	149	7	0.9657	-46.003
54	57	7	0.8563	-0.984
54	58	7	0.8702	-0.984
54	62	7	0.8553	-0.986
54	64	7	0.8809	-1.020
31	95	7	0.8451	-16.967
38	95	7	0.8532	-15.983
90	95	7	0.8977	-0.986
7	72	7	0.8808	-17.966
67	72	7	0.8801	-0.963
70	72	7	0.9036	0.000
71	72	7	0.8923	0.000
72	86	7	0.8746	-0.172
72	87	7	0.9064	-0.173
65	133	7	0.8475	-27.993
1	2	7	0.8864	-0.000
5	7	7	0.8447	-3.953
5	45	7	0.8964	-15.976
5	120	7	0.9609	-41.025
31	90	7	0.8794	-15.981
32	90	7	0.8536	-15.978
38	90	7	0.9103	-14.997
90	98	7	0.848	-2.029
60	83	7	0.8492	-2.058
83	88	7	0.8486	0.002
144	145	7	0.9499	0.005
144	147	7	0.8719	-0.000
144	148	7	0.8525	0.004
144	149	7	0.8592	0.001
19	20	7	0.8432	-0.000
20	65	7	0.8688	-12.013
199	237	7	0.8834	-48.000
213	237	7	0.8643	-34.021
57	77	7	0.8901	-2.054
59	77	7	0.9032	-2.054
76	77	7	0.9303	-0.002
77	81	7	0.8469	0.002
77	145	7	0.8464	-33.982
7	70	7	0.8891	-17.966
7	71	7	0.8739	-17.966
7	86	7	0.8551	-18.139
7	87	7	0.8875	-18.139
1	30	7	0.8776	-17.031
1	32	7	0.8746	-17.030
70	86	7	0.8755	-0.172
71	86	7	0.8949	-0.172
79	86	7	0.8421	-0.000
86	87	7	0.8792	-0.000
30	32	7	0.9783	0.001
31	32	7	0.9471	-0.003
32	38	7	0.9074	-0.981
32	69	7	0.873	-10.965
78	79	7	0.8761	-0.000
58	60	7	0.8898	-0.000
58	62	7	0.8536	-0.002
58	79	7	0.853	-2.052
58	81	7	0.8464	-2.052
58	88	7	0.8443	-2.056
57	76	7	0.9035	-2.052
57	85	7	0.8456	-2.054
60	79	7	0.8654	-2.052
30	31	7	0.9359	0.004
31	36	7	0.8659	-0.002
31	38	7	0.9401	-0.984
31	69	7	0.903	-10.968
30	35	7	0.8447	0.002
35	38	7	0.8606	-0.982
35	143	7	0.8572	-46.004
35	147	7	0.9519	-46.009
35	148	7	0.9589	-46.004
35	149	7	0.9622	-46.007
30	69	7	0.8602	-10.964
38	69	7	0.8487	-9.984
68	69	7	0.8783	-0.000
143	149	7	0.8818	-0.003
145	149	7	0.8479	-0.004
147	149	7	0.9722	0.002
148	149	7	0.986	-0.003
30	38	7	0.9035	-0.980
36	40	7	0.8624	-2.016
76	145	7	0.8715	-33.984
213	257	7	0.8857	-57.021
199	213	7	0.8825	-13.979
67	87	7	0.8612	-1.136
70	87	7	0.8907	-0.173
71	87	7	0.8906	-0.172
29	39	7	0.8422	-2.017
59	84	7	0.8521	-2.052
76	84	7	0.8423	0.000
84	85	7	0.8947	-0.002
60	81	7	0.935	-2.052
60	82	7	0.9055	-2.054
60	88	7	0.873	-2.055
143	148	7	0.8728	0.000
147	148	7	0.9731	0.005
143	147	7	0.8668	-0.005
52	62	7	0.8483	-0.986
67	70	7	0.8755	-0.963
70	71	7	0.8704	-0.000
76	88	7	0.8469	-0.003
81	88	7	0.8883	-0.003
82	88	7	0.8497	-0.001
76	81	7	0.8457	0.000
81	82	7	0.9043	-0.002
67	71	7	0.873	-0.964
65	213	7	0.8645	-99.019
59	76	7	0.9162	-2.052
59	85	7	0.8551	-2.054
390	398	8	0.9046	-2.022
391	398	8	0.8712	-2.022
392	398	8	0.8968	-2.022
393	398	8	0.9098	-2.022
396	398	8	0.8864	-0.006
398	442	8	0.8514	-49.976
479	673	8	0.8301	-498.263
417	452	8	0.819	-36.021
418	452	8	0.8433	-36.021
437	452	8	0.8861	-18.011
441	452	8	0.8044	-15.996
452	480	8	0.8727	-17.027
314	328	8	0.9371	-18.010
327	328	8	0.8792	0.000
328	356	8	0.9146	-53.048
328	357	8	0.9016	-53.047
328	407	8	0.875	-93.043
328	408	8	0.8367	-93.042
408	451	8	0.8486	-49.982
417	451	8	0.8018	-36.021
436	451	8	0.8578	-18.011
451	453	8	0.7641	0.000
451	479	8	0.8573	-17.027
451	480	8	0.8345	-17.027
390	408	8	0.9262	-18.011
391	408	8	0.8755	-18.010
392	408	8	0.887	-18.011
393	408	8	0.9161	-18.010
396	408	8	0.8621	-15.995
407	408	8	0.8929	0.001
408	453	8	0.8423	-49.982
408	656	8	0.8641	-465.307
417	453	8	0.8216	-36.021
436	453	8	0.8448	-18.011
453	479	8	0.8279	-17.027
453	480	8	0.828	-17.027
390	436	8	0.8938	-49.982
392	436	8	0.8806	-49.982
393	436	8	0.8918	-49.982
417	436	8	0.8427	-18.011
436	442	8	0.8553	-2.015
436	479	8	0.8579	-35.037
436	480	8	0.8929	-35.037
357	437	8	0.8401	-71.967
390	437	8	0.8715	-49.982
391	437	8	0.9152	-49.982
392	437	8	0.8557	-49.982
