CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	2	-0.000	0.000	0.8864	0.7931	1
1	3	-2.016	0.000	0.8580	0.8228	1
1	30	-17.031	0.000	0.8776	0.7902	1
1	31	-17.027	0.000	0.8306	0.7314	1
1	32	-17.030	0.000	0.8746	0.7577	1
1	35	-17.029	0.000	0.7041	0.7267	1
1	38	-18.011	0.000	0.7777	0.7070	1
1	69	-27.995	0.000	0.7682	0.6995	1
1	99	-35.037	0.000	0.7615	0.5625	1
1	116	-46.005	0.000	0.7535	0.6679	1
2	3	-2.016	0.000	0.8020	0.7813	1
2	30	-17.031	0.000	0.7521	0.8226	1
2	31	-17.026	0.000	0.7559	0.7665	1
2	32	-17.030	0.000	0.7585	0.7872	1
2	44	-19.990	0.000	0.7314	0.6153	1
2	69	-27.995	0.000	0.7360	0.7139	1
3	30	-15.015	0.000	0.7897	0.8404	1
3	31	-15.011	0.000	0.7830	0.8023	1
3	32	-15.014	0.000	0.7927	0.7987	1
3	33	-15.017	0.000	0.7842	0.8075	1
3	34	-15.011	0.000	0.7773	0.7766	1
3	35	-15.013	0.000	0.7833	0.8194	1
3	38	-15.995	0.000	0.8268	0.7970	1
3	39	-17.028	0.000	0.7151	0.7329	1
3	40	-17.028	0.000	0.7612	0.7017	1
3	116	-43.990	0.000	0.8706	0.7293	1
3	204	-117.043	0.000	0.7560	0.6456	1
4	7	-3.955	0.000	0.7983	0.7911	1
4	43	-12.955	0.000	0.8004	0.7237	1
4	45	-15.978	0.000	0.7625	0.6667	1
4	55	-19.057	0.000	0.7265	0.6067	1
4	58	-20.041	0.000	0.7464	0.6944	1
4	60	-20.041	0.000	0.7692	0.6880	1
4	68	-21.040	0.000	0.7178	0.6996	1
4	71	-21.921	0.000	0.7537	0.7312	1
4	81	-22.093	0.000	0.7076	0.6039	1
4	86	-22.093	0.000	0.7093	0.6579	1
4	87	-22.094	0.000	0.7353	0.6084	1
5	7	-3.953	0.000	0.8447	0.6672	1
5	45	-15.976	0.000	0.8964	0.7188	1
5	46	-15.976	0.000	0.7270	0.6063	1
5	59	-20.039	0.000	0.7564	0.7532	1
5	60	-20.039	0.000	0.7013	0.6170	1
5	70	-21.919	0.000	0.7758	0.5476	1
5	71	-21.919	0.000	0.7785	0.5545	1
5	72	-21.919	0.000	0.7962	0.4297	1
5	85	-22.093	0.000	0.7115	0.7101	1
5	86	-22.092	0.000	0.7922	0.5387	1
5	87	-22.092	0.000	0.7397	0.4338	1
5	119	-41.024	0.000	0.9167	0.7539	1
5	120	-41.025	0.000	0.9609	0.8344	1
5	273	-185.010	0.000	0.7427	0.3874	1
5	284	-197.175	0.000	0.7288	0.4231	1
5	311	-241.201	0.000	0.7212	0.4694	1
5	319	-249.280	0.000	0.7609	0.3866	1
5	338	-285.228	0.000	0.7652	0.4615	1
5	344	-293.306	0.000	0.7896	0.5026	1
5	365	-321.200	0.000	0.8026	0.4812	1
5	374	-329.253	0.000	0.7798	0.4094	1
5	383	-334.278	0.000	0.7332	0.4631	1
5	389	-337.339	0.000	0.8087	0.5421	1
5	416	-367.322	0.000	0.7489	0.4032	1
5	424	-373.239	0.000	0.7225	0.3895	1
5	425	-373.279	0.000	0.7603	0.4424	1
5	432	-381.358	0.000	0.7844	0.5222	1
5	454	-407.229	0.000	0.7076	0.3728	1
5	455	-408.348	0.000	0.7718	0.5308	1
5	475	-420.369	0.000	0.7772	0.4449	1
5	482	-424.343	0.000	0.7738	0.4048	1
5	483	-425.385	0.000	0.8101	0.5513	1
5	488	-432.340	0.000	0.7233	0.4034	1
5	514	-461.332	0.000	0.7277	0.3866	1
5	520	-469.410	0.000	0.8022	0.4825	1
5	523	-475.265	0.000	0.7664	0.4344	1
5	536	-493.274	0.000	0.7366	0.3556	1
5	554	-513.436	0.000	0.7652	0.5008	1
5	576	-557.463	0.000	0.7960	0.4477	1
5	578	-561.302	0.000	0.7653	0.3626	1
5	594	-601.489	0.000	0.7469	0.5087	1
6	39	-9.064	0.000	0.7220	0.5416	1
6	40	-9.064	0.000	0.7193	0.6474	1
6	47	-14.016	0.000	0.7020	0.5516	1
6	51	-14.016	0.000	0.7400	0.5964	1
7	12	-3.109	0.000	0.7035	0.5488	1
7	13	-3.110	0.000	0.7261	0.6895	1
7	14	-3.110	0.000	0.7440	0.7497	1
7	15	-3.109	0.000	0.7144	0.6410	1
7	16	-3.110	0.000	0.7152	0.6391	1
7	17	-3.109	0.000	0.7340	0.5930	1
7	43	-9.001	0.000	0.7852	0.7012	1
7	45	-12.023	0.000	0.8060	0.5812	1
7	58	-16.086	0.000	0.7589	0.7398	1
7	62	-16.088	0.000	0.7165	0.7040	1
7	66	-16.159	0.000	0.7269	0.5714	1
7	70	-17.966	0.000	0.8891	0.6987	1
7	71	-17.966	0.000	0.8739	0.6678	1
7	72	-17.966	0.000	0.8808	0.5982	1
7	78	-18.138	0.000	0.7951	0.6047	1
7	79	-18.138	0.000	0.7893	0.6976	1
7	84	-18.138	0.000	0.7701	0.5987	1
7	85	-18.140	0.000	0.8266	0.6776	1
7	86	-18.139	0.000	0.8551	0.6524	1
7	87	-18.139	0.000	0.8875	0.6001	1
8	10	0.000	0.000	0.7070	0.5497	1
8	21	-2.016	0.000	0.7313	0.5807	1
8	44	-6.973	0.000	0.7380	0.5861	1
8	57	-13.979	0.000	0.7472	0.6325	1
8	63	-14.015	0.000	0.8485	0.7047	1
8	64	-14.015	0.000	0.7530	0.6790	1
8	65	-14.029	0.000	0.8614	0.7426	1
8	73	-15.995	0.000	0.7275	0.7322	1
8	75	-16.038	0.000	0.8150	0.5932	1
8	76	-16.031	0.000	0.7830	0.6024	1
8	77	-16.033	0.000	0.7620	0.6535	1
8	84	-16.031	0.000	0.7034	0.5936	1
8	85	-16.033	0.000	0.7152	0.6489	1
8	125	-39.011	0.000	0.7163	0.3841	1
8	126	-39.013	0.000	0.7223	0.4599	1
8	127	-39.011	0.000	0.7942	0.4143	1
8	128	-39.013	0.000	0.7893	0.5071	1
8	133	-42.022	0.000	0.8082	0.5700	1
8	145	-50.016	0.000	0.7041	0.3758	1
8	154	-57.021	0.000	0.8166	0.6228	1
8	160	-59.048	0.000	0.7751	0.5772	1
8	196	-95.073	0.000	0.7013	0.3276	1
8	199	-99.069	0.000	0.7418	0.5011	1
8	213	-113.047	0.000	0.8231	0.5973	1
8	237	-147.069	0.000	0.7255	0.4342	1
8	243	-154.073	0.000	0.7137	0.3830	1
8	257	-170.069	0.000	0.7795	0.4632	1
8	292	-204.090	0.000	0.8282	0.5645	1
8	330	-267.158	0.000	0.7206	0.3306	1
9	10	0.000	0.000	0.8824	0.7913	1
9	19	-2.016	0.000	0.7588	0.7893	1
9	20	-2.016	0.000	0.7052	0.7239	1
9	21	-2.016	0.000	0.9202	0.7831	1
9	25	-2.016	0.000	0.7484	0.5736	1
9	26	-2.016	0.000	0.7775	0.7232	1
9	59	-13.979	0.000	0.8262	0.8136	1
9	60	-13.979	0.000	0.7371	0.7556	1
9	65	-14.029	0.000	0.7047	0.6272	1
9	159	-59.040	0.000	0.7175	0.3976	1
10	19	-2.016	0.000	0.7472	0.7464	1
10	20	-2.016	0.000	0.8393	0.8026	1
10	21	-2.016	0.000	0.8830	0.7626	1
