Filename	Vendor	Model	MS1s	MS2s
10-D3M17.mzML	Agilent	unknown	2890	2160
8-C3M06.mzML	Agilent	unknown	2810	2206
1-1A01.mzML	Agilent	unknown	4092	1248
11-G1M02.mzML	Agilent	unknown	3387	1661
5-B2R09.mzML	Agilent	unknown	2896	2146
bkgrnd-marine-broth.mzML	Agilent	unknown	3778	1482
2-6D03.mzML	Agilent	unknown	3191	1918
7-C2R07_2.mzML	Agilent	unknown	2915	2126
9-D3M06.mzML	Agilent	unknown	2904	2132
4-B2R08.mzML	Agilent	unknown	2870	2144
3-B2R04.mzML	Agilent	unknown	2867	2152
6-C2M19.mzML	Agilent	unknown	2934	2098
