spectrum,name,smiles,inchikey,organism
CCMSLIB00000001573,Barbamide M+H,C[C@@H](C/C(=C\C(=O)N(C)[C@@H](CC1=CC=CC=C1)C2=NC=CS2)/OC)C(Cl)(Cl)Cl,UGNRFJOMRFTXSQ-ITRHSTPOSA-N,GNPS-LIBRARY
CCMSLIB00000001575,Barbamide M+H,CO\C(CC(C)C(Cl)(Cl)Cl)=C\C(=O)N(C)C(CC1=CC=CC=C1)C1=NC=CS1,UGNRFJOMRFTXSQ-DTQAZKPQSA-N,GNPS-LIBRARY
CCMSLIB00000001706,Jamaicamide_A M+H,C[C@H]1C=CC(=O)N1C(=O)/C=C(\CCNC(=O)CC/C=C/C(C)CC/C(=C/Cl)/CCCC#CBr)/OC,NAIKIJSSBJHCBL-VIPNTUGYSA-N,GNPS-LIBRARY
CCMSLIB00000001708,Jamaicamide_C M+H,C[C@H]1C=CC(=O)N1C(=O)/C=C(\CCNC(=O)CC/C=C/C(C)CC/C(=C/Cl)/CCCC=C)/OC,PRVBXXHHHXSICY-YIEYWENTSA-N,GNPS-LIBRARY
CCMSLIB00000479759,,,,
CCMSLIB00000578442,Antimycin A1,CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,UIFFUZWRFRDZJC-UHFFFAOYSA-N,GNPS-LIBRARY
CCMSLIB00000579285,Albicidin (LTQ-Orbitrap),C/C(C(NC1=CC=C(C(NC(CC#N)C(NC2=CC=C(C(NC3=CC=C(C(NC4=CC=C(C(O)=O)C(O)=C4OC)=O)C(O)=C3OC)=O)C=C2)=O)=O)C=C1)=O)=C\C5=CC=C(O)C=C5,NZSWNNDHPOTJNH-GHVJWSGMSA-N,GNPS-LIBRARY
CCMSLIB00000839195,Pyocyanin,CN1C2=CC=CC=C2N=C3C1=CC=CC3=O,YNCMLFHHXWETLD-UHFFFAOYSA-N,GNPS-LIBRARY
CCMSLIB00000840594,Nevaltophin_D,O=C(N(C)[C@@H](C(C)C)C(NCCC1=CNC2=C1C=CC=C2)=O)C(C(C)CC)=O,HLFLCRYVHOAXOU-FUBQLUNQSA-N,GNPS-LIBRARY
CCMSLIB00004679298,Putative orfamide A,CCCCCCCCCCCC(O)CC(NC(C(NC(C(NC1C(C)OC(C(C(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(C(CC)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC(O)=O)=O)CC(C)C)=O,AFOLBAYDTRBYBA-UHFFFAOYSA-N,GNPS-LIBRARY
CCMSLIB00004679299,Putative orfamide B,CCCCCCCCCCCC(O)CC(NC(C(NC(C(NC1C(C)OC(C(C(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(C(C)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC(O)=O)=O)CC(C)C)=O,FPMIEPCWEZBKGP-UHFFFAOYSA-N,GNPS-LIBRARY
CCMSLIB00004679300,Putative orfamide C,CCCCCCCCCC(O)CC(NC(C(NC(C(NC1C(C)OC(C(C(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(C(CC)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC(O)=O)=O)CC(C)C)=O,STDTUHSFISWYFO-UHFFFAOYSA-N,GNPS-LIBRARY
CCMSLIB00004681475,,,,
CCMSLIB00004681481,,,,
CCMSLIB00004681482,Pyocyanin,CN1C2=CC=CC=C2N=C3C1=CC=CC3=O,YNCMLFHHXWETLD-UHFFFAOYSA-N,GNPS-LIBRARY
CCMSLIB00004681486,,,,
CCMSLIB00004681487,,,,
CCMSLIB00004685866,"2,4-diacetylphloroglucinol",N/A,PIFFQYJYNWXNGE-UHFFFAOYSA-N,MONA
CCMSLIB00004693587,"2,4-diacetylphloroglucinol",N/A,PIFFQYJYNWXNGE-UHFFFAOYSA-N,MONA
CCMSLIB00004721397,,,,
CCMSLIB00005436037,Pyocyanin,CN1C2=CC=CC=C2N=C3C1=CC=CC3=O,YNCMLFHHXWETLD-UHFFFAOYSA-N,GNPS-LIBRARY
CCMSLIB00005724004,Cryptomaldamice M+H,NC(N[C@@H](CO)C(N[C@@H](C(C)C)C(N(C)[C@@H](C(C)C)/C=C(C)/C([O-])=O)=O)=O)=[NH2+],FUCBQNSQRCPSGC-BOUYHWOHSA-N,GNPS-LIBRARY
