PoDP identifier,Principal investigator,Submitter(s),Nr of (meta)genomes,Nr of growth conditions,Nr of extraction methods,Nr of instrumentation methods,Nr of links between genome and metabolome samples,Nr of links between biosynthetic gene clusters and MS/MS spectra
MTBLS1606,Jean-Claude Dujardin,Bart Cuypers,9,1,1,1,9,0
MSV000086050,Bradley Moore,Michelle Schorn,1,1,1,1,1,1
MSV000085589,Leticia Veras Costa-Lotufo,Anelize Bauermeister,2,2,2,2,2,0
MSV000085586,leticia veras costa-lotufo,Anelize Bauermeister & Amaro Emiliano Trindade-Silva,1,1,1,1,1,0
MSV000085376,Margherita Sosio,Mitja M. Zdouc,3,6,1,1,11,0
MSV000085214,Paul R. Jensen,Doug Sweeney & Mitchell Muskat,4,1,1,1,4,0
MSV000085210,Lena Gerwick,Tiago Leao,36,1,1,1,114,0
MSV000085192,Gabriele König / Max Crüsemann,Raphael Reher & Max Crüsemann,1,1,1,1,1,1
MSV000085180,Paul R. Jensen,Doug Sweeney,6,1,1,1,6,0
MSV000085179,Paul R. Jensen,Doug Sweeney,9,1,1,1,9,0
MSV000085159,Paul R. Jensen,Dulce Guillen Matus & Alyssa Demko,20,1,1,1,240,0
MSV000085158,Paul R. Jensen,Dulce Guillen Matus & Alyssa Demko,27,2,1,1,27,0
MSV000085141,Joern Piel,Michael Rust & Eric Helfrich,2,1,1,1,2,3
MSV000085123,Margherita Sosio,Marianna Iorio,2,2,2,1,2,2
MSV000085085,Laura M. Sanchez,Jessica Cleary Little & Emily Pierce,1,1,1,1,4,0
MSV000085038,Lena Gerwick,Tiago Leao,4,1,1,1,4,5
MSV000085032,Roderich Suessmuth,Tam Dang,1,2,2,1,5,1
MSV000085031,Michael Beman,Irina Koester,2,1,1,1,2,0
MSV000085027,Tim S Bugni,Shaurya Chanana & Fan Zhang,1,1,1,1,1,0
MSV000085026,Margherita Sosio,Marianna Iorio,1,2,2,2,3,6
MSV000085023,Daniel Petras & Roderich Suessmuth,Benjamin-Florian Hempel,1,1,2,1,4,1
MSV000085021,Tim Bugni,Deepa Acharya,1,1,1,1,1,0
MSV000085018,Harald Gross,Hamada Saad & Saefuddin Aziz,8,5,4,1,10,13
MSV000085003,Bradley Moore,Tristan de Rond,2,2,1,1,4,1
MSV000085000,Katherine N Maloney,Katherine N Maloney & M. Caroline Roper,1,2,1,1,2,0
MSV000084989,Ki Hyun Kim,Seoung Rak Lee,1,1,1,1,1,0
MSV000084954,Muriel Gugger,"Muriel Gugger & Alexandra Calteau, Anne Boullie, Raquel Castelo Branco & David P. Fewer",44,12,1,1,44,0
MSV000084950,David Fewer,David Fewer & Raquel Castelo Branco,24,3,1,1,24,6
MSV000084950,David Fewer,David Fewer,24,3,1,1,24,0
MSV000084945,Dr. Neha Garg,Andrew McAvoy,7,4,3,1,197,6
MSV000084884,Christine Beemelmanns,Jamshid Amiri Moghaddam,5,2,3,2,25,0
MSV000084781,Kyo Bin Kang & Jae-Seoun Hur,Kyo Bin Kang,3,1,1,1,3,0
MSV000084771,"Leonard Kaysser, Nadine Ziemert",Daniel Maennle,11,1,1,1,11,9
MSV000084723,Cameron Currie & Tim Bugni,Marc G Chevrette,120,1,1,1,122,0
MSV000084674,"Diego Romero, Carlos Molina-Santiago, María Victoria Berlanga-Clavero",Carlos Molina-Santiago,2,8,1,1,16,0
MSV000084475,Pieter C. Dorrestein,Emily Gentry,153,2,1,1,306,0
MSV000084475,Pieter C. Dorrestein,Emily Gentry,153,2,1,1,306,0
MSV000084117,Daniel Petras,Benjamin-Florian Hempel,1,1,1,1,6,4
MSV000083835,Kapil Tahlan,Louis Felix Nothias,1,7,2,2,24,6
MSV000083734,Pieter C. Dorrestein,Carmen Saenz & Alexander Aksenov,30,1,1,1,90,0
MSV000083648,Neil Kelleher,Michael W Mullowney,3,4,2,1,7,7
MSV000083387,Pieter C. Dorrestein,Allegra Aron & Pieter C. Dorrestein,1,1,1,1,3,3
MSV000083302,Pieter C. Dorrestein,Kelly Weldon,168,1,1,1,168,0
MSV000083295,Christian Martin H.,Christian Martin ,1,1,1,1,1,0
MSV000083268,Paul R. Jensen,Alyssa M. Demko & Alexander B. Chase,20,1,1,1,20,0
MSV000083081,Bradley Moore,Katherine Bauman,1,1,1,1,2,1
MSV000082988,Gilles P. van Wezel,Victor J. Carrion,1,1,1,1,1,1
MSV000082969,Pieter Dorrestein & Julia Gauglitz,Julia M Gauglitz,556,1,1,1,556,0
MSV000082891,Søren johannes Sørensen,Xuanji Li,31,1,1,1,31,0
MSV000082831,Prof. Dr. G. König,Jamshid Amiri Moghaddam,4,1,6,1,26,0
MSV000082285,Gilles P. van Wezel,Chao Du,1,1,1,1,1,1
MSV000082045,Pieter C. Dorrestein,Yi-Yuan Lee & Cao Liu & Hosein Mohimani,303,3,1,1,620,0
MSV000081832,Anna Edlund,Gajender Aleti,47,1,1,1,47,0
MSV000081504,Gilles P. van Wezel,Victor J. Carrion,1,1,1,1,1,1
MSV000081318,Jörn Piel,Eric Helfrich & Michael Rust,1,2,1,1,1,3
MSV000081063,Helge Bode,Nicholas Tobias & Helge Bode,28,1,1,1,28,0
MSV000080427,Daniel Petras & Roderich Suessmuth,Daniel Petras,1,1,1,1,10,1
MSV000080251,Pieter C. Dorrestein,Alexander Aksenov & Carmen Saenz,30,1,1,1,247,0
MSV000080179,Pieter C. Dorrestein,Asker Brejnrod,481,1,1,1,481,0
MSV000079519,Pieter C. Dorrestein,Louis Felix Nothias,1,3,1,1,7,5
MSV000079284,Dr. Katherine Duncan,Dr. Katherine Duncan,28,1,1,1,48,2
MSV000079139,Gilles P. van Wezel,Chao Du,1,1,1,1,1,1
MSV000079015,Leticia Costa-lotufo,Karine Pires & Leticia Costa-lotufo,3,1,2,1,3,0
MSV000078995,Jason M. Crawford,Chung Sub Kim,1,1,1,1,14,1
MSV000078891,Elke Dittmann,Martin Baunach & Eric Helfrich,2,2,2,1,45,4
MSV000078850,Ellis O'Neill,Ellis O'Neill,1,18,3,1,44,0
MSV000078847,Ellis O'Neill,Ellis O'Neill,3,8,3,1,72,2
MSV000078839,Ellis O'Neill,Ellis O'Neill,39,3,3,1,351,5
MSV000078836,Max Crüsemann,Max Crüsemann,120,1,3,1,360,9
MSV000078667,Jörn Piel,Eric Helfrich & Michael Rust,1,2,2,2,15,2
MSV000078556,Pieter C. Dorrestein,Yi-Yuan Lee & Cao Liu ,15,5,1,1,17,0
