project_id,mibig_number,link_type,ms2_filename,ms2_local_path,genome_label,genome_accession,genome_fasta_path,genome_gbk_path,fasta_error,gbk_error
0fa2c5fc-d1ce-431a-8445-fa3b6573e240,BGC0000289,single molecule,Nonomuraea_A40926.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/0fa2c5fc-d1ce-431a-8445-fa3b6573e240/Nonomuraea_A40926.mzML,Nonomuraea sp. ATCC39727 (gerenzaniensis),LT559118.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/0fa2c5fc-d1ce-431a-8445-fa3b6573e240/genes/LT559118.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/0fa2c5fc-d1ce-431a-8445-fa3b6573e240/genes/LT559118.1.gbk,,
0fa2c5fc-d1ce-431a-8445-fa3b6573e240,BGC0000529,single molecule,Microbispora_NAI107.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/0fa2c5fc-d1ce-431a-8445-fa3b6573e240/Microbispora_NAI107.mzML,Microbispora sp. ATCC PTA-5024,NZ_AWEV00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/0fa2c5fc-d1ce-431a-8445-fa3b6573e240/genes/NZ_AWEV00000000.1.gbk,empty response (no sequence data at this accession),
1af59f37-c518-448c-9536-734b663eb21b,BGC0000972,single molecule,P4_UnbiasedExclude.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/1af59f37-c518-448c-9536-734b663eb21b/P4_UnbiasedExclude.mzXML,Escherichia coli IHE3034,AM229678.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/1af59f37-c518-448c-9536-734b663eb21b/genes/AM229678.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/1af59f37-c518-448c-9536-734b663eb21b/genes/AM229678.1.gbk,,
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd,BGC0001285,single molecule,P_putida_BW11M1_GD2_01_38289.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/1b0dccac-5212-4dfd-a9f2-6fa953ab16bd/P_putida_BW11M1_GD2_01_38289.mzXML,Pseudomonas putida BW11M1,LSLE00000000,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/1b0dccac-5212-4dfd-a9f2-6fa953ab16bd/genes/LSLE00000000.gbk,empty response (no sequence data at this accession),
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c,BGC0000845,single molecule,51.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/51.mzML,Streptomyces clavuligerus,DS570624.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.gbk,,
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c,BGC0000319,single molecule,54.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/54.mzML,Streptomyces clavuligerus,DS570624.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.gbk,,
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c,BGC0000880,single molecule,42.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/42.mzML,Streptomyces clavuligerus,DS570624.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.gbk,,
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c,BGC0000880,single molecule,42.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/42.mzML,Streptomyces clavuligerus,DS570624.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.gbk,,
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c,BGC0000880,single molecule,42.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/42.mzML,Streptomyces clavuligerus,DS570624.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.gbk,,
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c,BGC0001310,single molecule,60.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/60.mzML,Streptomyces clavuligerus,DS570624.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c/genes/DS570624.1.gbk,,
79eae50e-004d-42ba-8a81-f6d620e7052a,,single molecule,XanMangi_XAD_crude_D0_1.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/79eae50e-004d-42ba-8a81-f6d620e7052a/XanMangi_XAD_crude_D0_1.mzXML,Xanthomonas citri pv. mangiferaeindicae,GCA_002240395.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/79eae50e-004d-42ba-8a81-f6d620e7052a/genes/GCA_002240395.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/79eae50e-004d-42ba-8a81-f6d620e7052a/genes/GCA_002240395.1.gbk,,
7ac37e93-a737-4746-b121-0993adccf178,BGC0000598,single molecule,EH_Ento_Alex_targeted.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/7ac37e93-a737-4746-b121-0993adccf178/EH_Ento_Alex_targeted.mzXML,‘Candidatus Entotheonella factor’,AZHW00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/7ac37e93-a737-4746-b121-0993adccf178/genes/AZHW00000000.1.gbk,empty response (no sequence data at this accession),
