genome_label,ids,biosample,staged
Salinispora arenicola CNT005,JGI_Genome_ID=2517572137,,yes
Salinispora arenicola CNR107,JGI_Genome_ID=2519103194,,yes
Salinispora pacifica CNS801,JGI_Genome_ID=2561511036,,NO
Salinispora arenicola CNY011,JGI_Genome_ID=2517572153,,yes
Salinispora arenicola CNX508,JGI_Genome_ID=2515154188,,yes
Salinispora arenicola CNY237,JGI_Genome_ID=2517572163,,yes
Salinispora tropica CNS416,JGI_Genome_ID=2526164712,,yes
Salinispora arenicola CNH996,JGI_Genome_ID=2561511104,,NO
Salinispora pacifica CNT138,JGI_Genome_ID=2516493032,,NO
Salinispora pacifica CNT001,JGI_Genome_ID=2515154184,,yes
Salinispora arenicola CNY685,JGI_Genome_ID=2563366734,,yes
Salinispora arenicola CNY230,JGI_Genome_ID=2561511115,,yes
Salinispora arenicola CNQ884,JGI_Genome_ID=2561511039,,yes
Salinispora arenicola CNT849,JGI_Genome_ID=2518285550,,yes
Salinispora pacifica CNH732,JGI_Genome_ID=2571042006,,yes
Salinispora tropica CNH898,JGI_Genome_ID=2515154094,,yes
Salinispora pacifica CNY498,JGI_Genome_ID=2563366539,,yes
Salinispora pacifica CNT584,JGI_Genome_ID=2517572160,,yes
Salinispora pacifica CNY703,JGI_Genome_ID=2563366517,,NO
Salinispora pacifica CNS237,JGI_Genome_ID=2524614807,,NO
Salinispora pacifica CNT045,JGI_Genome_ID=2517572158,,yes
Salinispora pacifica CNY330,JGI_Genome_ID=2518645626,,yes
Salinispora arenicola CNR921,JGI_Genome_ID=2515154203,,yes
Salinispora arenicola CNH964,JGI_Genome_ID=2515154125,,yes
Salinispora pacifica CNT403,JGI_Genome_ID=2561511034,,NO
Salinispora pacifica CNT133,JGI_Genome_ID=2516653042,,NO
Salinispora pacifica CNQ768,JGI_Genome_ID=2517572155,,yes
Salinispora arenicola CNS325,JGI_Genome_ID=2571042009,,yes
Salinispora arenicola CNS296,JGI_Genome_ID=2565956527,,yes
Salinispora pacifica CNT851,JGI_Genome_ID=2517572162,,yes
Salinispora pacifica CNT124,JGI_Genome_ID=2517572159,,yes
Salinispora arenicola CNY231,JGI_Genome_ID=2518285558,,yes
Salinispora arenicola CNS744,JGI_Genome_ID=2518285554,,yes
Salinispora arenicola CNS342,JGI_Genome_ID=2571042016,,yes
Salinispora pacifica CNT796,JGI_Genome_ID=2515154182,,yes
Salinispora pacifica CNR114,JGI_Genome_ID=2515154178,,yes
Salinispora arenicola CNY282,JGI_Genome_ID=2521172655,,yes
Salinispora arenicola CNT798,JGI_Genome_ID=2515154186,,yes
Salinispora pacifica CNS860,JGI_Genome_ID=2518285563,,yes
Salinispora arenicola CNY694,JGI_Genome_ID=2561511114,,yes
Salinispora arenicola CNP193,JGI_Genome_ID=2518285552,,yes
Salinispora pacifica CNS103,JGI_Genome_ID=2515154129,,yes
Salinispora arenicola CNP105,JGI_Genome_ID=2518285551,,yes
Salinispora arenicola CNX482,JGI_Genome_ID=2515154137,,yes
Salinispora pacifica CNY646,JGI_Genome_ID=2563366531,,NO
Salinispora arenicola CNS299,JGI_Genome_ID=2524614529,,yes
Salinispora pacifica CNY673,JGI_Genome_ID=2563366533,,NO
Salinispora arenicola CNY281,JGI_Genome_ID=2561511103,,NO
Salinispora pacifica CNT003,JGI_Genome_ID=2515154126,,NO
Salinispora pacifica CNT569,JGI_Genome_ID=2515154124,,NO
Salinispora arenicola CNH643,JGI_Genome_ID=2814122978,,NO
Salinispora arenicola CNH962,JGI_Genome_ID=2519103193,,yes
Salinispora pacifica CNR909,JGI_Genome_ID=2561511038,,yes
Salinispora arenicola CNX481,JGI_Genome_ID=2518285555,,yes
Salinispora pacifica CNT148,JGI_Genome_ID=2517287023,,NO
Salinispora arenicola CNH713,JGI_Genome_ID=2571042007,,yes
Salinispora arenicola CNH963,JGI_Genome_ID=2524023246,,yes
Salinispora pacifica CNS863,JGI_Genome_ID=2517572194,,NO
Salinispora tropica CNB476,JGI_Genome_ID=2517572211,,yes
Salinispora tropica CNT261,JGI_Genome_ID=2524614530,,yes
Salinispora tropica CNR699,JGI_Genome_ID=2518645624,,yes
Salinispora arenicola CNQ748,JGI_Genome_ID=2515154180,,NO
Salinispora arenicola CNS991,JGI_Genome_ID=2516143022,,NO
Salinispora arenicola CNY244,JGI_Genome_ID=2561511110,,yes
Salinispora pacifica CNT854,JGI_Genome_ID=2515154170,,yes
Salinispora tropica CNY681,JGI_Genome_ID=2561511108,,yes
Salinispora arenicola CNY260,JGI_Genome_ID=2518285560,,yes
Salinispora arenicola CNT799,JGI_Genome_ID=2526164509,,yes
Salinispora arenicola CNH718,JGI_Genome_ID=2561511105,,yes
Salinispora arenicola CNH646,JGI_Genome_ID=2515154181,,yes
Salinispora arenicola CNY280,JGI_Genome_ID=2517572154,,yes
Salinispora pacifica CNY202,JGI_Genome_ID=2528311034,,NO
Salinispora arenicola CNY679,JGI_Genome_ID=2561511113,,yes
Salinispora arenicola CNX891,JGI_Genome_ID=2515154187,,yes
Salinispora pacifica CNT855,JGI_Genome_ID=2515154128,,yes
Salinispora pacifica CNS996,JGI_Genome_ID=2517572157,,yes
Salinispora arenicola CNT850,JGI_Genome_ID=2515154135,,yes
Salinispora pacifica CNS143,JGI_Genome_ID=2548876972,,NO
Salinispora arenicola CNT088,JGI_Genome_ID=2548876909,,NO
Salinispora pacifica CNY666,JGI_Genome_ID=2563366532,,NO
Salinispora arenicola CNH941,JGI_Genome_ID=2515154193,,yes
Salinispora pacifica CNY239,JGI_Genome_ID=2524614561,,yes
Salinispora arenicola CNR425,JGI_Genome_ID=2528311033,,yes
Salinispora pacifica CNR942,JGI_Genome_ID=2518285561,,NO
Salinispora arenicola CNX814,JGI_Genome_ID=2517572152,,yes
Salinispora pacifica CNT029,JGI_Genome_ID=2515154177,,NO
Salinispora pacifica CNR894,JGI_Genome_ID=2515154194,,yes
Salinispora pacifica CNT150,JGI_Genome_ID=2517434008,,NO
Salinispora tropica CNS197,JGI_Genome_ID=2515154163,,yes
Salinispora arenicola CNS848,JGI_Genome_ID=2571042345,,yes
Salinispora tropica CNY678,JGI_Genome_ID=2561511109,,yes
Salinispora arenicola CNH905,JGI_Genome_ID=2515154183,,yes
Salinispora pacifica CNY363,JGI_Genome_ID=2563366534,,yes
Salinispora arenicola CNY256,JGI_Genome_ID=2518285559,,yes
Salinispora arenicola CNS820,JGI_Genome_ID=2565956528,,yes
Salinispora arenicola CNS243,JGI_Genome_ID=2524614515,,yes
Salinispora tropica CNB536,JGI_Genome_ID=2517572212,,yes
Salinispora pacifica CNT084,JGI_Genome_ID=2515154202,,yes
Salinispora arenicola CNT857,JGI_Genome_ID=2515154127,,yes
Salinispora tropica CNY012,JGI_Genome_ID=2540341192,,yes
Salinispora arenicola CNY234,JGI_Genome_ID=2519103195,,yes
Salinispora tropica CNT250,JGI_Genome_ID=2540341193,,yes
Salinispora pacifica CNR510,JGI_Genome_ID=2571042008,,yes
Salinispora arenicola CNT800,JGI_Genome_ID=2515154088,,yes
Salinispora pacifica CNS055,JGI_Genome_ID=2518285562,,yes
Salinispora arenicola CNS051,JGI_Genome_ID=2518285553,,yes
Salinispora arenicola CNY486,JGI_Genome_ID=2561511107,,yes
Salinispora arenicola CNB527,JGI_Genome_ID=2515154093,,yes
Salinispora arenicola CNS205,JGI_Genome_ID=641228504,,NO
Salinispora pacifica CNT131,JGI_Genome_ID=2515154200,,yes
Salinispora pacifica CNT609,JGI_Genome_ID=2517572161,,yes
Salinispora tropica CNB440,JGI_Genome_ID=640427140,,NO
Salinispora arenicola CNY690,JGI_Genome_ID=2561511111,,yes
Salinispora pacifica CNT603,JGI_Genome_ID=2515154185,,yes
Salinispora pacifica CNY331,JGI_Genome_ID=2518645627,,yes
Salinispora arenicola CNT859,JGI_Genome_ID=2517572233,,yes
Salinispora arenicola CNB458,JGI_Genome_ID=2517572210,,yes
Salinispora arenicola CNH877,JGI_Genome_ID=2519103192,,yes
Salinispora arenicola CNS673,JGI_Genome_ID=2519103185,,yes
Salinispora pacifica CNS960,JGI_Genome_ID=2517287019,,NO
