mibig_id,ground_truth_rows,fate,status_3.1,status_4.0,quality_4.0,retirement_reason_4.0,structure_3.1,structure_4.0,structure_change,compound_3.1,compound_4.0,locus_3.1,locus_4.0
BGC0000028,1,carried_over,active,active,questionable,,yes,yes,,bafilomycin B1,bafilomycin B1,GU390405.1,GU390405.1
BGC0000137,3,carried_over,active,active,questionable,,yes,yes,,rifamycin,rifamycin,CP000850.1,CP000850.1
BGC0000198,1,carried_over,active,active,questionable,,yes,yes,,arenimycin A,arenimycin A,NZ_AZXI01000002.1,NZ_AZXI01000002.1
BGC0000220,1,carried_over,active,active,questionable,,yes,yes,,enterocin,enterocin,AF254925.1,AF254925.1
BGC0000241,2,carried_over,active,active,questionable,,yes,yes,,lomaiviticin A; lomaiviticin C; lomaiviticin D; lomaiviticin E,lomaiviticin A; lomaiviticin C; lomaiviticin D; lomaiviticin E,CP000667.1,CP000667.1
BGC0000259,1,carried_over,active,active,questionable,,yes,yes,,prodigiosin,prodigiosin,AJ833002.1,AJ833002.1
BGC0000289,1,carried_over,active,active,questionable,,no,no,,A40926,A40926,AJ561198.1,AJ561198.1
BGC0000296,3,carried_over,active,active,questionable,,yes,yes,,actinomycin D,actinomycin D,HM038106.1,HM038106.1
BGC0000302,3,carried_over,active,active,questionable,,yes,yes,,anabaenopeptin,anabaenopeptin,GU174493.1,GU174493.1
BGC0000319,1,carried_over,active,active,questionable,,yes,yes,,cephamycin C,cephamycin C,DS570624.1,DS570624.1
BGC0000332,1,carried_over,active,active,questionable,,yes,yes,,cyanopeptolin,cyanopeptolin,DQ075244.1,DQ075244.1
BGC0000333,1,carried_over,active,active,questionable,,yes,yes,,cyclomarin D,cyclomarin D,CP000850.1,CP000850.1
BGC0000399,1,carried_over,active,active,questionable,,yes,yes,,orfamide A; orfamide C,orfamide A; orfamide C,CP000076.1,CP000076.1
BGC0000426,1,carried_over,active,active,questionable,,yes,yes,,sevadicin,sevadicin,KF318360.1,KF318360.1
BGC0000433,4,carried_over,active,active,questionable,,yes,yes,,surfactin,surfactin,AJ575642.1,AJ575642.1
BGC0000463,1,added_in_4.0,ABSENT,retired,questionable,Entry is spread over multiple contigs,no,yes,gained_structure,,xantholysin A; xantholysin B; xantholysin C,,KC297506.1
BGC0000473,1,carried_over,active,active,questionable,,yes,yes,,microcyclamide,aerucyclamide A; aerucyclamide B; aerucyclamide C; aerucyclamide D,AM774406.1,AM774406.1
BGC0000529,1,carried_over,active,active,questionable,,yes,yes,,microbisporicin A2,microbisporicin A2,HM536998.1,HM536998.1
BGC0000572,1,carried_over,active,active,questionable,,no,no,,capistruin,capistruin,CP004117.1,CP004117.1
BGC0000598,1,carried_over,active,active,questionable,,yes,yes,,polytheonamide A; polytheonamide B,polytheonamide A; polytheonamide B,JX456532.1,JX456532.1
BGC0000632,2,carried_over,active,active,questionable,,yes,yes,,brasilicardin A,brasilicardin A,KV411304.1,KV411304.1
BGC0000827,1,carried_over,active,active,questionable,,yes,yes,,staurosporine,staurosporine,CP000850.1,CP000850.1
BGC0000845,1,carried_over,active,active,questionable,,yes,yes,,clavulanic acid,clavulanic acid,DS570624.1,DS570624.1
BGC0000880,3,carried_over,active,active,questionable,,yes,yes,,tunicamycin B1,tunicamycin B1,HQ172897.1,HQ172897.1
BGC0000940,3,carried_over,active,active,questionable,,yes,yes,,desferrioxamin B; desferrioxamine E,desferrioxamin B; desferrioxamine E,AL645882.2,AL645882.2
BGC0000952,1,added_in_4.0,ABSENT,retired,questionable,Cluster split over multiple loci.,no,yes,gained_structure,,pristinamycin IA; Pristinamycin IIA,,FR681999.1
BGC0000961,1,carried_over,active,active,questionable,,yes,yes,,bactobolin,bactobolin,CP000085.1,CP000085.1
BGC0000962,1,dropped_from_4.0,active,ABSENT,,,yes,no,lost_structure,barbamide,,AF516145.1,
BGC0000964,1,carried_over,active,active,questionable,,yes,yes,,burkholdac A; burkholdac B,burkholdac A; burkholdac B,CP000086.1,CP000086.1
