study_id,podp_id,podp_id_live,gt_links,links_needing_bridge,task_id,task_source,podp_api,gnps_status,gnps_workflow,nplinker_supported,verdict,note
03087dd9-2996-4bec-a3cc-88f71babc3a2.1,03087dd9-2996-4bec-a3cc-88f71babc3a2.1,03087dd9-2996-4bec-a3cc-88f71babc3a2.1,1,1,24d515f76b4c4d6694a934234435b9bf,molecular_network,ok,DONE,METABOLOMICS-SNETS,yes,ready,task is DONE and parseable by NPLinker.
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,2,2,9682abcfd2c746bba962397ac8e3b94b,network_nodes_url,ok,DONE,METABOLOMICS-SNETS-V2,yes,ready,task is DONE and parseable by NPLinker.
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,13,12,2c5aeb3641a440a2b07d8a8c06f41f97,molecular_network,ok,DONE,METABOLOMICS-SNETS-V2,yes,ready,task is DONE and parseable by NPLinker.
297c364c-b154-4edd-a7d5-68decf9effa2.4,0ff7a302-49af-4130-a440-59e284d4d365.4,0ff7a302-49af-4130-a440-59e284d4d365.4,14,14,840eadb054f74d74ae42152a08ed9628,molecular_network,ok,DONE,METABOLOMICS-SNETS-V2,yes,ready,task is DONE and parseable by NPLinker.
297c364c-b154-4edd-a7d5-68decf9effa2.4,0ff7a302-49af-4130-a440-59e284d4d365.4,0ff7a302-49af-4130-a440-59e284d4d365.4,14,14,9360fa514804487a9d39b7e7d7e6d514,molecular_network,ok,DONE,METABOLOMICS-SNETS,yes,ready,task is DONE and parseable by NPLinker.
297c364c-b154-4edd-a7d5-68decf9effa2.4,0ff7a302-49af-4130-a440-59e284d4d365.4,0ff7a302-49af-4130-a440-59e284d4d365.4,14,14,9682abcfd2c746bba962397ac8e3b94b,network_nodes_url,ok,DONE,METABOLOMICS-SNETS-V2,yes,ready,task is DONE and parseable by NPLinker.
472fea93-f603-40cc-beb1-ec2dbb24fb10.2,472fea93-f603-40cc-beb1-ec2dbb24fb10.2,472fea93-f603-40cc-beb1-ec2dbb24fb10.2,1,1,32a59c5ddd5e409fae924ea08c8f4bef,molecular_network,ok,DONE,METABOLOMICS-SNETS-V2,yes,ready,task is DONE and parseable by NPLinker.
4b29ddc3-26d0-40d7-80c5-44fb6631dbf9.4,4b29ddc3-26d0-40d7-80c5-44fb6631dbf9.4,4b29ddc3-26d0-40d7-80c5-44fb6631dbf9.4,2,2,c22f44b14a3d450eb836d607cb9521bb,molecular_network,ok,DONE,METABOLOMICS-SNETS,yes,ready,task is DONE and parseable by NPLinker.
577a750e-50ac-4866-8881-3ad018f4848e.2,577a750e-50ac-4866-8881-3ad018f4848e.2,577a750e-50ac-4866-8881-3ad018f4848e.2,1,1,d1f8592ca46b4d51b32731de4a5c3783,molecular_network,ok,DONE,METABOLOMICS-SNETS-V2,yes,ready,task is DONE and parseable by NPLinker.
6ea72318-a62e-49e5-a335-074a20fe51cf.3,6ea72318-a62e-49e5-a335-074a20fe51cf.3,6ea72318-a62e-49e5-a335-074a20fe51cf.3,1,1,21e62cc66dec4add91e6bfb03cfaf298,molecular_network,ok,DONE,METABOLOMICS-SNETS,yes,ready,task is DONE and parseable by NPLinker.
7280022c-c9df-43a3-9440-1653f9eaff84.3,7280022c-c9df-43a3-9440-1653f9eaff84.3,7280022c-c9df-43a3-9440-1653f9eaff84.3,1,1,78cfa392f9c94ac0a110dc682a2d8e6f,molecular_network,ok,DONE,METABOLOMICS-SNETS-V2,yes,ready,task is DONE and parseable by NPLinker.
84b56cd3-218b-4e57-906f-a9003615ed07.2,84b56cd3-218b-4e57-906f-a9003615ed07.2,84b56cd3-218b-4e57-906f-a9003615ed07.3,6,3,cefe9408d6e64d7691490c7ac796fbea,molecular_network,stale_version,DONE,METABOLOMICS-SNETS-V2,yes,ready_after_version_bump,"GNPS task is fine, but PoDP no longer serves 84b56cd3-218b-4e57-906f-a9003615ed07.2; it now serves 84b56cd3-218b-4e57-906f-a9003615ed07.3. Point the NPLinker config at the live id."
93f8edd3-c00d-4acf-b359-879b02850b46.1,93f8edd3-c00d-4acf-b359-879b02850b46.1,93f8edd3-c00d-4acf-b359-879b02850b46.1,3,2,3ec14b33ccf744ecbd2896c8fa68d25b,molecular_network,ok,DONE,METABOLOMICS-SNETS,yes,ready,task is DONE and parseable by NPLinker.
aa886b1a-320f-4567-bf22-b45c3d24a4cc.2,aa886b1a-320f-4567-bf22-b45c3d24a4cc.2,aa886b1a-320f-4567-bf22-b45c3d24a4cc.2,4,1,3056feca749c47329e228ca7227eff9a,molecular_network,ok,DONE,METABOLOMICS-SNETS,yes,ready,task is DONE and parseable by NPLinker.
d0f1add5-5b16-4f78-9b93-0d1d9c9bcb59.1,d0f1add5-5b16-4f78-9b93-0d1d9c9bcb59.1,d0f1add5-5b16-4f78-9b93-0d1d9c9bcb59.1,1,1,2f4d66852ae5455b86a830d23844209c,molecular_network,ok,DONE,METABOLOMICS-SNETS,yes,ready,task is DONE and parseable by NPLinker.
e26c5e21-e3de-4448-9623-a085cb71eca6.2,e26c5e21-e3de-4448-9623-a085cb71eca6.2,e26c5e21-e3de-4448-9623-a085cb71eca6.2,6,6,717832a6d96a47b2be9f166ce7f41c5d,molecular_network,ok,DONE,METABOLOMICS-SNETS-V2,yes,ready,task is DONE and parseable by NPLinker.
