podp_id,study_id,study_role,study_members,record_type,data_status,missing_files,file_genome,path_genome,status_genome,file_ms2_run,path_ms2_run,ms2_run_url,genome_label,genome_accession,genome_accession_type,biosample_accession,genome_publications,gnps_massive_id,gnps_task_id,sample_preparation_label,extraction_method_label,instrumentation_method_label,n_genomes_declared,metcalf_rankable
017c0466-e5d3-4792-a445-973d9dbe1b8b.1,017c0466-e5d3-4792-a445-973d9dbe1b8b.1,main,017c0466-e5d3-4792-a445-973d9dbe1b8b.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000079015/raw/Brazilian%20Salinispora/BRA-172.mzXML,Salinispora sp. BRA172,JAASAX000000000,GenBank_accession,SAMN14411170,,MSV000079015,,A1 medium,EtOAc,6520 Quadrupole Time-of-Flight LC/MS,3,False
017c0466-e5d3-4792-a445-973d9dbe1b8b.1,017c0466-e5d3-4792-a445-973d9dbe1b8b.1,main,017c0466-e5d3-4792-a445-973d9dbe1b8b.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000079015/raw/Brazilian%20Salinispora/BRA-190.mzXML,Salinispora sp. BRA190,JAASAW000000000,GenBank_accession,SAMN14411171,,MSV000079015,,A1 medium,EtOAc,6520 Quadrupole Time-of-Flight LC/MS,3,False
017c0466-e5d3-4792-a445-973d9dbe1b8b.1,017c0466-e5d3-4792-a445-973d9dbe1b8b.1,main,017c0466-e5d3-4792-a445-973d9dbe1b8b.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000079015/raw/Brazilian%20Salinispora/BRA258-mz300.mzXML,Salinispora sp. BRA258,JAASAV000000000,GenBank_accession,SAMN14411172,,MSV000079015,,A1 medium,EtOAc,6520 Quadrupole Time-of-Flight LC/MS,3,False
03087dd9-2996-4bec-a3cc-88f71babc3a2.1,03087dd9-2996-4bec-a3cc-88f71babc3a2.1,main,03087dd9-2996-4bec-a3cc-88f71babc3a2.1,strain_pairing,incomplete,ms2_run,GCA_000377965.1.gbk,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/03087dd9-2996-4bec-a3cc-88f71babc3a2.1/genomes/GCA_000377965.1.gbk,sequence_ok,,,ftp://massive.ucsd.edu/MSV000083081/peak/CNB091_1.mzXML,Streptomyces sp. CNB091,GCA_000377965.1,GenBank_accession,SAMN02441673,"30853419, 26553755",MSV000083081,24d515f76b4c4d6694a934234435b9bf,Streptomyces ,Streptophenazine extraction,Streptophenazines,1,False
03087dd9-2996-4bec-a3cc-88f71babc3a2.1,03087dd9-2996-4bec-a3cc-88f71babc3a2.1,main,03087dd9-2996-4bec-a3cc-88f71babc3a2.1,strain_pairing,incomplete,ms2_run,GCA_000377965.1.gbk,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/03087dd9-2996-4bec-a3cc-88f71babc3a2.1/genomes/GCA_000377965.1.gbk,sequence_ok,,,ftp://massive.ucsd.edu/MSV000083081/peak/M1146-pKDB03.mzXML,Streptomyces sp. CNB091,GCA_000377965.1,GenBank_accession,SAMN02441673,"30853419, 26553755",MSV000083081,24d515f76b4c4d6694a934234435b9bf,Streptomyces ,Streptophenazine extraction,Streptophenazines,1,False
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_A1_BA1_01_6287.mzXML,SC01_Caries,SRR7448286,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_A3_BA3_01_6289.mzXML,SC05_Caries,SRR7448282,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_A4_BA4_01_6290.mzXML,SC07_Caries,SRR7448281,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_A5_BA5_01_6291.mzXML,SC09_Caries,SRR7448284,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_A6_BA6_01_6292.mzXML,SC10_Caries,SRR7448283,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
