component_hub	size	mass_mean	mass_min	mass_max	isolates_involved	genera_involved	has_producer_genus	pct_private	n_valid_hits	compound_names	npclassifier_pathway	composite_score	members
431.0	21	507.7845982814565	393.208511352539	665.443837483724	['Acinetobacter_D3M06', 'Arenibacter_D3M17', 'Colwellia_C2M19', 'Paracoccus_C2R07', 'Phaeobacter_B2R04', 'Roseovarius_B2R09', 'Salipiger_C3M06', 'Shewanella_B2R08', 'Vibrio_1A01', 'Vibrio_6D03']	['Acinetobacter', 'Arenibacter', 'Colwellia', 'Paracoccus', 'Phaeobacter', 'Roseovarius', 'Salipiger', 'Shewanella', 'Vibrio']	True	0.14285714285714285	0			0.9142857142857143	[335, np.float64(337.0), np.float64(342.0), np.float64(369.0), np.float64(370.0), np.float64(373.0), np.float64(385.0), np.float64(386.0), np.float64(419.0), np.float64(429.0), np.float64(430.0), np.float64(431.0), np.float64(463.0), np.float64(464.0), np.float64(506.0), np.float64(507.0), np.float64(519.0), np.float64(543.0), np.float64(553.0), np.float64(569.0), np.float64(574.0)]
466.0	16	601.9351688041096	470.3318317119893	746.5240139431426	['Acinetobacter_D3M06', 'Arenibacter_D3M17', 'Colwellia_C2M19', 'Paracoccus_C2R07', 'Phaeobacter_B2R04', 'Roseovarius_B2R09', 'Salipiger_C3M06', 'Shewanella_B2R08', 'Vibrio_6D03']	['Acinetobacter', 'Arenibacter', 'Colwellia', 'Paracoccus', 'Phaeobacter', 'Roseovarius', 'Salipiger', 'Shewanella', 'Vibrio']	True	0.125	0			0.8736786981740178	[411, np.float64(422.0), np.float64(450.0), np.float64(466.0), np.float64(489.0), np.float64(496.0), np.float64(498.0), np.float64(511.0), np.float64(534.0), np.float64(546.0), np.float64(560.0), np.float64(571.0), np.float64(589.0), np.float64(590.0), np.float64(602.0), np.float64(603.0)]
494.0	10	549.2921259562174	442.263656616211	654.3499145507812	['Acinetobacter_D3M06', 'Arenibacter_D3M17', 'Colwellia_C2M19', 'Motilimonas_G1M02', 'Phaeobacter_B2R04', 'Roseovarius_B2R09', 'Salipiger_C3M06', 'Shewanella_B2R08', 'Vibrio_1A01', 'Vibrio_6D03']	['Acinetobacter', 'Arenibacter', 'Colwellia', 'Motilimonas', 'Phaeobacter', 'Roseovarius', 'Salipiger', 'Shewanella', 'Vibrio']	True	0.4	0			0.8356329020443657	[382, np.float64(443.0), np.float64(449.0), np.float64(471.0), np.float64(485.0), np.float64(494.0), np.float64(504.0), np.float64(528.0), np.float64(532.0), np.float64(566.0)]
576.0	11	550.2482299021029	359.28984451293974	671.303271484375	['Acinetobacter_D3M06', 'Arenibacter_D3M17', 'Colwellia_C2M19', 'Paracoccus_C2R07', 'Phaeobacter_B2R04', 'Roseovarius_B2R09', 'Salipiger_C3M06', 'Shewanella_B2R08', 'Vibrio_1A01', 'Vibrio_6D03']	['Acinetobacter', 'Arenibacter', 'Colwellia', 'Paracoccus', 'Phaeobacter', 'Roseovarius', 'Salipiger', 'Shewanella', 'Vibrio']	True	0.18181818181818182	0			0.8269160140930871	[319, np.float64(365.0), np.float64(425.0), np.float64(455.0), np.float64(475.0), np.float64(520.0), np.float64(523.0), np.float64(536.0), np.float64(554.0), np.float64(576.0), np.float64(578.0)]
280.0	4	372.29265340169275	304.212707519531	416.336588541667	['Paracoccus_C2R07', 'Phaeobacter_B2R04']	['Paracoccus', 'Phaeobacter']	True	1.0	0			0.7769149603562768	[280, np.float64(322.0), np.float64(340.0), np.float64(351.0)]
182.0	8	172.23955599466962	156.101715087891	188.128514607747	['Acinetobacter_D3M06', 'Arenibacter_D3M17', 'Colwellia_C2M19', 'Paracoccus_C2R07', 'Phaeobacter_B2R04', 'Roseovarius_B2R09', 'Salipiger_C3M06', 'Shewanella_B2R08', 'Vibrio_1A01', 'Vibrio_6D03']	['Acinetobacter', 'Arenibacter', 'Colwellia', 'Paracoccus', 'Phaeobacter', 'Roseovarius', 'Salipiger', 'Shewanella', 'Vibrio']	True	0.875	0			0.7570976035647744	[131, np.float64(132.0), np.float64(152.0), np.float64(153.0), np.float64(157.0), np.float64(158.0), np.float64(182.0), np.float64(183.0)]
651.0	5	898.4267389368131	806.400512695313	934.458618164063	['Acinetobacter_D3M06', 'Arenibacter_D3M17', 'Paracoccus_C2R07', 'Phaeobacter_B2R04', 'Roseovarius_B2R09', 'Salipiger_C3M06', 'Shewanella_B2R08']	['Acinetobacter', 'Arenibacter', 'Paracoccus', 'Phaeobacter', 'Roseovarius', 'Salipiger', 'Shewanella']	True	0.4	0			0.7443670979556345	[623, np.float64(651.0), np.float64(653.0), np.float64(654.0), np.float64(657.0)]
659.0	5	975.5004731241863	835.4408162434898	1177.580444335938	['Acinetobacter_D3M06', 'Arenibacter_D3M17', 'Colwellia_C2M19', 'Paracoccus_C2R07', 'Phaeobacter_B2R04', 'Roseovarius_B2R09', 'Salipiger_C3M06', 'Vibrio_1A01', 'Vibrio_6D03']	['Acinetobacter', 'Arenibacter', 'Colwellia', 'Paracoccus', 'Phaeobacter', 'Roseovarius', 'Salipiger', 'Vibrio']	True	0.4	0			0.7443670979556345	[632, np.float64(659.0), np.float64(661.0), np.float64(668.0), np.float64(689.0)]
616.0	3	722.0260484483509	619.3166707356769	773.380737304688	['Vibrio_1A01', 'Vibrio_6D03']	['Vibrio']	True	1.0	0			0.7433162593424967	[552, np.float64(615.0), np.float64(616.0)]
76.0	13	131.46995005527077	116.07022942437102	166.08608404946986	['Acinetobacter_D3M06', 'Arenibacter_D3M17', 'Colwellia_C2M19', 'Motilimonas_G1M02', 'Paracoccus_C2R07', 'Phaeobacter_B2R04', 'Roseovarius_B2R09', 'Salipiger_C3M06', 'Shewanella_B2R08', 'Vibrio_1A01', 'Vibrio_6D03']	['Acinetobacter', 'Arenibacter', 'Colwellia', 'Motilimonas', 'Paracoccus', 'Phaeobacter', 'Roseovarius', 'Salipiger', 'Shewanella', 'Vibrio']	True	0.46153846153846156	1	Spectral Match to DL-Phenylalanine from NIST14	Amino acids and Peptides|Shikimates and Phenylpropanoids	0.7324701869980106	[8, np.float64(25.0), np.float64(52.0), np.float64(54.0), np.float64(62.0), np.float64(63.0), np.float64(64.0), np.float64(76.0), np.float64(81.0), np.float64(82.0), np.float64(84.0), np.float64(88.0), np.float64(145.0)]
