CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
621	633	1	0.833	-44.025
592	604	1	0.8926	-44.026
604	621	1	0.8746	-44.027
466	511	3	0.8524	-44.026
511	534	3	0.8385	-28.031
511	546	3	0.8753	-44.027
511	571	3	0.851	-88.052
511	589	3	0.8561	-132.077
511	590	3	0.8556	-132.078
602	603	3	0.7643	-0.002
422	466	3	0.8373	-44.025
422	546	3	0.8185	-132.078
422	571	3	0.7724	-176.103
450	489	3	0.7649	-28.031
489	534	3	0.7631	-56.063
496	560	3	0.7776	-88.052
498	560	3	0.7368	-84.093
534	560	3	0.7698	-44.026
450	534	3	0.795	-84.094
496	534	3	0.7888	-44.026
466	496	3	0.8209	-28.031
466	571	3	0.8405	-132.078
546	571	3	0.9089	-44.025
571	589	3	0.8453	-44.025
571	590	3	0.8522	-44.026
466	589	3	0.8113	-176.103
546	589	3	0.8559	-88.05
589	590	3	0.8683	-0.001
589	603	3	0.8355	-44.028
411	450	3	0.7989	-44.026
450	498	3	0.7908	-44.026
466	546	3	0.9091	-88.053
546	590	3	0.8882	-88.051
411	498	3	0.7975	-88.052
466	590	3	0.8593	-176.104
590	603	3	0.7994	-44.026
23	24	5	0.8995	-0.0
22	23	5	0.8871	0.0
1	3	7	0.858	-2.016
34	98	7	0.8498	-18.01
34	143	7	0.8718	-46.006
34	148	7	0.9348	-46.006
25	81	7	0.8742	-14.016
31	99	7	0.9178	-18.01
90	99	7	0.8778	-2.029
213	292	7	0.8797	-91.042
257	292	7	0.8939	-34.021
8	63	7	0.8485	-14.015
54	63	7	0.8429	-1.02
63	64	7	0.9134	0.0
63	76	7	0.8441	-2.016
54	62	7	0.8553	-0.986
54	64	7	0.8809	-1.02
7	72	7	0.8808	-17.966
67	72	7	0.8801	-0.963
1	2	7	0.8864	-0.0
31	90	7	0.8794	-15.981
90	98	7	0.848	-2.029
76	145	7	0.8715	-33.984
213	257	7	0.8857	-57.021
76	84	7	0.8423	0.0
143	148	7	0.8728	0.0
52	62	7	0.8483	-0.986
76	88	7	0.8469	-0.003
81	88	7	0.8883	-0.003
82	88	7	0.8497	-0.001
76	81	7	0.8457	0.0
81	82	7	0.9043	-0.002
417	452	8	0.819	-36.021
418	452	8	0.8433	-36.021
314	328	8	0.9371	-18.01
328	356	8	0.9146	-53.048
328	357	8	0.9016	-53.047
417	451	8	0.8018	-36.021
451	453	8	0.7641	0.0
417	453	8	0.8216	-36.021
390	392	8	0.8725	0.0
392	393	8	0.8502	-0.0
392	396	8	0.9023	-2.016
314	357	8	0.9168	-71.057
357	363	8	0.8346	-3.974
357	391	8	0.8718	-21.985
314	363	8	0.8354	-75.031
363	391	8	0.9064	-18.011
363	393	8	0.8479	-18.011
363	396	8	0.8346	-20.027
363	418	8	0.8654	-49.983
314	356	8	0.8805	-71.058
391	396	8	0.884	-2.015
390	393	8	0.8946	-0.0
393	396	8	0.9168	-2.015
390	396	8	0.9235	-2.016
262	310	10	0.7986	-60.057
268	295	10	0.7959	-42.048
268	310	10	0.7992	-60.057
12	16	10	0.8648	-0.0
15	16	10	0.8855	-0.0
16	299	10	0.8888	-212.198
12	17	10	0.8845	0.0
15	17	10	0.8988	0.0
12	15	10	0.9001	-0.0
295	299	10	0.844	-1.002
73	188	11	0.8579	-57.058
73	231	11	0.844	-128.059
370	419	12	0.7728	-44.026
370	464	12	0.7542	-88.053
370	569	12	0.7627	-220.13
342	429	12	0.9205	-88.052
369	429	12	0.8823	-52.105
373	429	12	0.8664	-52.104
385	429	12	0.8997	-44.026
429	430	12	0.9111	0.0
429	431	12	0.8823	0.0
335	337	12	0.8333	0.0
335	507	12	0.7889	-176.104
342	430	12	0.9235	-88.051
369	430	12	0.8817	-52.105
373	430	12	0.882	-52.104
385	430	12	0.9209	-44.025
430	431	12	0.8834	-0.0
369	506	12	0.8564	-132.078
373	506	12	0.8634	-132.077
543	574	12	0.7985	-52.105
386	519	12	0.8463	-132.079
507	519	12	0.7835	-8.08
519	553	12	0.8624	-44.026
519	569	12	0.7685	-79.973
519	574	12	0.8853	-88.052
342	369	12	0.8876	-35.947
369	373	12	0.8707	-0.001
369	385	12	0.8845	-8.079
369	431	12	0.8743	-52.105
386	553	12	0.8353	-176.105
553	574	12	0.863	-44.026
342	385	12	0.9202	-44.026
373	385	12	0.8821	-8.079
385	431	12	0.8831	-44.026
386	431	12	0.8835	-44.026
386	574	12	0.8591	-220.131
342	431	12	0.8903	-88.052
373	431	12	0.8819	-52.104
419	464	12	0.8042	-44.026
419	463	12	0.7962	-44.026
463	507	12	0.7956	-44.026
342	373	12	0.8801	-35.947
280	340	16	0.763	-94.114
322	340	16	0.8198	-28.031
340	351	16	0.8017	-18.01
280	351	16	0.7511	-112.124
322	351	16	0.7771	-46.042
280	322	16	0.7471	-66.082
494	528	18	0.8872	-34.012
494	532	18	0.8304	-43.033
382	443	18	0.836	-68.993
443	494	18	0.899	-42.048
382	494	18	0.8247	-111.041
494	566	18	0.8708	-101.048
449	494	18	0.8463	-40.04
449	504	18	0.8263	-56.025
494	504	18	0.8383	-15.986
471	494	18	0.8302	-25.077
485	494	18	0.8602	-16.004
168	169	20	0.7633	0.0
174	178	20	0.8608	-0.0
168	174	20	0.7273	-2.019
124	125	22	0.9385	-2.038
125	127	22	0.8752	-0.0
124	127	22	0.8555	-2.039
100	105	22	0.8729	0.0
265	296	24	0.8041	-42.049
265	279	24	0.7727	-16.067
267	279	24	0.767	-16.067
261	267	24	0.7553	-0.0
552	616	26	0.8357	-154.064
615	616	26	0.8281	0.0
319	365	27	0.8954	-71.92
319	475	27	0.8912	-171.089
319	576	27	0.8925	-308.183
523	578	27	0.8824	-86.037
536	578	27	0.8772	-68.028
475	554	27	0.8784	-93.067
475	576	27	0.8874	-137.093
520	554	27	0.8852	-44.026
554	576	27	0.8941	-44.026
365	455	27	0.9002	-87.148
425	455	27	0.8917	-35.069
455	520	27	0.8743	-61.062
365	523	27	0.9142	-154.065
425	523	27	0.8819	-101.985
520	523	27	0.8897	-5.854
523	576	27	0.8919	-82.198
365	520	27	0.9084	-148.21
520	576	27	0.911	-88.052
365	576	27	0.9137	-236.262
152	182	31	0.905	-18.01
152	183	31	0.8551	-18.01
157	158	31	0.8306	0.0
157	182	31	0.928	-14.016
131	132	31	0.8175	-0.995
131	158	31	0.8716	-18.011
153	183	31	0.8817	-18.01
158	183	31	0.8519	-14.016
182	183	31	0.8304	0.0
158	182	31	0.8115	-14.016
623	657	34	0.7831	-128.058
651	657	34	0.8155	-28.03
654	657	34	0.7843	-12.036
651	653	34	0.7906	-15.994
651	654	34	0.803	-15.995
469	490	41	0.838	-15.958
469	568	41	0.7942	-128.058
568	586	41	0.7963	-28.032
399	400	46	0.7087	0.0
555	563	47	0.8595	-26.006
137	155	48	0.7682	-13.979
155	156	48	0.7693	-0.0
557	608	50	0.8254	-129.043
685	694	51	0.7251	-129.037
415	457	53	0.7017	-44.027
659	668	60	0.8372	-55.043
668	689	60	0.8589	-186.064
632	659	60	0.8294	-101.034
632	661	60	0.8854	-101.048
575	577	65	0.831	-1.997
283	320	78	0.9126	-55.059
301	320	78	0.9364	-28.031
303	320	78	0.9319	-27.027
283	301	78	0.9049	-27.027
283	303	78	0.9516	-28.031
301	303	78	0.8919	-1.004
631	660	80	0.8424	-101.048
625	660	80	0.8328	-128.071
641	660	80	0.8027	-57.035
625	641	80	0.8278	-71.037
275	325	82	0.7354	-71.021
293	325	82	0.7329	-44.026
333	394	88	0.8778	-57.021
518	562	89	0.7948	-71.038
9	10	94	0.8824	0.0
243	323	97	0.7821	-101.011
47	51	98	0.8477	-0.0
49	51	98	0.8435	-0.0
50	51	98	0.8014	-0.0
47	48	98	0.8361	0.0
48	49	98	0.7952	-0.0
48	50	98	0.8895	-0.0
47	49	98	0.8641	0.0
49	50	98	0.8005	0.0
47	50	98	0.8293	0.0
240	241	100	0.7728	-0.001
252	253	102	0.7758	0.0
338	374	107	0.8617	-44.025
374	383	107	0.8573	-5.025
595	596	108	0.8146	-0.986
208	364	117	0.7856	-203.962
321	364	117	0.9245	-67.987
364	438	117	0.9039	-67.987
136	321	117	0.7328	-203.962
208	321	117	0.8601	-135.975
321	438	117	0.8497	-135.974
136	208	117	0.7567	-67.987
208	438	117	0.7288	-271.949
28	97	119	0.8199	-18.01
96	97	119	0.7712	0.0
27	28	119	0.8472	0.0
270	271	130	0.7916	-2.016
558	591	135	0.7215	-66.539
583	591	135	0.7288	-22.513
558	583	135	0.7418	-44.026
41	42	142	0.7718	0.0
446	503	152	0.8323	-57.021
401	499	156	0.7644	-108.042
459	460	169	0.8666	0.0
316	317	172	0.7846	-0.001
236	249	180	0.8225	-15.995
172	173	184	0.753	-0.0
227	251	213	0.8212	-33.984
162	163	222	0.7388	0.0
154	160	225	0.8999	-2.027
