cluster index	number of spectra	parent mass	precursor charge	RTMean	origin	match_quality	flag_ion_mobility	flag_high_ppm	Compound_Name	MQScore	MZErrorPPM	Adduct	npclassifier_pathway	npclassifier_class	component	ATTRIBUTE_ORGANISM:GNPSGROUP:Vibrio_1A01	ATTRIBUTE_ORGANISM:GNPSGROUP:Vibrio_6D03	ATTRIBUTE_ORGANISM:GNPSGROUP:Phaeobacter_B2R04	ATTRIBUTE_ORGANISM:GNPSGROUP:Shewanella_B2R08	ATTRIBUTE_ORGANISM:GNPSGROUP:Roseovarius_B2R09	ATTRIBUTE_ORGANISM:GNPSGROUP:Colwellia_C2M19	ATTRIBUTE_ORGANISM:GNPSGROUP:Paracoccus_C2R07	ATTRIBUTE_ORGANISM:GNPSGROUP:Salipiger_C3M06	ATTRIBUTE_ORGANISM:GNPSGROUP:Acinetobacter_D3M06	ATTRIBUTE_ORGANISM:GNPSGROUP:Arenibacter_D3M17	ATTRIBUTE_ORGANISM:GNPSGROUP:Motilimonas_G1M02
1	14	103.05396670386892	1	282.62807142857145	isolate_only	FLAGGED	True	True	3-hydroxybenzaldehyde [CCS=112.9464111328125]	0.822599	9363.44	[M+H-H2O]+	Shikimates and Phenylpropanoids	Shikimic acids and derivatives|Simple phenolic acids	7	0	0	0	0	1	3	2	2	3	3	0
2	15	103.05397186279284	1	282.8816666666667	isolate_only	UNANNOTATED	False	False							7	0	0	0	0	1	3	2	3	3	3	0
3	6	105.06956481933598	1	316.66283333333337	isolate_only	UNANNOTATED	False	False							7	0	0	0	0	0	0	0	0	0	6	0
6	6	113.033991495768	1	189.9838333333333	isolate_only	UNANNOTATED	False	False							-1	0	0	0	6	0	0	0	0	0	0	0
7	46	113.9631894982382	1	296.19778260869566	isolate_only	UNANNOTATED	False	False							7	0	0	0	12	0	16	0	0	0	6	12
8	6	116.07022942437102	1	143.92883333333336	isolate_only	UNANNOTATED	False	False							7	0	0	0	0	0	0	0	0	0	6	0
9	6	116.07022942437102	1	173.57533333333336	isolate_only	UNANNOTATED	False	False							94	0	0	0	0	0	0	0	0	0	6	0
10	6	116.07022942437102	1	173.7663333333333	isolate_only	UNANNOTATED	False	False							94	0	0	0	0	0	0	0	0	0	6	0
12	30	117.07281668123105	1	207.51523333333333	isolate_only	UNANNOTATED	False	False							10	0	1	3	2	5	1	3	4	4	4	3
15	61	117.07280633724385	1	203.6066885245901	isolate_only	UNANNOTATED	False	False							10	0	8	5	6	7	4	7	7	7	2	8
16	49	117.07282274998148	1	125.69079931972789	isolate_only	UNANNOTATED	False	False							10	0	7	7	5	3	3	2	9	4	3	6
17	35	117.07279948366464	1	223.42544285714288	isolate_only	UNANNOTATED	False	False							10	0	5	4	5	3	4	5	1	2	2	4
22	12	118.08583638932951	1	209.72583333333336	isolate_only	UNANNOTATED	False	False							5	0	0	0	3	0	1	3	0	2	3	0
23	9	118.08583814832878	1	208.44722222222225	isolate_only	UNANNOTATED	False	False							5	0	0	0	3	0	1	2	0	2	1	0
24	3	118.08587985568568	1	212.734	isolate_only	UNANNOTATED	False	False							5	0	0	0	0	0	0	1	0	1	1	0
25	3	118.085833231608	1	153.29066666666668	isolate_only	UNANNOTATED	False	False							7	0	0	3	0	0	0	0	0	0	0	0
26	2	118.086082458496	1	180.1125	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	0	0	0	0	0	0	2
27	4	120.044278462728	1	524.0065	isolate_only	UNANNOTATED	False	False							119	0	0	0	0	0	0	0	0	0	4	0
28	2	120.044278462728	1	524.4979999999999	isolate_only	UNANNOTATED	False	False							119	0	0	0	0	0	0	0	0	0	2	0
31	64	120.08051685680697	1	293.29676562500003	isolate_only	UNANNOTATED	False	False							7	0	0	4	6	8	9	8	8	6	11	4
34	47	120.08051897275452	1	285.1966170212766	isolate_only	UNANNOTATED	False	False							7	0	0	2	6	6	7	6	5	5	6	4
37	3	120.080488840739	1	334.34433333333334	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	0	0	3	0	0	0	0
39	10	122.096512031555	1	319.0994	isolate_only	UNANNOTATED	False	False							7	0	3	3	0	0	1	0	0	0	3	0
40	10	122.096512031555	1	319.2905	isolate_only	UNANNOTATED	False	False							7	0	3	3	0	0	1	0	0	0	3	0
41	6	122.09605587853316	1	18.9845	isolate_only	UNANNOTATED	False	False							142	0	0	1	0	1	0	1	0	1	0	2
42	2	122.0960782368975	1	18.82875	isolate_only	UNANNOTATED	False	False							142	0	0	0	0	0	0	0	0	1	0	1
43	48	122.96373526255316	1	292.3574791666667	isolate_only	UNANNOTATED	False	False							-1	0	0	0	2	0	0	0	0	0	0	46
47	5	127.049627685547	1	230.124	isolate_only	FLAGGED	False	True	5-Methylcytosine - 40.0 eV	0.851742	7803.27	M+H	Alkaloids	Pyridine alkaloids	98	0	0	0	3	0	0	0	0	0	2	0
48	5	127.0496643066408	1	249.06840000000005	isolate_only	UNANNOTATED	False	False							98	0	0	0	2	0	0	0	0	1	2	0
49	5	127.0497090657556	1	229.92300000000003	isolate_only	FLAGGED	False	True	5-Methylcytosine - 40.0 eV	0.8634	7803.14	M+H	Alkaloids	Pyridine alkaloids	98	0	0	0	0	0	2	3	0	0	0	0
50	8	127.049743652344	1	264.608	isolate_only	UNANNOTATED	False	False							98	0	0	0	0	1	2	3	0	2	0	0
51	9	127.049835205078	1	311.90155555555555	isolate_only	FLAGGED	False	True	5-Methylcytosine - 40.0 eV	0.781084	7803.39	M+H	Alkaloids	Pyridine alkaloids	98	0	0	0	0	5	1	0	0	3	0	0
52	25	129.06544738769543	1	158.86752000000004	isolate_only	UNANNOTATED	False	False							7	0	0	4	0	0	0	6	3	6	6	0
53	8	129.0652923583985	1	158.431125	isolate_only	UNANNOTATED	False	False							7	0	0	0	4	0	4	0	0	0	0	0
54	4	129.065322875977	1	158.658	isolate_only	UNANNOTATED	False	False							7	0	0	0	0	4	0	0	0	0	0	0
55	6	129.065567016602	1	163.83383333333333	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	0	0	0	0	0	0	6
56	18	129.13820393880198	1	122.46277777777776	isolate_only	UNANNOTATED	False	False							45	0	0	0	6	0	6	0	0	0	6	0
62	2	130.051445007324	1	179.08149999999998	isolate_only	UNANNOTATED	False	False							7	2	0	0	0	0	0	0	0	0	0	0
63	3	130.085698445638	1	150.8493333333333	isolate_only	UNANNOTATED	False	False							7	0	0	0	0	3	0	0	0	0	0	0
64	3	130.085698445638	1	151.04033333333334	isolate_only	UNANNOTATED	False	False							7	0	0	0	0	3	0	0	0	0	0	0
66	6	130.122512817383	1	511.01566666666673	isolate_only	UNANNOTATED	False	False							-1	0	6	0	0	0	0	0	0	0	0	0
67	36	130.9661602444119	1	193.7498611111111	isolate_only	UNANNOTATED	False	False							7	4	2	6	6	0	4	4	0	4	2	4
72	19	131.92925092977703	1	286.3182631578948	isolate_only	UNANNOTATED	False	False							7	0	0	7	4	4	4	0	0	0	0	0
73	6	132.06501388549802	1	142.61633333333336	isolate_only	UNANNOTATED	False	False							11	0	0	0	6	0	0	0	0	0	0	0
76	40	132.10164549328044	1	193.2461	isolate_only	UNANNOTATED	False	False							7	0	0	1	5	2	3	3	8	7	9	2
78	17	132.1015798189394	1	194.27094117647056	isolate_only	UNANNOTATED	False	False							7	0	0	4	2	3	1	1	3	1	1	1
81	12	132.10167401026175	1	192.53041666666664	isolate_only	UNANNOTATED	False	False							7	0	0	0	1	0	2	2	1	2	3	1
82	7	132.10388546898244	1	192.4051428571429	isolate_only	UNANNOTATED	False	False							7	2	2	0	1	0	0	0	0	0	0	2
84	44	132.1017115853052	1	226.81531818181827	isolate_only	UNANNOTATED	False	False							7	0	0	3	4	1	0	5	7	15	7	2
88	2	132.10467529296898	1	198.524	isolate_only	UNANNOTATED	False	False							7	0	0	0	1	0	0	0	0	0	1	0
89	2	136.0613327026365	1	199.1825	isolate_only	FLAGGED	True	True	2,4,6-trimethylaniline [CCS=136.8988494873047]	0.721143	355.938	[M+H]+			-1	0	0	0	0	0	0	0	0	1	1	0
90	2	136.0613327026365	1	199.374	isolate_only	FLAGGED	True	True	2,4,6-trimethylaniline [CCS=136.0012664794922]	0.703418	355.938	[M+H]+			7	0	0	0	0	0	0	0	0	1	1	0
91	6	136.061462402344	1	197.0128333333333	isolate_only	VALID	False	False	Adenine - 40.0 eV	0.987902	4.1494	M+H	Alkaloids		114	0	0	0	0	2	0	0	2	2	0	0
96	2	138.054718017578	1	526.193	isolate_only	UNANNOTATED	False	False							119	0	0	0	0	0	0	0	0	0	2	0
97	2	138.054718017578	1	526.3845	isolate_only	FLAGGED	False	True	HYPOXANTHINE	0.71329	7360.4	M+H	Alkaloids	pteridine alkaloids	119	0	0	0	0	0	0	0	0	0	2	0
98	22	138.0912107987836	1	203.5174545454545	isolate_only	FLAGGED	True	True	2,4,6-trimethylaniline [CCS=136.8988494873047]	0.778987	14552.5	[M+H]+			7	3	0	0	3	3	3	3	2	2	1	2
99	22	138.0912107987836	1	203.70881818181817	isolate_only	FLAGGED	True	True	2,4,6-trimethylaniline [CCS=136.8988494873047]	0.758708	14554.0	[M+H]+			7	3	0	0	3	3	3	3	2	2	1	2
100	14	141.95801439183614	1	352.6979285714286	isolate_only	UNANNOTATED	False	False							22	0	0	4	3	1	1	1	1	0	1	2
105	32	141.95806602377542	1	366.8864375	isolate_only	UNANNOTATED	False	False							22	0	0	2	5	6	4	3	1	1	1	9
108	6	144.065007527669	1	227.20750000000004	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	6	0	0	0	0	0	0
109	6	144.065007527669	1	227.39883333333333	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	6	0	0	0	0	0	0
110	34	145.07574343213855	1	490.9916176470588	isolate_only	UNANNOTATED	False	False							-1	0	0	2	2	5	5	5	5	5	5	0
112	2	146.0596618652345	1	446.372	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	0	1	0	0	1	0	0
113	22	146.09184820001772	1	154.86040909090906	isolate_only	UNANNOTATED	False	False							-1	0	0	0	4	0	6	6	0	0	2	4
114	2	146.091888427734	1	154.2435	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	0	0	0	0	0	2	0
121	3	152.056106567383	1	155.882	isolate_only	UNANNOTATED	False	False							-1	0	0	0	1	0	0	0	0	0	0	2
122	2	152.056079864502	1	156.14449999999997	isolate_only	FLAGGED	False	True	HMDB:HMDB00292-496 Xanthine	0.858039	6436.19	M+H	Alkaloids	Purine alkaloids	114	0	0	0	1	0	0	0	0	0	0	1
124	10	153.04160766601564	1	205.1561	isolate_only	UNANNOTATED	False	False							22	0	6	0	0	0	0	0	0	4	0	0
125	52	155.08105675490572	1	211.8252884615385	isolate_only	VALID	False	False	Massbank:PR300401 Cyclo-prolylglycine	0.710186	0.688747	M+H	Alkaloids|Amino acids and Peptides		22	0	0	8	6	6	6	5	6	6	6	3
127	51	155.081056064085	1	211.7145882352941	isolate_only	UNANNOTATED	False	False							22	0	0	8	6	6	6	5	6	6	5	3
129	25	155.08114071932692	1	240.67736	isolate_only	UNANNOTATED	False	False							22	0	1	3	3	3	3	3	3	3	3	0
130	26	155.0811431487585	1	240.3467307692308	isolate_only	UNANNOTATED	False	False							-1	1	0	3	3	3	3	3	3	3	4	0
131	4	156.101715087891	1	464.50925	isolate_only	UNANNOTATED	False	False							31	0	4	0	0	0	0	0	0	0	0	0
132	54	157.09686787923195	1	254.81281481481483	isolate_only	UNANNOTATED	False	False							31	2	4	6	6	6	6	6	6	6	6	0
134	4	158.099472045898	1	458.3	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	0	0	0	0	0	0	4
136	3	158.963729858398	1	130.92233333333334	isolate_only	UNANNOTATED	False	False							117	0	0	0	0	0	0	0	0	0	0	3
137	54	160.07571354618764	1	225.5860185185185	isolate_only	FLAGGED	False	True	Spectral Match to 2-Propylbenzimidazole from NIST14	0.716784	6379.59	M+H	Alkaloids	Quinazoline alkaloids	48	6	6	6	6	0	6	6	6	6	6	0
138	6	160.13258361816403	1	147.7841666666667	isolate_only	UNANNOTATED	False	False							-1	0	0	6	0	0	0	0	0	0	0	0
139	6	160.180470784505	1	117.92533333333334	isolate_only	UNANNOTATED	False	False							84	0	0	0	0	0	0	0	0	0	6	0
142	6	166.08612504182034	1	271.61	isolate_only	UNANNOTATED	False	False							-1	0	0	0	1	1	1	1	0	0	2	0
143	11	166.08625664759143	1	272.5967272727273	isolate_only	UNANNOTATED	False	False							7	0	1	1	2	1	2	2	1	0	1	0
145	94	166.08608404946986	1	306.9086382978723	isolate_only	VALID	False	False	Spectral Match to DL-Phenylalanine from NIST14	0.944979	0.459364	M+H	Amino acids and Peptides|Shikimates and Phenylpropanoids	Aminoacids	7	0	0	7	9	11	17	11	10	10	13	6
148	89	166.0860952152835	1	308.28124719101123	isolate_only	VALID	False	False	Phenylalanine_(L-)_30EV	0.991867	4.59364	M+H	Amino acids and Peptides|Shikimates and Phenylpropanoids	Aminoacids	7	0	0	6	7	11	16	10	9	10	14	6
151	54	169.09681136519805	1	259.7540555555556	isolate_only	UNANNOTATED	False	False							-1	0	6	6	6	6	6	6	6	6	6	0
152	3	170.118057250977	1	499.8176666666667	isolate_only	UNANNOTATED	False	False							31	0	3	0	0	0	0	0	0	0	0	0
153	3	170.118057250977	1	500.009	isolate_only	UNANNOTATED	False	False							31	0	3	0	0	0	0	0	0	0	0	0
154	6	173.09155782063797	1	151.21866666666668	isolate_only	FLAGGED	False	True	Xylitol - 40.0 eV	0.932669	11233.1	M+Na	Carbohydrates	Monosaccharides	225	0	0	0	0	0	0	0	0	0	6	0
155	9	174.05426025390597	1	211.21911111111112	isolate_only	FLAGGED	False	True	quinoxaline-2-carboxylic acid	0.765215	5688.33	M+H	Alkaloids	Phenazine alkaloids	48	0	0	4	0	3	0	0	0	0	2	0
156	2	174.054270426432	1	209.6095	isolate_only	VALID	False	False	Quinoline-4-carboxylic acid	0.88768	4.12032	[M+H]+	Alkaloids	Quinoline alkaloids	48	0	0	0	0	2	0	0	0	0	0	0
157	3	174.112360636393	1	465.2863333333333	isolate_only	UNANNOTATED	False	False							31	0	3	0	0	0	0	0	0	0	0	0
158	2	174.112360636393	1	464.02900000000005	isolate_only	UNANNOTATED	False	False							31	0	2	0	0	0	0	0	0	0	0	0
160	34	175.1184046128218	1	141.68238235294118	isolate_only	FLAGGED	False	True	Xylitol - 40.0 eV	0.926564	345.083	M+Na	Carbohydrates	Monosaccharides	225	0	0	6	0	0	0	6	6	6	6	4
161	11	176.1277340975671	1	415.1933636363637	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	0	4	0	0	3	4	0
162	2	180.104133605957	1	469.6525	isolate_only	UNANNOTATED	False	False							222	2	0	0	0	0	0	0	0	0	0	0
163	2	180.104133605957	1	469.844	isolate_only	UNANNOTATED	False	False							222	2	0	0	0	0	0	0	0	0	0	0
168	2	183.091320037842	1	465.6915	isolate_only	UNANNOTATED	False	False							20	0	0	0	1	0	0	0	1	0	0	0
169	3	183.0912551879883	1	465.4806666666666	isolate_only	UNANNOTATED	False	False							20	0	0	0	1	1	0	0	1	0	0	0
170	4	183.164527893066	1	156.20775	isolate_only	UNANNOTATED	False	False							-1	0	4	0	0	0	0	0	0	0	0	0
171	9	185.09266323513447	1	196.838	isolate_only	UNANNOTATED	False	False							138	2	2	1	0	2	2	0	0	0	0	0
172	2	185.0914306640625	1	197.736	isolate_only	UNANNOTATED	False	False							184	0	0	1	1	0	0	0	0	0	0	0
173	4	185.0914878845215	1	199.2555	isolate_only	UNANNOTATED	False	False							184	0	0	0	0	0	2	2	0	0	0	0
174	71	185.11024239994893	1	18.03884037558685	isolate_only	UNANNOTATED	False	False							20	0	10	8	7	7	5	10	4	7	7	6
178	143	185.1102536002812	1	21.575280885780884	isolate_only	UNANNOTATED	False	False							20	0	12	14	17	16	17	12	15	12	15	13
180	76	186.22164751115	1	531.4478815789474	isolate_only	UNANNOTATED	False	False							-1	0	7	7	7	8	8	7	9	8	6	9
182	3	188.128514607747	1	498.3333333333333	isolate_only	UNANNOTATED	False	False							31	0	3	0	0	0	0	0	0	0	0	0
183	3	188.128514607747	1	498.5243333333334	isolate_only	UNANNOTATED	False	False							31	0	3	0	0	0	0	0	0	0	0	0
188	6	189.1227251688641	1	276.4005	isolate_only	UNANNOTATED	False	False							11	0	0	3	0	0	0	0	2	1	0	0
189	3	195.061655680339	1	489.7583333333333	isolate_only	UNANNOTATED	False	False							-1	0	0	0	3	0	0	0	0	0	0	0
190	48	195.11223411560067	1	386.9902291666667	isolate_only	UNANNOTATED	False	False							-1	0	0	6	6	6	6	6	6	6	6	0
192	37	202.18009818137207	1	154.17367567567572	isolate_only	UNANNOTATED	False	False							-1	4	4	6	1	6	6	6	0	0	0	4
197	2	212.102447509766	1	200.5	isolate_only	UNANNOTATED	False	False							-1	0	0	1	1	0	0	0	0	0	0	0
200	3	216.097147623698	1	192.925	isolate_only	UNANNOTATED	False	False							-1	0	0	0	0	0	0	1	0	0	2	0
202	3	220.11821831597203	1	338.372	isolate_only	FLAGGED	False	True	Massbank:KO003698 Pantothenate|(R)-Pantothenate|Pantothenic acid|D-(+)-Pantothenic acid	0.897548	533.017	[M+H]+	Amino acids and Peptides	Dipeptides	-1	1	0	0	1	0	1	0	0	0	0	0
203	42	221.0913550967263	1	225.26066666666665	isolate_only	UNANNOTATED	False	False							-1	0	0	6	6	6	6	6	6	2	4	0
204	6	222.1123046875	1	514.8558333333334	isolate_only	UNANNOTATED	False	False							-1	0	6	0	0	0	0	0	0	0	0	0
207	33	226.1542236636382	1	183.5330909090909	isolate_only	UNANNOTATED	False	False							-1	0	0	6	0	6	4	4	5	4	4	0
208	3	226.95100402832	1	129.30933333333334	isolate_only	UNANNOTATED	False	False							117	0	0	0	0	0	0	0	0	0	0	3
209	3	226.982828776042	1	515.2743333333333	isolate_only	UNANNOTATED	False	False							-1	0	0	3	0	0	0	0	0	0	0	0
210	48	227.10184605916325	1	279.20725000000004	isolate_only	VALID	False	False	Spectral Match to PyroGlu-Pro from NIST14	0.866457	4.90479	M+H	Amino acids and Peptides	Dipeptides	217	0	0	6	6	6	6	6	6	6	6	0
213	6	229.11766967773403	1	146.13433333333336	isolate_only	UNANNOTATED	False	False							7	0	0	0	0	0	0	0	0	0	6	0
214	3	229.117669677734	1	424.6813333333334	isolate_only	FLAGGED	False	True	1-(oxolane-2-carbonyl)piperidine-2-carboxylic acid	0.767803	4360.26	[M+H]+	Amino acids and Peptides	Dipeptides	-1	0	0	0	0	0	0	0	0	0	3	0
216	4	230.112594604492	1	202.46575	isolate_only	UNANNOTATED	False	False							-1	0	0	2	0	0	0	2	0	0	0	0
219	40	235.1182144165037	1	156.54754999999997	isolate_only	VALID	False	False	Cyclo(-His-Pro)	0.897255	4.15348	M+H	Amino acids and Peptides	Dipeptides	-1	0	0	6	4	6	4	4	6	4	4	2
221	2	237.0879249572755	1	220.9345	isolate_only	UNANNOTATED	False	False							62	1	0	0	1	0	0	0	0	0	0	0
226	25	245.14966349283853	1	208.88336	isolate_only	FLAGGED	False	True	Spectral Match to Ile-Asn from NIST14	0.789162	4043.2	M+H			37	6	0	0	0	0	5	2	0	0	12	0
227	16	247.1279682431901	1	390.386375	isolate_only	UNANNOTATED	False	False							213	0	0	0	11	0	4	0	0	0	1	0
229	5	256.1742004394534	1	365.5144	isolate_only	UNANNOTATED	False	False							-1	0	0	0	2	0	2	1	0	0	0	0
231	4	260.123764038086	1	415.0557500000001	isolate_only	UNANNOTATED	False	False							11	0	0	0	0	2	0	0	2	0	0	0
