cluster index	parent mass	RTMean_min	dominant_isolate	number of spectra
688	1161.549377441406	6.874125	Colwellia_C2M19	2
658	934.458618164063	6.900266666666665	Shewanella_B2R08	3
646	891.5888061523439	0.3298597222222222	Vibrio_6D03	6
643	879.478373209635	6.7453666666666665	Vibrio_1A01	2
624	806.400512695313	6.938575	Shewanella_B2R08	2
622	795.408752441406	6.8873	Vibrio_6D03	2
612	766.382527669271	6.830594444444444	Vibrio_6D03	3
606	751.370585123698	4.307908333333334	Salipiger_C3M06	2
599	741.572499593099	0.33011944444444447	Vibrio_6D03	12
581	679.302876790365	6.856541666666667	Arenibacter_D3M17	2
582	679.302876790365	6.878605555555556	Arenibacter_D3M17	3
564	652.327178955078	6.732683333333333	Shewanella_B2R08	2
561	648.306182861328	7.211749999999999	Vibrio_1A01	2
526	585.295532226563	7.256266666666668	Vibrio_1A01	4
524	585.287272135417	6.950972222222221	Shewanella_B2R08	3
525	585.287272135417	6.954172222222222	Shewanella_B2R08	3
516	573.294514973958	6.9050666666666665	Vibrio_1A01	3
517	573.294514973958	6.908266666666666	Vibrio_1A01	3
513	571.262288411458	6.9568666666666665	Vibrio_1A01	6
502	568.279296875	3.2757583333333335	Vibrio_1A01	6
500	562.29443359375	7.609266666666667	Vibrio_1A01	2
493	553.288696289063	6.74965	Acinetobacter_D3M06	2
492	544.770324707031	7.072691666666667	Paracoccus_C2R07	2
491	543.238372802734	3.3577416666666666	Phaeobacter_B2R04	2
487	539.289184570313	6.662369444444446	Vibrio_6D03	6
484	537.266418457031	7.420133333333334	Vibrio_6D03	2
476	531.276000976563	6.899872222222222	Motilimonas_G1M02	3
477	531.276000976563	6.903072222222222	Motilimonas_G1M02	3
474	529.296142578125	7.275616666666666	Motilimonas_G1M02	2
448	513.265482584635	6.902449999999999	Arenibacter_D3M17	3
447	512.269755045573	6.750538888888888	Colwellia_C2M19	3
440	499.23629760742193	12.154894444444443	Vibrio_1A01	6
435	497.270914713542	6.724794444444444	Motilimonas_G1M02	6
413	472.275054931641	7.306008333333334	Shewanella_B2R08	2
412	472.275054931641	7.302816666666667	Shewanella_B2R08	2
387	446.186462402344	3.229966666666667	Phaeobacter_B2R04	2
376	440.242980957031	6.817833333333334	Vibrio_1A01	2
366	431.248886108398	6.910383333333332	Colwellia_C2M19	4
355	426.233032226563	6.705880555555555	Shewanella_B2R08	6
352	417.203094482422	6.997245833333333	Vibrio_1A01	4
350	415.252705891927	7.25445	Shewanella_B2R08	2
346	413.348892211914	10.597016666666665	Acinetobacter_D3M06	2
345	407.2123718261721	5.918722222222221	Roseovarius_B2R09	3
330	383.228668212891	7.073416666666666	Salipiger_C3M06	2
315	357.211395263672	6.560816666666668	Phaeobacter_B2R04	2
308	345.248825073242	8.114333333333333	Phaeobacter_B2R04	2
306	343.196228027344	4.6096916666666665	Roseovarius_B2R09	2
305	336.15453084309905	6.4907555555555545	Paracoccus_C2R07	6
298	329.181060791016	3.4733083333333337	Acinetobacter_D3M06	2
287	312.154205322266	3.236725	Shewanella_B2R08	2
278	302.170013427734	3.4623833333333334	Paracoccus_C2R07	4
277	300.217569986979	12.11925	Vibrio_6D03	2
273	295.020385742188	8.551672222222221	Phaeobacter_B2R04	6
269	287.122741699219	3.7737583333333333	Roseovarius_B2R09	6
266	286.219603165336	11.839075	Vibrio_6D03	2
250	279.133605957031	7.2628416666666675	Phaeobacter_B2R04	2
246	273.187754313151	3.348925	Vibrio_6D03	2
245	273.187754313151	3.3354722222222217	Vibrio_6D03	3
214	229.117669677734	7.078022222222223	Arenibacter_D3M17	3
209	226.982828776042	8.587905555555555	Phaeobacter_B2R04	3
204	222.1123046875	8.580930555555558	Vibrio_6D03	6
