cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_GROUP:GNPSGROUP:G1	ATTRIBUTE_GROUP:GNPSGROUP:G2	ATTRIBUTE_ORGANISM:GNPSGROUP:Vibrio_1A01	ATTRIBUTE_ORGANISM:GNPSGROUP:Vibrio_6D03	ATTRIBUTE_ORGANISM:GNPSGROUP:Phaeobacter_B2R04	ATTRIBUTE_ORGANISM:GNPSGROUP:Shewanella_B2R08	ATTRIBUTE_ORGANISM:GNPSGROUP:Roseovarius_B2R09	ATTRIBUTE_ORGANISM:GNPSGROUP:Colwellia_C2M19	ATTRIBUTE_ORGANISM:GNPSGROUP:Paracoccus_C2R07	ATTRIBUTE_ORGANISM:GNPSGROUP:Salipiger_C3M06	ATTRIBUTE_ORGANISM:GNPSGROUP:Acinetobacter_D3M06	ATTRIBUTE_ORGANISM:GNPSGROUP:Arenibacter_D3M17	ATTRIBUTE_ORGANISM:GNPSGROUP:Motilimonas_G1M02	ATTRIBUTE_ORGANISM:GNPSGROUP:nan	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:1-1A01.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:2-6D03.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:3-B2R04.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:4-B2R08.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:5-B2R09.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:6-C2M19.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:7-C2R07_2.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:8-C3M06.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:9-D3M06.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:10-D3M17.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:11-G1M02.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_GROUP	ATTRIBUTE_ORGANISM	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi	flag_ion_mobility	flag_high_ppm	match_quality	origin
1	14	103.05396670386892	1	103.05396670386892	0.0	282.62807142857145	14	0	0	0	0	0	1	3	2	2	3	3	0	0	0	0	0	0	1	3	2	2	3	3	0	0	G1	Roseovarius_B2R09,Colwellia_C2M19,Paracoccus_C2R07,Salipiger_C3M06,Acinetobacter_D3M06,Arenibacter_D3M17	5-B2R09.mzML,6-C2M19.mzML,7-C2R07_2.mzML,8-C3M06.mzML,9-D3M06.mzML,10-D3M17.mzML	7	CCMSLIB00017431222	1.0	specs_ms.mgf	GNPS-ION-MOBILITY-LIBRARY.mgf	0.822599	143550.0	280.762	9363.44	6.0	0.97406	103.054	1.0	temp/specs_ms.mgf1	1.0	3-hydroxybenzaldehyde [CCS=112.9464111328125]	LC-ESI	ToF	Crude	Pieter Dorrestein	victoriadeleray	[M+H-H2O]+	104.028	122.037	1.0			O=CC1=CC=CC(O)=C1	InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H		1.0	Positive	GNPS-ION-MOBILITY-LIBRARY	104.028	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H6O2	IAVREABSGIHHMO-UHFFFAOYSA-N	IAVREABSGIHHMO	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00017431222	True	True	FLAGGED	isolate_only
47	5	127.049627685547	1	127.049627685547	0.0	230.124	5	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	2	0	0	G1	Shewanella_B2R08,Arenibacter_D3M17	4-B2R08.mzML,10-D3M17.mzML	98	CCMSLIB00006125396	47.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-NEG.mgf	0.851742	10851.5	230.447	7803.27	7.0	0.983727	127.05	1.0	temp/specs_ms.mgf47	1.0	5-Methylcytosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	126.066	0.0	1.0			Cc1cnc([nH]c1=N)O	InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)		1.0	Positive	BIRMINGHAM-UHPLC-MS-NEG	126.066	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H7N3O	LRSASMSXMSNRBT-UHFFFAOYSA-N	LRSASMSXMSNRBT	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Nicotinic acid alkaloids	Pyridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006125396	False	True	FLAGGED	isolate_only
49	5	127.0497090657556	1	127.0497090657556	0.0	229.92300000000003	5	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	G1	Colwellia_C2M19,Paracoccus_C2R07	6-C2M19.mzML,7-C2R07_2.mzML	98	CCMSLIB00006122548	49.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.8634	8708.0	230.913	7803.14	6.0	0.983711	127.05	1.0	temp/specs_ms.mgf49	1.0	5-Methylcytosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	126.066	0.0	1.0			Cc1cnc([nH]c1=N)O	InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)		1.0	Positive	BIRMINGHAM-UHPLC-MS-POS	126.066	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H7N3O	LRSASMSXMSNRBT-UHFFFAOYSA-N	LRSASMSXMSNRBT	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Nicotinic acid alkaloids	Pyridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006122548	False	True	FLAGGED	isolate_only
51	9	127.049835205078	1	127.049835205078	0.0	311.90155555555555	9	0	0	0	0	0	5	1	0	0	3	0	0	0	0	0	0	0	5	1	0	0	3	0	0	0	G1	Roseovarius_B2R09,Colwellia_C2M19,Acinetobacter_D3M06	5-B2R09.mzML,6-C2M19.mzML,9-D3M06.mzML	98	CCMSLIB00006122548	51.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.781084	6627.9	322.75	7803.39	6.0	0.983742	127.05	1.0	temp/specs_ms.mgf51	1.0	5-Methylcytosine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	126.066	0.0	1.0			Cc1cnc([nH]c1=N)O	InChI=1S/C5H7N3O/c1-3-2-7-5(9)8-4(3)6/h2H,1H3,(H3,6,7,8,9)		1.0	Positive	BIRMINGHAM-UHPLC-MS-POS	126.066	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H7N3O	LRSASMSXMSNRBT-UHFFFAOYSA-N	LRSASMSXMSNRBT	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Nicotinic acid alkaloids	Pyridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006122548	False	True	FLAGGED	isolate_only
89	2	136.0613327026365	1	136.0613327026365	0.0	199.1825	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	G1	Acinetobacter_D3M06,Arenibacter_D3M17	9-D3M06.mzML,10-D3M17.mzML	-1	CCMSLIB00017432750	89.0	specs_ms.mgf	GNPS-ION-MOBILITY-LIBRARY.mgf	0.721143	18125.3	199.171	355.938	6.0	0.0484467	136.062	1.0	temp/specs_ms.mgf89	1.0	2,4,6-trimethylaniline [CCS=136.8988494873047]	LC-ESI	ToF	Crude	Pieter Dorrestein	victoriadeleray	[M+H]+	136.11	135.103	1.0			NC1=C(C)C=C(C)C=C1C	InChI=1S/C9H13N/c1-6-4-7(2)9(10)8(3)5-6/h4-5H,10H2,1-3H3		1.0	Positive	GNPS-ION-MOBILITY-LIBRARY	136.11	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H13N	KWVPRPSXBZNOHS-UHFFFAOYSA-N	KWVPRPSXBZNOHS	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00017432750	True	True	FLAGGED	isolate_only
90	2	136.0613327026365	1	136.0613327026365	0.0	199.374	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	G1	Acinetobacter_D3M06,Arenibacter_D3M17	9-D3M06.mzML,10-D3M17.mzML	7	CCMSLIB00017432757	90.0	specs_ms.mgf	GNPS-ION-MOBILITY-LIBRARY.mgf	0.703418	21919.6	199.362	355.938	7.0	0.0484467	136.062	1.0	temp/specs_ms.mgf90	1.0	2,4,6-trimethylaniline [CCS=136.0012664794922]	LC-ESI	ToF	Crude	Pieter Dorrestein	victoriadeleray	[M+H]+	136.11	135.103	1.0			NC1=C(C)C=C(C)C=C1C	InChI=1S/C9H13N/c1-6-4-7(2)9(10)8(3)5-6/h4-5H,10H2,1-3H3		1.0	Positive	GNPS-ION-MOBILITY-LIBRARY	136.11	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H13N	KWVPRPSXBZNOHS-UHFFFAOYSA-N	KWVPRPSXBZNOHS	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00017432757	True	True	FLAGGED	isolate_only
91	6	136.061462402344	1	136.061462402344	0.0	197.0128333333333	6	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	G1	Roseovarius_B2R09,Salipiger_C3M06,Acinetobacter_D3M06	5-B2R09.mzML,8-C3M06.mzML,9-D3M06.mzML	114	CCMSLIB00006117187	91.0	specs_ms.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.987902	17266.4	196.719	4.1494	7.0	0.000564575	136.061	1.0	temp/specs_ms.mgf91	1.0	Adenine - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	136.062	0.0	1.0			c1[nH]c(c-2ncnc2n1)N	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)		1.0	Positive	BIRMINGHAM-UHPLC-MS-POS	136.062	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H5N5	GFFGJBXGBJISGV-UHFFFAOYSA-N	GFFGJBXGBJISGV	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids		Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006117187	False	False	VALID	isolate_only
97	2	138.054718017578	1	138.054718017578	0.0	526.3845	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	G1	Arenibacter_D3M17	10-D3M17.mzML	119	CCMSLIB00006683859	97.0	specs_ms.mgf	MONA.mgf	0.71329	9163.6	526.808	7360.4	6.0	1.00871	138.055	1.0	temp/specs_ms.mgf97	1.0	HYPOXANTHINE	ESI	qTof	isolated	MoNA	MoNA:MoNA033473	M+H	137.046	0.0	1.0			C1=NC2=C(N=CN=C2N1)O	"""InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"""		3.0	positive	MONA	137.046	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H4N4O	FDGQSTZJBFJUBT-UHFFFAOYSA-N	FDGQSTZJBFJUBT	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	pteridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006683859	False	True	FLAGGED	isolate_only
98	22	138.0912107987836	1	138.0912107987836	0.0	203.5174545454545	22	0	3	0	0	3	3	3	3	2	2	1	2	0	3	0	0	3	3	3	3	2	2	1	2	0	G1	Vibrio_1A01,Shewanella_B2R08,Roseovarius_B2R09,Colwellia_C2M19,Paracoccus_C2R07,Salipiger_C3M06,Acinetobacter_D3M06,Arenibacter_D3M17,Motilimonas_G1M02	1-1A01.mzML,4-B2R08.mzML,5-B2R09.mzML,6-C2M19.mzML,7-C2R07_2.mzML,8-C3M06.mzML,9-D3M06.mzML,10-D3M17.mzML,11-G1M02.mzML	7	CCMSLIB00017432750	98.0	specs_ms.mgf	GNPS-ION-MOBILITY-LIBRARY.mgf	0.778987	32938.6	201.668	14552.5	6.0	1.98074	138.091	1.0	temp/specs_ms.mgf98	1.0	2,4,6-trimethylaniline [CCS=136.8988494873047]	LC-ESI	ToF	Crude	Pieter Dorrestein	victoriadeleray	[M+H]+	136.11	135.103	1.0			NC1=C(C)C=C(C)C=C1C	InChI=1S/C9H13N/c1-6-4-7(2)9(10)8(3)5-6/h4-5H,10H2,1-3H3		1.0	Positive	GNPS-ION-MOBILITY-LIBRARY	136.11	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H13N	KWVPRPSXBZNOHS-UHFFFAOYSA-N	KWVPRPSXBZNOHS	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00017432750	True	True	FLAGGED	isolate_only
99	22	138.0912107987836	1	138.0912107987836	0.0	203.70881818181817	22	0	3	0	0	3	3	3	3	2	2	1	2	0	3	0	0	3	3	3	3	2	2	1	2	0	G1	Vibrio_1A01,Shewanella_B2R08,Roseovarius_B2R09,Colwellia_C2M19,Paracoccus_C2R07,Salipiger_C3M06,Acinetobacter_D3M06,Arenibacter_D3M17,Motilimonas_G1M02	1-1A01.mzML,4-B2R08.mzML,5-B2R09.mzML,6-C2M19.mzML,7-C2R07_2.mzML,8-C3M06.mzML,9-D3M06.mzML,10-D3M17.mzML,11-G1M02.mzML	7	CCMSLIB00017432750	99.0	specs_ms.mgf	GNPS-ION-MOBILITY-LIBRARY.mgf	0.758708	26210.7	203.697	14554.0	6.0	1.98094	138.091	1.0	temp/specs_ms.mgf99	1.0	2,4,6-trimethylaniline [CCS=136.8988494873047]	LC-ESI	ToF	Crude	Pieter Dorrestein	victoriadeleray	[M+H]+	136.11	135.103	1.0			NC1=C(C)C=C(C)C=C1C	InChI=1S/C9H13N/c1-6-4-7(2)9(10)8(3)5-6/h4-5H,10H2,1-3H3		1.0	Positive	GNPS-ION-MOBILITY-LIBRARY	136.11	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H13N	KWVPRPSXBZNOHS-UHFFFAOYSA-N	KWVPRPSXBZNOHS	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00017432750	True	True	FLAGGED	isolate_only
