cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	ATTRIBUTE_GROUP:GNPSGROUP:G1	ATTRIBUTE_GROUP:GNPSGROUP:G2	ATTRIBUTE_ORGANISM:GNPSGROUP:Vibrio_1A01	ATTRIBUTE_ORGANISM:GNPSGROUP:Vibrio_6D03	ATTRIBUTE_ORGANISM:GNPSGROUP:Phaeobacter_B2R04	ATTRIBUTE_ORGANISM:GNPSGROUP:Shewanella_B2R08	ATTRIBUTE_ORGANISM:GNPSGROUP:Roseovarius_B2R09	ATTRIBUTE_ORGANISM:GNPSGROUP:Colwellia_C2M19	ATTRIBUTE_ORGANISM:GNPSGROUP:Paracoccus_C2R07	ATTRIBUTE_ORGANISM:GNPSGROUP:Salipiger_C3M06	ATTRIBUTE_ORGANISM:GNPSGROUP:Acinetobacter_D3M06	ATTRIBUTE_ORGANISM:GNPSGROUP:Arenibacter_D3M17	ATTRIBUTE_ORGANISM:GNPSGROUP:Motilimonas_G1M02	ATTRIBUTE_ORGANISM:GNPSGROUP:nan	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:1-1A01.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:2-6D03.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:3-B2R04.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:4-B2R08.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:5-B2R09.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:6-C2M19.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:7-C2R07_2.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:8-C3M06.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:9-D3M06.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:10-D3M17.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:11-G1M02.mzML	ATTRIBUTE_PERFILEGROUPING:GNPSGROUP:bkgrnd-marine-broth.mzML	ATTRIBUTE_GROUP	ATTRIBUTE_ORGANISM	ATTRIBUTE_PERFILEGROUPING	component	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi	flag_ion_mobility	flag_high_ppm	match_quality	origin
1	14	103.05396670386892	1	103.05396670386892	0.0	282.62807142857145	14	0	0	0	0	0	1	3	2	2	3	3	0	0	0	0	0	0	1	3	2	2	3	3	0	0	G1	Roseovarius_B2R09,Colwellia_C2M19,Paracoccus_C2R07,Salipiger_C3M06,Acinetobacter_D3M06,Arenibacter_D3M17	5-B2R09.mzML,6-C2M19.mzML,7-C2R07_2.mzML,8-C3M06.mzML,9-D3M06.mzML,10-D3M17.mzML	7	CCMSLIB00017431222	1.0	specs_ms.mgf	GNPS-ION-MOBILITY-LIBRARY.mgf	0.822599	143550.0	280.762	9363.44	6.0	0.97406	103.054	1.0	temp/specs_ms.mgf1	1.0	3-hydroxybenzaldehyde [CCS=112.9464111328125]	LC-ESI	ToF	Crude	Pieter Dorrestein	victoriadeleray	[M+H-H2O]+	104.028	122.037	1.0			O=CC1=CC=CC(O)=C1	InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H		1.0	Positive	GNPS-ION-MOBILITY-LIBRARY	104.028	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H6O2	IAVREABSGIHHMO-UHFFFAOYSA-N	IAVREABSGIHHMO	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00017431222	True	True	FLAGGED	isolate_only
2	15	103.05397186279284	1	103.05397186279284	0.0	282.8816666666667	15	0	0	0	0	0	1	3	2	3	3	3	0	0	0	0	0	0	1	3	2	3	3	3	0	0	G1	Roseovarius_B2R09,Colwellia_C2M19,Paracoccus_C2R07,Salipiger_C3M06,Acinetobacter_D3M06,Arenibacter_D3M17	5-B2R09.mzML,6-C2M19.mzML,7-C2R07_2.mzML,8-C3M06.mzML,9-D3M06.mzML,10-D3M17.mzML	7																																															False	False	UNANNOTATED	isolate_only
3	6	105.06956481933598	1	105.06956481933598	0.0	316.66283333333337	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	G1	Arenibacter_D3M17	10-D3M17.mzML	7																																															False	False	UNANNOTATED	isolate_only
6	6	113.033991495768	1	113.033991495768	0.0	189.9838333333333	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	G1	Shewanella_B2R08	4-B2R08.mzML	-1																																															False	False	UNANNOTATED	isolate_only
7	46	113.9631894982382	1	113.96318949823818	0.0	296.19778260869566	46	0	0	0	0	12	0	16	0	0	0	6	12	0	0	0	0	12	0	16	0	0	0	6	12	0	G1	Shewanella_B2R08,Colwellia_C2M19,Arenibacter_D3M17,Motilimonas_G1M02	4-B2R08.mzML,6-C2M19.mzML,10-D3M17.mzML,11-G1M02.mzML	7																																															False	False	UNANNOTATED	isolate_only
8	6	116.07022942437102	1	116.07022942437102	0.0	143.92883333333336	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	G1	Arenibacter_D3M17	10-D3M17.mzML	7																																															False	False	UNANNOTATED	isolate_only
9	6	116.07022942437102	1	116.07022942437102	0.0	173.57533333333336	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	G1	Arenibacter_D3M17	10-D3M17.mzML	94																																															False	False	UNANNOTATED	isolate_only
10	6	116.07022942437102	1	116.07022942437102	0.0	173.7663333333333	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	G1	Arenibacter_D3M17	10-D3M17.mzML	94																																															False	False	UNANNOTATED	isolate_only
12	30	117.07281668123105	1	117.07281668123105	0.0	207.51523333333333	30	0	0	1	3	2	5	1	3	4	4	4	3	0	0	1	3	2	5	1	3	4	4	4	3	0	G1	Vibrio_6D03,Phaeobacter_B2R04,Shewanella_B2R08,Roseovarius_B2R09,Colwellia_C2M19,Paracoccus_C2R07,Salipiger_C3M06,Acinetobacter_D3M06,Arenibacter_D3M17,Motilimonas_G1M02	2-6D03.mzML,3-B2R04.mzML,4-B2R08.mzML,5-B2R09.mzML,6-C2M19.mzML,7-C2R07_2.mzML,8-C3M06.mzML,9-D3M06.mzML,10-D3M17.mzML,11-G1M02.mzML	10																																															False	False	UNANNOTATED	isolate_only
15	61	117.07280633724385	1	117.0728063372439	0.0	203.6066885245901	61	0	0	8	5	6	7	4	7	7	7	2	8	0	0	8	5	6	7	4	7	7	7	2	8	0	G1	Vibrio_6D03,Phaeobacter_B2R04,Shewanella_B2R08,Roseovarius_B2R09,Colwellia_C2M19,Paracoccus_C2R07,Salipiger_C3M06,Acinetobacter_D3M06,Arenibacter_D3M17,Motilimonas_G1M02	2-6D03.mzML,3-B2R04.mzML,4-B2R08.mzML,5-B2R09.mzML,6-C2M19.mzML,7-C2R07_2.mzML,8-C3M06.mzML,9-D3M06.mzML,10-D3M17.mzML,11-G1M02.mzML	10																																															False	False	UNANNOTATED	isolate_only
