podp_id,mibig_id,link_type,ms2_url,ms2_scan,gnps_massive_id,ms2_file_in_curated_pairs
0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,BGC0000289,single molecule,ftp://massive.ucsd.edu/MSV000085123/peak/Nonomuraea_A40926.mzML,805,MSV000085123,True
0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,BGC0000529,single molecule,ftp://massive.ucsd.edu/MSV000085123/peak/Microbispora_NAI107.mzML,691,MSV000085123,True
1af59f37-c518-448c-9536-734b663eb21b.5,BGC0000972,single molecule,ftp://massive.ucsd.edu/MSV000078995/ccms_peak/P4_UnbiasedExclude.mzXML,3,MSV000078995,True
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,BGC0001285,single molecule,ftp://massive.ucsd.edu/MSV000085018/peak/P_putida_BW11M1_GD2_01_38289.mzXML,3573,MSV000085018,True
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c.2,BGC0000845,single molecule,ftp://massive.ucsd.edu/MSV000083835/peak/MeOH_Neg_mzML/51.mzML,2537,MSV000083835,True
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c.2,BGC0000319,single molecule,ftp://massive.ucsd.edu/MSV000083835/peak/MeOH_Neg_mzML/54.mzML,749,MSV000083835,True
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c.2,BGC0000880,single molecule,ftp://massive.ucsd.edu/MSV000083835/peak/MeOH_Pos_mzML/42.mzML,3633,MSV000083835,True
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c.2,BGC0000880,single molecule,ftp://massive.ucsd.edu/MSV000083835/peak/MeOH_Pos_mzML/42.mzML,3888,MSV000083835,True
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c.2,BGC0000880,single molecule,ftp://massive.ucsd.edu/MSV000083835/peak/MeOH_Pos_mzML/42.mzML,3998,MSV000083835,True
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c.2,BGC0001310,single molecule,ftp://massive.ucsd.edu/MSV000083835/peak/EtOAc_Neg_mzML/60.mzML,3673,MSV000083835,True
79eae50e-004d-42ba-8a81-f6d620e7052a.2,,single molecule,ftp://massive.ucsd.edu/MSV000085023/peak/XaMa_SILAC/XanMangi_XAD_crude_D0_1.mzXML,"906, 909, 925, 928, 940, 943",MSV000085023,True
7ac37e93-a737-4746-b121-0993adccf178.2,BGC0000598,single molecule,ftp://massive.ucsd.edu/MSV000078667/spectrum/EH_Ento_Alex_targeted.mzXML,"17706, 17699",MSV000078667,True
7ac37e93-a737-4746-b121-0993adccf178.2,BGC0001105,single molecule,ftp://massive.ucsd.edu/MSV000078667/spectrum/EH_Ento_Eric_130913212942.mzXML,"6824, 6516",MSV000078667,True
84b56cd3-218b-4e57-906f-a9003615ed07.2,BGC0001632,single molecule,ftp://massive.ucsd.edu/MSV000084950/peak/040220022.mzML,2858,MSV000084950,True
84b56cd3-218b-4e57-906f-a9003615ed07.2,BGC0000473,single molecule,ftp://massive.ucsd.edu/MSV000084950/peak/040220002.mzML,1809,MSV000084950,True
84b56cd3-218b-4e57-906f-a9003615ed07.2,,single molecule,ftp://massive.ucsd.edu/MSV000084950/peak/040220001.mzML,2758,MSV000084950,True
93f8edd3-c00d-4acf-b359-879b02850b46.1,BGC0001800,single molecule,ftp://massive.ucsd.edu/MSV000081318/updates/2017-07-13_eriche_ecca281c/raw/TSWJapanSponge.mzXML,"2476, 2605, 2615",MSV000081318,True
944b1725-47e2-4f4f-8d57-40fbf9dc4282.5,,single molecule,ftp://massive.ucsd.edu/MSV000084117/peak/mzxml/Bsub_wt_1.mzXML,2645,MSV000084117,True
944b1725-47e2-4f4f-8d57-40fbf9dc4282.5,BGC0000433,single molecule,ftp://massive.ucsd.edu/MSV000084117/peak/mzxml/Bsub_wt_3.mzXML,2598,MSV000084117,True
944b1725-47e2-4f4f-8d57-40fbf9dc4282.5,BGC0000433,single molecule,ftp://massive.ucsd.edu/MSV000084117/peak/mzxml/Bsub_wt_2.mzXML,2647,MSV000084117,True
944b1725-47e2-4f4f-8d57-40fbf9dc4282.5,BGC0000433,single molecule,ftp://massive.ucsd.edu/MSV000084117/peak/mzxml/Bsub_wt_2.mzXML,2646,MSV000084117,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/3-FeMeOHGa.mzXML,1173858,MSV000084771,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/29RE(rerun).mzXML,638325,MSV000084771,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/52-FeMeOHGa.mzXML,1270586,MSV000084771,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/55-FeMeOHGa.mzXML,1164886,MSV000084771,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/57-FeMeOHGa.mzXML,1194795,MSV000084771,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/62-FeMeOHGa.mzXML,1218107,MSV000084771,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/70-FeMeOHGa(rerun).mzXML,1123039,MSV000084771,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/70-FeMeOHGa(rerun).mzXML,660289,MSV000084771,True
a4837d37-1df1-4153-b365-c06841574235.3,,single molecule,ftp://massive.ucsd.edu/MSV000084771/raw/79-FeMeOHGa.mzXML,948856,MSV000084771,True
aa13b370-2bff-43aa-b0b1-5671716bdb5c.2,BGC0000426,single molecule,ftp://massive.ucsd.edu/MSV000085032/updates/2020-02-28_tamhdang_dd576258/peak/Sevadicin_HCD.mzXML,626,MSV000085032,True
aa886b1a-320f-4567-bf22-b45c3d24a4cc.2,BGC0002061,single molecule,ftp://massive.ucsd.edu/MSV000078891/spectrum/massive_cyanos/EH_2014_06_18_WT_colony2.mzXML,"2399,2421,2443",MSV000078891,True
aa886b1a-320f-4567-bf22-b45c3d24a4cc.2,,single molecule,ftp://massive.ucsd.edu/MSV000078891/spectrum/massive_cyanos/EH_2014_06_18_WT_colony2.mzXML,"2159,2179",MSV000078891,True
aa886b1a-320f-4567-bf22-b45c3d24a4cc.2,,single molecule,ftp://massive.ucsd.edu/MSV000078891/spectrum/massive_cyanos/EH_2014_06_18_WT_colony2.mzXML,"2368,2402",MSV000078891,True
b11e7516-d407-4c28-987f-4f8f86a16c55.3,BGC0002016,single molecule,ftp://massive.ucsd.edu/MSV000082285/ccms_peak/MM-WT_1-10_P1-G-2_01_35627.mzML,407,MSV000082285,True
c66bdb4d-ddad-4684-8dc4-12cf225930c5.2,BGC0001792,single molecule,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/R5_unlab_J1074_pre.mzXML,3226,MSV000079519,True
c66bdb4d-ddad-4684-8dc4-12cf225930c5.2,BGC0001792,single molecule,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/ISP2_unlab_J1074_pre.mzXML,3061,MSV000079519,True
c66bdb4d-ddad-4684-8dc4-12cf225930c5.2,BGC0001792,GNPS molecular family,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/A1_unlab_J1074.mzXML,3013,MSV000079519,True
c66bdb4d-ddad-4684-8dc4-12cf225930c5.2,BGC0001792,single molecule,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/R5_unlab_J1074_pre.mzXML,2969,MSV000079519,True
c66bdb4d-ddad-4684-8dc4-12cf225930c5.2,BGC0001792,single molecule,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/R5_unlab_J1074_pre.mzXML,3038,MSV000079519,True
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc.2,BGC0001476,single molecule,ftp://massive.ucsd.edu/MSV000085026/peak/38640_SN_72h_M8.mzXML,650,MSV000085026,True
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc.2,BGC0002052,single molecule,ftp://massive.ucsd.edu/MSV000085026/peak/38640_SN_72h_M8.mzXML,210,MSV000085026,True
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc.2,BGC0002053,single molecule,ftp://massive.ucsd.edu/MSV000085026/peak/38640_FE_72h_M8.mzXML,699,MSV000085026,True
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc.2,BGC0001478,single molecule,ftp://massive.ucsd.edu/MSV000085026/peak/38640_FE_72h_M8.mzXML,553,MSV000085026,True
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc.2,BGC0001477,single molecule,ftp://massive.ucsd.edu/MSV000085026/peak/38640_FE_72h_M8.mzXML,688,MSV000085026,True
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc.2,BGC0002051,single molecule,ftp://massive.ucsd.edu/MSV000085026/updates/2020-02-27_SoniaMaffioli_d7f9a65c/peak/38640_FE_24h_M8.mzXML,565,MSV000085026,True
cc996566-f00b-4175-95d2-e684371c5f59.4,BGC0001165,single molecule,ftp://massive.ucsd.edu/MSV000085038/raw/3L.mzXML,735,MSV000085038,True
cc996566-f00b-4175-95d2-e684371c5f59.4,BGC0000962,single molecule,ftp://massive.ucsd.edu/MSV000085038/raw/3L.mzXML,743,MSV000085038,True
cc996566-f00b-4175-95d2-e684371c5f59.4,BGC0001000,single molecule,ftp://massive.ucsd.edu/MSV000085038/raw/JHB_22AUG96-1.mzXML,622,MSV000085038,True
cc996566-f00b-4175-95d2-e684371c5f59.4,BGC0001001,single molecule,ftp://massive.ucsd.edu/MSV000085038/raw/JHB_22AUG96-1.mzXML,761,MSV000085038,True
cc996566-f00b-4175-95d2-e684371c5f59.4,BGC0001560,single molecule,ftp://massive.ucsd.edu/MSV000085038/raw/JHB_22AUG96-1.mzXML,66,MSV000085038,True
eaebc14f-4288-44e1-971a-b29ccb8a504f.3,,single molecule,ftp://massive.ucsd.edu/MSV000079139/peak/Himalaya%20strains/007_Hm125_1_01_240.mzXML,463-472,MSV000079139,True
f05276c1-3c19-4fc4-95ee-412817ec35bd.2,BGC0001055,single molecule,ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N1.mzXML,3106,MSV000083387,True
f05276c1-3c19-4fc4-95ee-412817ec35bd.2,BGC0001055,single molecule,ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N1.mzXML,2956,MSV000083387,True
f05276c1-3c19-4fc4-95ee-412817ec35bd.2,BGC0001055,single molecule,ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N1.mzXML,2448,MSV000083387,True
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,BGC0001841,single molecule,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinP1-MS2.mzXML,0,MSV000083648,True
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,BGC0001841,single molecule,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinP2-MS2.mzXML,0,MSV000083648,True
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,BGC0001841,single molecule,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinP3-MS2.mzXML,0,MSV000083648,True
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,BGC0001840,single molecule,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinS1-MS2.mzXML,0,MSV000083648,True
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,,single molecule,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinN1-MS2.mzXML,0,MSV000083648,True
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,,single molecule,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinN2-MS2.mzXML,0,MSV000083648,True
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,,single molecule,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinN3-MS2.mzXML,0,MSV000083648,True
faafed8f-bcdc-4c56-b3b2-676e4d2ddcc6.3,BGC0000296,single molecule,ftp://massive.ucsd.edu/MSV000082988/ccms_peak/20170919_NM6_glyc2.1.mzXML,1382,MSV000082988,True
ff49073b-5f8d-4153-8414-9f8f01b24585.3,BGC0001752,single molecule,ftp://massive.ucsd.edu/MSV000081504/raw/JG_QL109_DDA_03.mzXML,420,MSV000081504,True
