podp_id,genome_label,genome_type,metabolomics_file,gnps_massive_id,same_experiment,slice
017c0466-e5d3-4792-a445-973d9dbe1b8b.1,Salinispora sp. BRA172,genome,ftp://massive.ucsd.edu/MSV000079015/raw/Brazilian%20Salinispora/BRA-172.mzXML,MSV000079015,True,unvalidated_pairs
017c0466-e5d3-4792-a445-973d9dbe1b8b.1,Salinispora sp. BRA190,genome,ftp://massive.ucsd.edu/MSV000079015/raw/Brazilian%20Salinispora/BRA-190.mzXML,MSV000079015,True,unvalidated_pairs
017c0466-e5d3-4792-a445-973d9dbe1b8b.1,Salinispora sp. BRA258,genome,ftp://massive.ucsd.edu/MSV000079015/raw/Brazilian%20Salinispora/BRA258-mz300.mzXML,MSV000079015,True,unvalidated_pairs
03087dd9-2996-4bec-a3cc-88f71babc3a2.1,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000083081/peak/CNB091_1.mzXML,MSV000083081,True,unvalidated_pairs
03087dd9-2996-4bec-a3cc-88f71babc3a2.1,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000083081/peak/M1146-pKDB03.mzXML,MSV000083081,True,unvalidated_pairs
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,SC19_Healthy,genome,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C2_BC2_01_6314.mzXML,MSV000081832,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_A1_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_A1_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_A1_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_MS_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_MS_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_MS_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_R5_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_R5_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_R5_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_ISP2_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_ISP2_M.mzXML,MSV000078847,True,unvalidated_pairs
