podp_id,study_id,study_role,study_members,tier,tier_reason,data_status,missing_files,file_bgc,file_genome,file_ms2_run,file_ms2_spectrum,path_bgc,path_genome,path_ms2_run,path_ms2_spectrum,status_genome,mibig_id,mibig_id_resolved,mibig_redirect,mibig_ref_type,mibig_local,mibig_version,mibig_status,mibig_quality,mibig_retirement_reason,gnps_massive_id,gnps_task_id,gnps_massive_url,compound_name,compound_description,iupac,smiles_podp,smiles_mibig,smiles_match,inchikey_match,inchikey_podp,inchikey_mibig,smiles_similarity,molecular_formula,bgc_locus_accession,bgc_start,bgc_end,bgc_organism,genome_label,genome_accession,genome_accession_type,biosample_accession,genome_publications,genome_ambiguous,genome_source,genome_unresolved_reason,gnps_component_files,ms2_run_url,ms2_scan,network_nodes_url,link_type,verification_raw,n_genomes_declared,metcalf_rankable,pi_name,submitter_email,notes
03087dd9-2996-4bec-a3cc-88f71babc3a2.1,03087dd9-2996-4bec-a3cc-88f71babc3a2.1,main,03087dd9-2996-4bec-a3cc-88f71babc3a2.1,1,"experimentally validated: Experimentally validated with knockouts, heterologous expression, or other gene cluster manipulation; Experimentally validated with NMR and/or detailed MS/MS analysis",incomplete,ms2_run|ms2_spectrum,BGC0002010.json,GCA_000377965.1.gbk,,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0002010.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/03087dd9-2996-4bec-a3cc-88f71babc3a2.1/genomes/GCA_000377965.1.gbk,,,sequence_ok,BGC0002010,BGC0002010,,exact,True,4.0,active,questionable,,MSV000083081,24d515f76b4c4d6694a934234435b9bf,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4f501dbba7784e8eb4111bf7e298970e&view=advanced_view,streptophenazine B,Streptophenazine (spz) BGC. In the above links I have the native producing organism CNB091 where you can see production of the streptophenazines. I also have the spz cluster expressed in the heterologous host (Streptomyces coelicolor M1146-pCAP03-spz) with synthetic strong constitutive promoters added for expression. This is the M1146-pKDB03 metabolomics data file that is linked above. I don't have a genome for this besides the native CNB091 since it is a heterologous production example. I have still included here in case it is helpful. ,,,,uncomputable,uncomputable,,,,,NZ_KB899004.1,101033,137766,Streptomyces sp. CNB091,Streptomyces sp. CNB091,GCA_000377965.1,GenBank_accession,SAMN02441673,"30853419, 26553755",False,gnps_component,,CNB091_1.mzXML|M1146-pCAP03.mzXML|M1146-pKDB01.mzXML|M1146-pKDB03.mzXML,,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=cluster_info_sliced&componentindex=29&show=true&task=24d515f76b4c4d6694a934234435b9bf#%7B%7D,GNPS molecular family,"Experimentally validated with knockouts, heterologous expression, or other gene cluster manipulation; Experimentally validated with NMR and/or detailed MS/MS analysis",1,False,Bradley Moore,kdbauman@ucsd.edu,
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,main,08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,1,experimentally validated: Experimentally validated with NMR and/or detailed MS/MS analysis,incomplete,ms2_run|ms2_spectrum,BGC0001230.json,GCA_000377965.1.gbk,,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0001230.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2/genomes/GCA_000377965.1.gbk,,,sequence_ok,BGC0001766,BGC0001230,BGC0001766 retired as duplicate of BGC0001230; resolved to the active entry,exact,True,4.0,active,questionable,,MSV000078847,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=9edff3f275ed489489bd8cac082c79d4&view=advanced_view#%7B%7D,salinamide A,Salinamide A ,,CC[C@@H](C)[C@H]1C(=O)N[C@@H]2C3=CC=C(C=C3)O[C@H]([C@]4(CO4)/C=C/C(=O)NCC(=O)OC[C@H](C(=O)O[C@H]([C@H](C(=O)N1)NC(=O)[C@@H](C)[C@H](C(C)C)O)C)NC(=O)[C@@H](NC(=O)[C@H](N(C2=O)C)CC5=CC=CC=C5)[C@H](C)O)C,[H][C@]1(NC(=O)[C@@H](CC2=CC=CC=C2)N(C)C(=O)[C@@H]2NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](C)[C@@H](O)C(C)C)[C@H](C)OC(=O)[C@@H](COC(=O)CNC(=O)\C=C\[C@@]3(CO3)[C@H](C)OC3=CC=C2C=C3)NC1=O)[C@H](C)CC)[C@H](C)O,formula,full,UIHLRTKYJPYYEU-OBBNVNRZSA-N,UIHLRTKYJPYYEU-OBBNVNRZSA-N,0.0148,C51H69N7O15,BK009377.1,,,Streptomyces sp. CNB091,CNB091,GCA_000377965.1,GenBank_accession,SAMN02441673,,False,gnps_component,,CNB091_A1_B.mzXML|CNB091_A1_E.mzXML|CNB091_A1_M.mzXML|CNB091_ISP2_B.mzXML|CNB091_ISP2_E.mzXML|CNB091_ISP2_M.mzXML|CNB091_LB_B.mzXML|CNB091_LB_E.mzXML|CNB091_LB_M.mzXML|CNB091_MA_E.mzXML|CNB091_MS_E.mzXML|CNB091_YP_B.mzXML|CNB091_YP_E.mzXML|CNB091_YP_M.mzXML,,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=25&task=9682abcfd2c746bba962397ac8e3b94b#%7B%7D,GNPS molecular family,Experimentally validated with NMR and/or detailed MS/MS analysis,3,False,Ellis O'Neill,ellis.o'neill@nottingham.ac.uk,
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,main,08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,2,"InChIKey match to cited MIBiG compound (full key, stereo included)",incomplete,ms2_run|ms2_spectrum,BGC0000940.json,GCA_000365385.1.gbk,,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0000940.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2/genomes/GCA_000365385.1.gbk,,,sequence_ok,BGC0000940,BGC0000940,,similar,True,4.0,active,questionable,,MSV000078847,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=9edff3f275ed489489bd8cac082c79d4&view=advanced_view#%7B%7D,desferrioxamine E,Desferrioxamine E and related compounds,,ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O,C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O,formula,full,NHKCCADZVLTPPO-UHFFFAOYSA-N,NHKCCADZVLTPPO-UHFFFAOYSA-N,0.697,C25H48N6O8,AL645882.2,3033355,3040682,Streptomyces coelicolor A3(2),CNS615|CNT302,GCA_000365385.1,GenBank_accession,SAMN02194547,,True,gnps_component,,-ve_A1_B.mzXML|-ve_A1_M.mzXML|CNS615_R5_B.mzXML|CNS615_R5_E.mzXML|CNS615_R5_M.mzXML|CNT302_A1_B.mzXML|CNT302_A1_E.mzXML|CNT302_A1_M.mzXML|CNT302_R5_B.mzXML|CNT302_R5_M.mzXML,,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=13&task=9682abcfd2c746bba962397ac8e3b94b#%7B%7D,GNPS molecular family,Bioinformatically inferred through comparative analysis with another experimentally defined gene cluster,3,False,Ellis O'Neill,ellis.o'neill@nottingham.ac.uk,
0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,main,0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,1,"experimentally validated: Experimentally validated with knockouts, heterologous expression, or other gene cluster manipulation; Experimentally validated with NMR and/or detailed MS/MS analysis",spectrum_pending,ms2_spectrum,BGC0000289.json,LT559118.1.gbk,MSV000085123__LT559118.1__Nonomuraea_A40926.mzML,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0000289.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1/genomes/LT559118.1.gbk,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1/ms2/MSV000085123__LT559118.1__Nonomuraea_A40926.mzML,,sequence_ok,BGC0000289,BGC0000289,,exact,True,4.0,active,questionable,,MSV000085123,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=38c1181ee521449382ca81efa84a6e81&view=advanced_view,A40926,"A40926, glycopeptide produced by Nonomuraea sp ATCC39727 (gerenzianensis).",,CC(C)CCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1Oc2c3cc4cc2Oc5ccc(cc5Cl)[C@H]([C@H]6C(=O)N[C@@H](c7cc(cc(c7-c8cc(ccc8O)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]9c1cc(cc(c1Cl)O)Oc1ccc(cc1O)[C@H](C(=O)N[C@H](Cc1ccc(cc1)O3)C(=O)N9)NC)O[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)C(=O)O)O)C(=O)O)O)O,,uncomputable,uncomputable,,,,,AJ561198.1,,,Nonomuraea gerenzanensis,Nonomuraea sp. ATCC39727 (gerenzaniensis),LT559118.1,GenBank_accession,,10.1038/s41598-016-0025-0,False,ms2_url_bridge,,,ftp://massive.ucsd.edu/MSV000085123/peak/Nonomuraea_A40926.mzML,805,,single molecule,"Experimentally validated with knockouts, heterologous expression, or other gene cluster manipulation; Experimentally validated with NMR and/or detailed MS/MS analysis",2,False,Margherita Sosio,miorio@naicons.com,
0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,main,0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,1,"experimentally validated: Experimentally validated with knockouts, heterologous expression, or other gene cluster manipulation; Experimentally validated with NMR and/or detailed MS/MS analysis",spectrum_pending,ms2_spectrum,BGC0000529.json,NZ_AWEV00000000.1.gbk,MSV000085123__NZ_AWEV00000000.1__Microbispora_NAI107.mzML,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0000529.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1/genomes/NZ_AWEV00000000.1.gbk,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1/ms2/MSV000085123__NZ_AWEV00000000.1__Microbispora_NAI107.mzML,,sequence_ok,BGC0000529,BGC0000529,,exact,True,4.0,active,questionable,,MSV000085123,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=38c1181ee521449382ca81efa84a6e81&view=advanced_view,microbisporicin A2,"NAI-107, also known as microbisporicin, is a lantibiotic with high activity against gram positive pathogens. 
It's bgc has been studied through heterologous expression (see PMID:20628010)",,ClC1=CC=C2C(C(C[C@@H]3NC([C@@H](CSC[C@H](NC([C@H](CC(C)C)NC(C(NC3=O)=C)=O)=O)C(N[C@@H]4C(N5[C@@](C(NCC(N[C@H](C(N[C@]([C@H](O)C)([H])C(N[C@H]6C(N7[C@@](C(NCC(NCC(NCC(N[C@@]8([H])C(N[C@@H](CC(N)=O)C(N[C@@](C(N[C@@]9([H])C(N[C@H](C(N[C@](CSC8)([H])C(N/C=C\SC9)=O)=O)CC%10=CC=CC=C%10)=O)=O)([H])CSC6)=O)=O)=O)=O)=O)=O)([H])C([H])C(O)C7)=O)=O)=O)CS[C@H]4C)=O)=O)([H])CCC5)=O)=O)NC(/C(NC([C@@H](N)C(C)C)=O)=C/C)=O)=O)=CN2)=C1,O=C(N[C@H](C(NC(C(N[C@H](C(N[C@H](C(N[C@H]([C@H](C)SC[C@@H](C(N[C@H]([C@H](O)C)C(N[C@@H](C(N1[C@H]2[C@@H](O)CC1)=O)CSC[C@H](NC([C@H](CC(N)=O)NC([C@H](NC(CNC(CNC(CNC2=O)=O)=O)=O)CSC[C@@H](C(N/C=C\SC3)=O)NC4=O)=O)=O)C(N[C@@H]3C(N[C@@H]4CC5=CC=CC=C5)=O)=O)=O)=O)NC6=O)C(N7[C@H](C(NC6)=O)CCC7)=O)=O)CSC8)=O)CC(C)C)=O)=C)=O)CC9=CNC%10=C9C=C(Cl)C=C%10)[C@@H]8NC(/C(NC([C@H](C(C)C)N)=O)=C/C)=O,formula,none,CEGKQFIOBQHXLN-YIWCYSMGSA-N,MXXHBKLVTYBKIT-WCMIHIHVSA-N,0.1538,C94H127ClN26O26S5,HM536998.1,1656,23062,Microbispora corallina,Microbispora sp. ATCC PTA-5024,NZ_AWEV00000000.1,GenBank_accession,,24459268,False,ms2_url_bridge,,,ftp://massive.ucsd.edu/MSV000085123/peak/Microbispora_NAI107.mzML,691,,single molecule,"Experimentally validated with knockouts, heterologous expression, or other gene cluster manipulation; Experimentally validated with NMR and/or detailed MS/MS analysis",2,False,Margherita Sosio,miorio@naicons.com,
0ff7a302-49af-4130-a440-59e284d4d365.4,297c364c-b154-4edd-a7d5-68decf9effa2.4,merged,0ff7a302-49af-4130-a440-59e284d4d365.4|297c364c-b154-4edd-a7d5-68decf9effa2.4,1,experimentally validated: Experimentally validated with NMR and/or detailed MS/MS analysis,incomplete,ms2_run|ms2_spectrum,BGC0001230.json,GCA_000377965.1.gbk,,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0001230.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/297c364c-b154-4edd-a7d5-68decf9effa2.4/genomes/GCA_000377965.1.gbk,,,sequence_ok,BGC0001766,BGC0001230,BGC0001766 retired as duplicate of BGC0001230; resolved to the active entry,exact,True,4.0,active,questionable,,MSV000078839,840eadb054f74d74ae42152a08ed9628,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a507232a787243a5afd69a6c6fa1e508&view=advanced_view#%7B%7D,salinamide A,Salinamide A ,,CC[C@@H](C)[C@H]1C(=O)N[C@@H]2C3=CC=C(C=C3)O[C@H]([C@]4(CO4)/C=C/C(=O)NCC(=O)OC[C@H](C(=O)O[C@H]([C@H](C(=O)N1)NC(=O)[C@@H](C)[C@H](C(C)C)O)C)NC(=O)[C@@H](NC(=O)[C@H](N(C2=O)C)CC5=CC=CC=C5)[C@H](C)O)C,[H][C@]1(NC(=O)[C@@H](CC2=CC=CC=C2)N(C)C(=O)[C@@H]2NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](C)[C@@H](O)C(C)C)[C@H](C)OC(=O)[C@@H](COC(=O)CNC(=O)\C=C\[C@@]3(CO3)[C@H](C)OC3=CC=C2C=C3)NC1=O)[C@H](C)CC)[C@H](C)O,formula,full,UIHLRTKYJPYYEU-OBBNVNRZSA-N,UIHLRTKYJPYYEU-OBBNVNRZSA-N,0.0148,C51H69N7O15,BK009377.1,,,Streptomyces sp. CNB091,Streptomyces sp. CNB091,GCA_000377965.1,GenBank_accession,SAMN02441673,,False,gnps_component,,CNB091_A1_B.mzXML|CNB091_A1_E.mzXML|CNB091_A1_M.mzXML|CNB091_ISP2_B.mzXML|CNB091_ISP2_E.mzXML|CNB091_ISP2_M.mzXML|CNB091_LB_B.mzXML|CNB091_LB_E.mzXML|CNB091_LB_M.mzXML|CNB091_MA_E.mzXML|CNB091_MS_E.mzXML|CNB091_YP_B.mzXML|CNB091_YP_E.mzXML|CNB091_YP_M.mzXML,,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=cluster_info_sliced&componentindex=25&task=9682abcfd2c746bba962397ac8e3b94b#%7B%7D,GNPS molecular family,Experimentally validated with NMR and/or detailed MS/MS analysis,39,True,Ellis O'Neill,ellis.o'neill@nottingham.ac.uk,
0ff7a302-49af-4130-a440-59e284d4d365.4,297c364c-b154-4edd-a7d5-68decf9effa2.4,merged,0ff7a302-49af-4130-a440-59e284d4d365.4|297c364c-b154-4edd-a7d5-68decf9effa2.4,2,"InChIKey match to cited MIBiG compound (full key, stereo included)",incomplete,ms2_run|ms2_spectrum,BGC0000940.json,GCA_000365385.1.gbk,,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0000940.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/297c364c-b154-4edd-a7d5-68decf9effa2.4/genomes/GCA_000365385.1.gbk,,,sequence_ok,BGC0000940,BGC0000940,,similar,True,4.0,active,questionable,,MSV000078839,840eadb054f74d74ae42152a08ed9628,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a507232a787243a5afd69a6c6fa1e508&view=advanced_view#%7B%7D,desferrioxamine E,Desferrioxamine E and related compounds,"1,12,23-trihydroxy-1,6,12,17,23,28-hexazacyclotritriacontane-2,5,13,16,24,27-hexone",ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O,C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O,formula,full,NHKCCADZVLTPPO-UHFFFAOYSA-N,NHKCCADZVLTPPO-UHFFFAOYSA-N,0.697,C25H48N6O8,AL645882.2,3033355,3040682,Streptomyces coelicolor A3(2),Streptomyces sp. CNS615|Streptomyces sp. CNT302,GCA_000365385.1,GenBank_accession,SAMN02194547,,True,gnps_component,,-ve_A1_B.mzXML|-ve_A1_M.mzXML|CNS615_R5_B.mzXML|CNS615_R5_E.mzXML|CNS615_R5_M.mzXML|CNT302_A1_B.mzXML|CNT302_A1_E.mzXML|CNT302_A1_M.mzXML|CNT302_R5_B.mzXML|CNT302_R5_M.mzXML,,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=cluster_info_sliced&componentindex=13&task=9682abcfd2c746bba962397ac8e3b94b#%7B%7D,GNPS molecular family,Bioinformatically inferred through comparative analysis with another experimentally defined gene cluster,39,True,Ellis O'Neill,ellis.o'neill@nottingham.ac.uk,
0ff7a302-49af-4130-a440-59e284d4d365.4,297c364c-b154-4edd-a7d5-68decf9effa2.4,merged,0ff7a302-49af-4130-a440-59e284d4d365.4|297c364c-b154-4edd-a7d5-68decf9effa2.4,1,"experimentally validated: Experimentally validated with knockouts, heterologous expression, or other gene cluster manipulation; Experimentally validated with NMR and/or detailed MS/MS analysis",incomplete,ms2_run|ms2_spectrum,BGC0001830.json,GCA_000158975.1.gbk,,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0001830.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/297c364c-b154-4edd-a7d5-68decf9effa2.4/genomes/GCA_000158975.1.gbk,,,sequence_ok,BGC0001830,BGC0001830,,similar,True,4.0,active,questionable,,MSV000078839,840eadb054f74d74ae42152a08ed9628,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a507232a787243a5afd69a6c6fa1e508&view=advanced_view#%7B%7D,rosamicin,Rosamicin and related compounds,"(1S,2R,3R,7R,8S,9S,10R,12R,14E,16S)-3-Ethyl-7-hydroxy-2,8,12,16-tetramethyl-5,13-dioxo-10-(2-oxoethyl)-4,17-dioxabicyclo[14.1.0]heptadec-14-en-9-yl 3,4,6-trideoxy-3-(dimethylamino)-β-D-xylo-hexopyr anoside",CCC1C(C2C(O2)(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3C(C(CC(O3)C)N(C)C)O)CC=O)C)C)C,CCC1OC(=O)CC(O)C(C)C(O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)C(CC=O)CC(C)C(=O)\C=C\C2(C)OC2C1C,formula,skeleton,IUPCWCLVECYZRV-UHFFFAOYSA-N,IUPCWCLVECYZRV-JEAVYTLSSA-N,0.4302,C31H51NO9,KP997155.1,,,Salinispora pacifica,Streptomyces griseoflavus Tu4000|Streptomyces griseus|Streptomyces roseosporus|Streptomyces sp. CNB091|Streptomyces sp. CNQ525|Streptomyces sp. CNT360,GCA_000158975.1,GenBank_accession,SAMN02595302,,True,gnps_component,,CNB091_MS_B.mzXML|CNQ525_MS_M.mzXML|CNT360_A1_B.mzXML|CNT360_A1_M.mzXML|CNT360_MS_M.mzXML|S.grif_MS_E.mzXML|S.gris_A1_B.mzXML|S.ros_MS_E.mzXML,,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=cluster_info_sliced&componentindex=11&show=true&task=840eadb054f74d74ae42152a08ed9628#%7B%7D,GNPS molecular family,"Experimentally validated with knockouts, heterologous expression, or other gene cluster manipulation; Experimentally validated with NMR and/or detailed MS/MS analysis",39,True,Ellis O'Neill,ellis.o'neill@nottingham.ac.uk,
0ff7a302-49af-4130-a440-59e284d4d365.4,297c364c-b154-4edd-a7d5-68decf9effa2.4,merged,0ff7a302-49af-4130-a440-59e284d4d365.4|297c364c-b154-4edd-a7d5-68decf9effa2.4,2,InChIKey match to cited MIBiG compound (connectivity layer; stereo differs or is unannotated),incomplete,ms2_run|ms2_spectrum,BGC0000296.json,GCA_000702365.1.gbk,,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0000296.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/297c364c-b154-4edd-a7d5-68decf9effa2.4/genomes/GCA_000702365.1.gbk,,,sequence_ok,BGC0000296,BGC0000296,,similar,True,4.0,active,questionable,,MSV000078839,840eadb054f74d74ae42152a08ed9628,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a507232a787243a5afd69a6c6fa1e508&view=advanced_view#%7B%7D,actinomycin D,Actinomycin D and analogs,"2-amino-4,6-dimethyl-3-oxo-1-N,9-N-bis[7,11,14-trimethyl-2,5,9,12,15-pentaoxo-3,10-di(propan-2-yl)-8-oxa-1,4,11,14-tetrazabicyclo[14.3.0]nonadecan-6-yl]phenoxazine-1,9-dicarboxamide",CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,[H][C@@]12CCCN1C(=O)[C@]([H])(NC(=O)[C@@]([H])(NC(=O)C1=CC=C(C)C3=C1N=C1C(O3)=C(C)C(=O)C(N)=C1C(=O)N[C@]1([H])C(=O)N[C@]([H])(C(C)C)C(=O)N3CCC[C@@]3([H])C(=O)N(C)CC(=O)N(C)[C@@]([H])(C(C)C)C(=O)O[C@]1([H])C)[C@@]([H])(C)OC(=O)[C@]([H])(C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,formula,skeleton,RJURFGZVJUQBHK-UHFFFAOYSA-N,RJURFGZVJUQBHK-IIXSONLDSA-N,0.0266,C62H86N12O16,HM038106.1,,,Streptomyces anulatus,Streptomyces sp. CNS654,GCA_000702365.1,GenBank_accession,SAMN02841233,,False,gnps_component,,CNS654_A1_B.mzXML|CNS654_A1_E.mzXML|CNS654_A1_M.mzXML|CNS654_MS_B.mzXML|CNS654_MS_E.mzXML|CNS654_MS_M.mzXML|CNS654_R5_B.mzXML|CNS654_R5_E.mzXML|CNS654_R5_M.mzXML,,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=cluster_info_sliced&componentindex=44&show=true&task=840eadb054f74d74ae42152a08ed9628#%7B%7D,GNPS molecular family,Bioinformatically inferred through comparative analysis with another experimentally defined gene cluster,39,True,Ellis O'Neill,ellis.o'neill@nottingham.ac.uk,
0ff7a302-49af-4130-a440-59e284d4d365.4,297c364c-b154-4edd-a7d5-68decf9effa2.4,merged,0ff7a302-49af-4130-a440-59e284d4d365.4|297c364c-b154-4edd-a7d5-68decf9effa2.4,1,experimentally validated: Experimentally validated with NMR and/or detailed MS/MS analysis,incomplete,ms2_run|ms2_spectrum,BGC0000220.json,GCA_000424765.1.gbk,,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/mibig_cache/mibig_json_4.0/BGC0000220.json,/home/rosaliewang/projects/MASc-EDA/data/PoDP/ground_truth_paired_data/297c364c-b154-4edd-a7d5-68decf9effa2.4/genomes/GCA_000424765.1.gbk,,,sequence_ok,BGC0000220,BGC0000220,,similar,True,4.0,active,questionable,,MSV000078839,840eadb054f74d74ae42152a08ed9628,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a507232a787243a5afd69a6c6fa1e508&view=advanced_view#%7B%7D,enterocin,Enterocin,"2S,3S)-2-benzoyl-1,3,8,10-tetrahydroxy-9-(4-methoxy-6-oxopyran-2-yl)-5-oxatricyclo[4.3.1.03,8]decan-4-one",COC1=CC(=O)OC(=C1)C2C3(CC4C(C2(C(C3(C(=O)O4)O)C(=O)C5=CC=CC=C5)O)O)O,[H][C@]12C[C@@]3(O)[C@@H](C4=CC(OC)=CC(=O)O4)[C@](O)([C@H](C(=O)C4=CC=CC=C4)[C@@]3(O)C(=O)O1)[C@@H]2O,formula,skeleton,CTBBEXWJRAPJIZ-UHFFFAOYSA-N,CTBBEXWJRAPJIZ-VHPBLNRZSA-N,0.4142,C22H20O10,AF254925.1,,,Streptomyces maritimus,Streptomyces sp. CNT318,GCA_000424765.1,GenBank_accession,SAMN02440809,,False,gnps_component,,CNT318_A1_B.mzXML|CNT318_A1_E.mzXML|CNT318_A1_M.mzXML|CNT318_MS_B.mzXML|CNT318_MS_E.mzXML|CNT318_R5_B.mzXML|CNT318_R5_E.mzXML|CNT318_R5_M.mzXML,,,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=cluster_info_sliced&componentindex=49&show=true&task=840eadb054f74d74ae42152a08ed9628#%7B%7D,GNPS molecular family,Bioinformatically inferred through comparative analysis with another experimentally defined gene cluster; Experimentally validated with NMR and/or detailed MS/MS analysis,39,True,Ellis O'Neill,ellis.o'neill@nottingham.ac.uk,
