Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
12B01	g__Vibrio (UID4874)	71	1066	378	0	1059	7	0	0	0	100	0.48	0
13B01	g__Vibrio (UID4874)	71	1066	378	0	1059	7	0	0	0	100	0.7	0
1A01	g__Vibrio (UID4874)	71	1066	378	4	1054	8	0	0	0	99.43	0.79	0
1A06	f__Vibrionaceae (UID4865)	80	922	367	27	891	4	0	0	0	95.3	0.73	0
3B05	o__Oceanospirillales (UID4446)	43	529	233	1	525	3	0	0	0	99.79	0.79	0
3C02	g__Vibrio (UID4874)	71	1066	378	1	1060	5	0	0	0	99.96	0.33	0
3D04	c__Gammaproteobacteria (UID4761)	52	693	297	2	689	2	0	0	0	99.84	0.28	0
3D05	c__Gammaproteobacteria (UID4787)	26	752	296	0	749	3	0	0	0	100	0.68	0
3F01	c__Gammaproteobacteria (UID4787)	26	752	296	0	749	3	0	0	0	100	0.68	0
4A09	c__Gammaproteobacteria (UID4444)	263	505	231	4	498	2	1	0	0	99.4	0.42	0
4A09_2	c__Gammaproteobacteria (UID4444)	263	505	231	4	496	4	1	0	0	99.4	0.78	0
4A10	f__Rhodobacteraceae (UID3375)	32	625	283	0	625	0	0	0	0	100	0	0
4B03	c__Gammaproteobacteria (UID4761)	52	693	297	1	690	2	0	0	0	99.95	0.21	0
4B04	g__Vibrio (UID4874)	71	1066	378	1	1060	5	0	0	0	99.87	0.33	0
4C08	f__Flavobacteriaceae (UID2845)	53	548	298	2	542	4	0	0	0	99.33	0.8	0
4C11	c__Gammaproteobacteria (UID4444)	263	505	231	4	498	2	1	0	0	99.4	0.42	0
4D01	c__Gammaproteobacteria (UID4787)	26	752	296	0	751	1	0	0	0	100	0.17	0
4D10	c__Gammaproteobacteria (UID4444)	263	505	231	5	497	2	1	0	0	98.97	0.42	0
4.00E+07	f__Rhodobacteraceae (UID3360)	56	582	313	3	576	3	0	0	0	99.25	0.75	0
4F10	f__Rhodobacteraceae (UID3360)	56	582	313	1	577	4	0	0	0	99.68	0.8	0
4G03	f__Flavobacteriaceae (UID2845)	53	548	298	1	544	3	0	0	0	99.66	0.5	0
4G09	c__Gammaproteobacteria (UID4787)	26	752	296	0	727	24	1	0	0	100	4.92	7.41
4H09	f__Rhodobacteraceae (UID3360)	56	582	313	2	576	4	0	0	0	99.36	0.8	0
5C01	f__Rhodobacteraceae (UID3360)	56	582	313	4	576	2	0	0	0	99.17	0.43	0
5D01	f__Rhodobacteraceae (UID3360)	56	582	313	1	575	4	2	0	0	99.68	1.28	0
5F01	f__Rhodobacteraceae (UID3360)	56	582	313	2	574	6	0	0	0	99.36	1.28	0
5F06	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.33	0
5G01	o__Oceanospirillales (UID4446)	43	529	233	1	527	1	0	0	0	99.79	0.21	0
6B07	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.33	0
6C01	c__Gammaproteobacteria (UID4761)	52	693	297	2	689	2	0	0	0	99.84	0.51	0
6C06	c__Gammaproteobacteria (UID4442)	899	312	185	0	311	1	0	0	0	100	0.09	0
6D02	c__Gammaproteobacteria (UID4442)	899	312	185	0	310	2	0	0	0	100	0.45	0
6D03	g__Vibrio (UID4874)	71	1067	378	6	1024	33	4	0	0	98.61	4.44	0
6.00E+01	g__Vibrio (UID4874)	71	1067	378	6	1026	31	4	0	0	98.79	4.14	0
6.00E+02	g__Vibrio (UID4874)	71	1066	378	1	1058	7	0	0	0	99.87	0.51	0
6.00E+03	g__Vibrio (UID4874)	71	1066	378	3	1060	3	0	0	0	99.47	0.24	0
6G02	c__Gammaproteobacteria (UID4442)	899	312	185	0	310	2	0	0	0	100	0.45	0
A1M10	s__algicola (UID2846)	47	571	303	1	570	0	0	0	0	99.67	0	0
