study_id,genome_accession,current_status,genome_label,biosample,route,resolved_assembly,source_url,resolved_organism,strain_verified,note,collision,downloaded,bytes,new_status,promoted,scale,contigs,bases
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,GCA_000377525.1,absent,CNT302,SAMN02194422,assembly_accession,GCF_000377525.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/525/GCF_000377525.1_ASM37752v1/GCF_000377525.1_ASM37752v1_genomic.gbff.gz,Streptomyces sp. CNT302 (high G+C Gram-positive bacteria),,,,yes,17397450,sequence_ok,promoted,isolate_scale,55,7174271
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,AYUD00000000,absent,Pseudomonas aurantiaca PB-St2,SAMN02388884,biosample,GCF_000506385.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/506/385/GCF_000506385.1_PcsubspaPBSt2-2.0/GCF_000506385.1_PcsubspaPBSt2-2.0_genomic.gbff.gz,Pseudomonas chlororaphis subsp. aurantiaca PB-St2 (g-proteobacteria),,,,yes,16873472,sequence_ok,promoted,isolate_scale,23,6590922
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,CP000076,absent,Pseudomonas protegens Pf-5,SAMN02604012,biosample,GCF_000012265.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/265/GCF_000012265.1_ASM1226v1/GCF_000012265.1_ASM1226v1_genomic.gbff.gz,Pseudomonas protegens Pf-5 (g-proteobacteria),,,,yes,17887601,sequence_ok,promoted,isolate_scale,1,7074893
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,CP000094,absent,Pseudomonas fluorescens Pf0-1 LK194 gacA+ mutant,SAMN02598267,biosample,GCF_000012445.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/445/GCF_000012445.1_ASM1244v1/GCF_000012445.1_ASM1244v1_genomic.gbff.gz,Pseudomonas fluorescens Pf0-1 (g-proteobacteria),,,,yes,16414762,sequence_ok,promoted,isolate_scale,1,6438405
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,LWGR00000000,absent,Nocardia terpenica IFM-0406,SAMN04426989,biosample,GCF_001625105.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/625/105/GCF_001625105.1_ASM162510v1/GCF_001625105.1_ASM162510v1_genomic.gbff.gz,Nocardia terpenica (high G+C Gram-positive bacteria),,,,yes,23419587,sequence_ok,promoted,isolate_scale,3,9282228
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,QOLE01000000,absent,Pseudomonas aeruginosa TUEPA7472,SAMN09389195,biosample,GCF_003324555.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/555/GCF_003324555.1_ASM332455v1/GCF_003324555.1_ASM332455v1_genomic.gbff.gz,Pseudomonas aeruginosa (g-proteobacteria),,,,yes,17514396,sequence_ok,promoted,isolate_scale,18,6806824
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154088,absent,Salinispora arenicola CNT800,,strain_name,GCF_000515135.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/515/135/GCF_000515135.1_ASM51513v1/GCF_000515135.1_ASM51513v1_genomic.gbff.gz,Salinispora arenicola CNT800 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNT800', not an accession -- review",,yes,13635221,sequence_ok,promoted,isolate_scale,51,5526283
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154094,absent,Salinispora tropica CNH898,,strain_name,GCF_000515155.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/515/155/GCF_000515155.1_ASM51515v1/GCF_000515155.1_ASM51515v1_genomic.gbff.gz,Salinispora tropica CNH898 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNH898', not an accession -- review",,yes,14070152,sequence_ok,promoted,isolate_scale,114,5532979
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154124,absent,Salinispora pacifica CNT569,,strain_name,GCF_000374665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/665/GCF_000374665.1_ASM37466v1/GCF_000374665.1_ASM37466v1_genomic.gbff.gz,Salinispora fenicalii (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNT569', not an accession -- review || WRONG STRAIN: asked for 'CNT569', assembly is 'Salinispora fenicalii' -- not promoted || CONFLICT: assembly also matched by 2518285561, GCF_000374665.1, which names a different strain -- at most one is correct",2518285561|GCF_000374665.1,yes,13704144,sequence_ok,skipped_wrong_strain,isolate_scale,52,5473304
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154125,absent,Salinispora arenicola CNH964,,strain_name,GCF_000519145.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/519/145/GCF_000519145.1_ASM51914v1/GCF_000519145.1_ASM51914v1_genomic.gbff.gz,Salinispora arenicola CNH964 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNH964', not an accession -- review",,yes,14623578,sequence_ok,promoted,isolate_scale,70,5912993
