study_id,genome_accession,current_status,genome_label,biosample,route,resolved_assembly,source_url,note,downloaded,bytes,new_status,promoted,scale,contigs,bases,collision,strain_verified,resolved_organism
03087dd9-2996-4bec-a3cc-88f71babc3a2.1,GCA_000377965.1,absent,Streptomyces sp. CNB091,SAMN02441673,assembly_accession,GCF_000377965.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/965/GCF_000377965.1_ASM37796v1/GCF_000377965.1_ASM37796v1_genomic.gbff.gz,,cached,20126948,sequence_ok,promoted,isolate_scale,50,8228950,,n/a,
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,GCA_000365385.1,absent,CNS615|CNT302,SAMN02194547,assembly_accession,GCF_000365385.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/385/GCF_000365385.1_ASM36538v1/GCF_000365385.1_ASM36538v1_genomic.gbff.gz,,cached,17808471,sequence_ok,promoted,isolate_scale,69,7349627,,n/a,
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,GCA_000377965.1,absent,CNB091,SAMN02441673,assembly_accession,GCF_000377965.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/965/GCF_000377965.1_ASM37796v1/GCF_000377965.1_ASM37796v1_genomic.gbff.gz,,cached,20126948,sequence_ok,promoted,isolate_scale,50,8228950,,n/a,
0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,NZ_AWEV00000000.1,metadata_only_no_contigs,Microbispora sp. ATCC PTA-5024,,stub_dblink_assembly,GCF_000511135.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/135/GCF_000511135.2_Mb_MiSeq_454_130116/GCF_000511135.2_Mb_MiSeq_454_130116_genomic.gbff.gz,,cached,21823363,sequence_ok,promoted,isolate_scale,7,8538433,,n/a,
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,LSLE00000000,metadata_only_no_contigs,Pseudomonas putida BW11M1,SAMN04481375,biosample,GCF_001562525.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/525/GCF_001562525.1_ASM156252v1/GCF_001562525.1_ASM156252v1_genomic.gbff.gz,,cached,14378716,sequence_ok,promoted,isolate_scale,65,5456879,,n/a,
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,PPFB00000000,absent,Streptomyces sp. DH12|Streptomyces sp. SW 4,SAMN08365448,biosample,GCF_002899455.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/899/455/GCF_002899455.1_ASM289945v1/GCF_002899455.1_ASM289945v1_genomic.gbff.gz,,cached,18925537,sequence_ok,promoted,isolate_scale,13,7604612,,n/a,
1b0dccac-5212-4dfd-a9f2-6fa953ab16bd.5,QKWM01000000,absent,Streptomyces sp. SW 4,SAMN09390512,biosample,GCA_003248315.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/248/315/GCA_003248315.1_ASM324831v1/GCA_003248315.1_ASM324831v1_genomic.gbff.gz,,cached,15064470,sequence_ok,promoted,isolate_scale,4,7475027,,n/a,
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154093,absent,Salinispora arenicola CNB527,,strain_name,GCF_000515175.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/515/175/GCF_000515175.1_ASM51517v1/GCF_000515175.1_ASM51517v1_genomic.gbff.gz,"matched on strain label 'Salinispora arenicola CNB527', not an accession -- review",cached,15009583,sequence_ok,promoted,isolate_scale,120,5981449,,yes,Salinispora arenicola CNB527 (high G+C Gram-positive bacteria)
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154181,absent,Salinispora arenicola CNH646|Salinispora arenicola CNH905|Salinispora arenicola CNH941|Salinispora arenicola CNH964|Salinispora arenicola CNP193|Salinispora arenicola CNR107|Salinispora arenicola CNR921|Salinispora arenicola CNS205|Salinispora arenicola CNS991|Salinispora arenicola CNT005|Salinispora arenicola CNT798|Salinispora arenicola CNT799|Salinispora arenicola CNT849|Salinispora arenicola CNT850|Salinispora arenicola CNX814|Salinispora arenicola CNX891|Salinispora arenicola CNY234|Salinispora arenicola CNY260|Salinispora arenicola CNY281,,strain_name,GCF_000514635.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/635/GCF_000514635.1_ASM51463v1/GCF_000514635.1_ASM51463v1_genomic.gbff.gz,"matched on strain label 'Salinispora arenicola CNH646', not an accession -- review || COLLISION: same assembly also matched by GCF_000514635.1 -- at most one is correct",cached,13374901,sequence_ok,promoted,isolate_scale,58,5400492,,yes,Salinispora arenicola CNH646 (high G+C Gram-positive bacteria)
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572210,absent,Salinispora arenicola CNB458|Salinispora arenicola CNB527|Salinispora arenicola CNH643|Salinispora arenicola CNH646|Salinispora arenicola CNH713|Salinispora arenicola CNH718|Salinispora arenicola CNH877|Salinispora arenicola CNH905|Salinispora arenicola CNH941|Salinispora arenicola CNH962|Salinispora arenicola CNH963|Salinispora arenicola CNH964|Salinispora arenicola CNH996|Salinispora arenicola CNP105|Salinispora arenicola CNP193|Salinispora arenicola CNQ748|Salinispora arenicola CNQ884|Salinispora arenicola CNR107|Salinispora arenicola CNR425|Salinispora arenicola CNR921|Salinispora arenicola CNS051|Salinispora arenicola CNS205|Salinispora arenicola CNS243|Salinispora arenicola CNS296|Salinispora arenicola CNS299|Salinispora arenicola CNS325|Salinispora arenicola CNS342|Salinispora arenicola CNS673|Salinispora arenicola CNS744|Salinispora arenicola CNS820|Salinispora arenicola CNS848|Salinispora arenicola CNS991|Salinispora arenicola CNT005|Salinispora arenicola CNT088|Salinispora arenicola CNT798|Salinispora arenicola CNT799|Salinispora arenicola CNT800|Salinispora arenicola CNT849|Salinispora arenicola CNT850|Salinispora arenicola CNX482|Salinispora arenicola CNX814|Salinispora arenicola CNX891|Salinispora arenicola CNY011|Salinispora arenicola CNY230|Salinispora arenicola CNY231|Salinispora arenicola CNY234|Salinispora arenicola CNY237|Salinispora arenicola CNY244|Salinispora arenicola CNY256|Salinispora arenicola CNY260|Salinispora arenicola CNY280|Salinispora arenicola CNY281|Salinispora arenicola CNY282|Salinispora arenicola CNY486|Salinispora arenicola CNY679|Salinispora arenicola CNY694|Salinispora pacifica CNS863|Salinispora pacifica CNS996|Salinispora pacifica CNT029|Salinispora pacifica CNT138|Salinispora pacifica CNT403|Salinispora pacifica CNT584|Salinispora pacifica CNY202|Salinispora pacifica CNY239|Salinispora tropica CNB440|Salinispora tropica CNS197|Salinispora tropica CNT250|Salinispora tropica CNY678,,strain_name,GCF_000514655.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/655/GCF_000514655.1_ASM51465v1/GCF_000514655.1_ASM51465v1_genomic.gbff.gz,"matched on strain label 'Salinispora arenicola CNB458', not an accession -- review",cached,14505361,sequence_ok,promoted,isolate_scale,132,5704144,,yes,Salinispora arenicola CNB458 (high G+C Gram-positive bacteria)
